Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,167,-,-,167,0.62,0.45,0.04
ALB,8,008,8,Albania,0,21,-,-,21,0.94,1.1,0.06
DZA,8,012,12,Algeria,0,807,-,-,807,2.0,2.2,0.13
AGO,8,024,24,Angola,0,197,-,-,197,0.88,0.61,0.06
AZE,8,031,31,Azerbaijan,0,140,-,-,140,1.6,1.8,0.10
ARG,8,032,32,Argentina,0,1097,-,-,1097,2.8,3.2,0.18
AUS,8,036,36,Australia,0,1399,-,-,1399,6.7,8.2,0.40
AUT,8,040,40,Austria,0,212,-,-,212,2.9,4.0,0.18
BHS,8,044,44,Bahamas,0,4,-,-,4,1.1,1.4,0.07
BHR,8,048,48,Bahrain,0,14,-,-,14,0.76,0.92,0.05
BGD,8,050,50,Bangladesh,0,853,-,-,853,0.56,0.62,0.04
ARM,8,051,51,Armenia,0,19,-,-,19,0.81,0.93,0.05
BRB,8,052,52,Barbados,0,5,-,-,5,2.1,2.8,0.13
BEL,8,056,56,Belgium,0,260,-,-,260,2.8,3.7,0.17
BTN,8,064,64,Bhutan,0,1,-,-,1,0.18,0.15,0.01
BOL,8,068,68,Bolivia (Plurinational State of),0,77,-,-,77,0.85,0.79,0.06
BIH,8,070,70,Bosnia Herzegovina,0,62,-,-,62,2.1,3.3,0.14
BWA,8,072,72,Botswana,0,14,-,-,14,0.67,0.67,0.04
BRA,8,076,76,Brazil,0,3560,-,-,3560,1.8,2.3,0.11
BLZ,8,084,84,Belize,0,1,-,-,1,0.25,0.29,0.02
SLB,8,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,8,096,96,Brunei Darussalam,0,13,-,-,13,2.8,3.8,0.18
BGR,8,100,100,Bulgaria,0,108,-,-,108,1.7,2.7,0.11
MMR,8,104,104,Myanmar,0,532,-,-,532,1.1,1.2,0.07
BDI,8,108,108,Burundi,0,45,-,-,45,0.58,0.39,0.04
BLR,8,112,112,Belarus,0,177,-,-,177,2.1,3.0,0.14
KHM,8,116,116,Cambodia,0,226,-,-,226,1.8,1.6,0.12
CMR,8,120,120,Cameroon,0,152,-,-,152,0.86,0.60,0.05
CAN,8,124,124,Canada,0,1026,-,-,1026,3.2,4.4,0.20
CPV,8,132,132,Cape Verde,0,6,-,-,6,1.1,1.3,0.08
CAF,8,140,140,Central African Republic,0,30,-,-,30,0.99,0.66,0.06
LKA,8,144,144,Sri Lanka,0,110,-,-,110,0.58,0.72,0.04
TCD,8,148,148,Chad,0,87,-,-,87,0.61,0.54,0.03
CHL,8,152,152,Chile,0,251,-,-,251,1.5,1.9,0.10
CHN,8,156,160,China,0,23404,-,-,23404,1.8,2.6,0.12
COL,8,170,170,Colombia,0,804,-,-,804,1.8,2.1,0.12
COM,8,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,8,178,178,"Congo, Republic of",0,22,-,-,22,0.57,0.43,0.04
COD,8,180,180,"Congo, Democratic Republic of",0,347,-,-,347,0.59,0.40,0.04
CRI,8,188,188,Costa Rica,0,59,-,-,59,1.3,1.6,0.08
HRV,8,191,191,Croatia,0,99,-,-,99,2.8,4.3,0.18
CUB,8,192,192,Cuba,0,113,-,-,113,1.3,1.7,0.08
CYP,8,196,196,Cyprus,0,25,-,-,25,2.2,3.1,0.14
CZE,8,203,203,Czechia,0,249,-,-,249,2.6,3.8,0.16
BEN,8,204,204,Benin,0,84,-,-,84,0.99,0.73,0.06
DNK,8,208,208,Denmark,0,138,-,-,138,3.0,4.0,0.19
DOM,8,214,214,Dominican Republic,0,214,-,-,214,2.4,2.5,0.15
ECU,8,218,218,Ecuador,0,211,-,-,211,1.4,1.5,0.09
SLV,8,222,222,El Salvador,0,61,-,-,61,1.2,1.2,0.07
GNQ,8,226,226,Equatorial Guinea,0,15,-,-,15,1.3,1.1,0.08
ETH,8,231,231,Ethiopia,0,1156,-,-,1156,1.5,1.1,0.10
ERI,8,232,232,Eritrea,0,31,-,-,31,1.3,0.96,0.08
EST,8,233,233,Estonia,0,26,-,-,26,2.1,3.3,0.14
FJI,8,242,242,Fiji,0,7,-,-,7,0.93,0.97,0.06
FIN,8,246,246,Finland,0,105,-,-,105,2.4,3.3,0.16
FRA,8,250,250,France (metropolitan),0,1543,-,-,1543,2.9,4.0,0.19
GUF,8,254,254,French Guyana,0,2,-,-,2,0.81,0.78,0.05
PYF,8,258,258,French Polynesia,0,2,-,-,2,0.75,0.97,0.05
DJI,8,262,262,Djibouti,0,10,-,-,10,1.1,1.2,0.07
GAB,8,266,266,Gabon,0,26,-,-,26,1.4,1.3,0.09
GEO,8,268,268,Georgia,0,19,-,-,19,0.56,0.74,0.04
GMB,8,270,270,The Republic of the Gambia,0,9,-,-,9,0.58,0.39,0.04
PSE,8,275,275,Gaza Strip and West Bank,0,67,-,-,67,1.9,1.4,0.12
DEU,8,276,276,Germany,0,852,-,-,852,1.4,1.9,0.09
GHA,8,288,288,Ghana,0,56,-,-,56,0.23,0.20,0.01
GRC,8,300,300,Greece,0,216,-,-,216,2.2,3.8,0.14
GLP,8,312,312,"France, Guadeloupe",0,8,-,-,8,2.7,3.5,0.18
GUM,8,316,316,Guam,0,2,-,-,2,1.5,1.6,0.10
GTM,8,320,320,Guatemala,0,119,-,-,119,0.84,0.74,0.05
GIN,8,324,324,Guinea,0,31,-,-,31,0.40,0.25,0.03
GUY,8,328,328,Guyana,0,8,-,-,8,1.3,1.3,0.08
HTI,8,332,332,Haiti,0,167,-,-,167,1.8,1.7,0.12
HND,8,340,340,Honduras,0,54,-,-,54,0.66,0.62,0.04
HUN,8,348,348,Hungary,0,247,-,-,247,2.6,4.3,0.17
ISL,8,352,352,Iceland,0,8,-,-,8,2.7,3.6,0.18
IND,8,356,356,India,0,6766,-,-,6766,0.55,0.60,0.04
IDN,8,360,360,Indonesia,0,3443,-,-,3443,1.4,1.6,0.09
IRN,8,364,364,"Iran, Islamic Republic of",0,1848,-,-,1848,2.2,2.7,0.14
IRQ,8,368,368,Iraq,0,440,-,-,440,1.4,1.2,0.09
IRL,8,372,372,Ireland,0,110,-,-,110,2.4,3.3,0.15
ISR,8,376,376,Israel,0,240,-,-,240,3.4,3.6,0.22
ITA,8,380,380,Italy,0,1227,-,-,1227,2.3,3.8,0.15
CIV,8,384,384,"Côte d'Ivoire",0,179,-,-,179,1.1,0.72,0.07
JAM,8,388,388,Jamaica,0,62,-,-,62,2.4,2.8,0.16
JPN,8,392,392,Japan,0,2952,-,-,2952,2.7,4.6,0.17
KAZ,8,398,398,Kazakhstan,0,142,-,-,142,0.89,0.97,0.06
JOR,8,400,400,Jordan,0,232,-,-,232,2.8,2.6,0.18
KEN,8,404,404,Kenya,0,386,-,-,386,1.0,0.76,0.06
PRK,8,408,408,"Korea, Democratic People Republic of",0,262,-,-,262,1.1,1.5,0.07
KOR,8,410,410,"Korea, Republic of",0,1026,-,-,1026,2.0,3.4,0.13
KWT,8,414,414,Kuwait,0,55,-,-,55,0.95,1.6,0.06
KGZ,8,417,417,Kyrgyzstan,0,24,-,-,24,0.45,0.43,0.03
LAO,8,418,418,"Lao People's Democratic Republic",0,102,-,-,102,1.7,1.6,0.11
LBN,8,422,422,Lebanon,0,130,-,-,130,2.2,2.5,0.15
LSO,8,426,426,Lesotho,0,8,-,-,8,0.51,0.43,0.03
LVA,8,428,428,Latvia,0,16,-,-,16,0.96,1.5,0.06
LBR,8,430,430,Liberia,0,25,-,-,25,0.72,0.53,0.05
LBY,8,434,434,Libya,0,166,-,-,166,2.3,2.9,0.15
LTU,8,440,440,Lithuania,0,27,-,-,27,1.2,1.8,0.08
LUX,8,442,442,Luxembourg,0,11,-,-,11,1.7,2.7,0.11
MDG,8,450,450,Madagascar,0,113,-,-,113,0.53,0.43,0.03
MWI,8,454,454,Malawi,0,66,-,-,66,0.52,0.36,0.03
MYS,8,458,458,Malaysia,0,715,-,-,715,2.4,2.8,0.16
MDV,8,462,462,Maldives,0,7,-,-,7,1.3,1.5,0.09
MLI,8,466,466,Mali,0,134,-,-,134,1.1,0.68,0.07
MLT,8,470,470,Malta,0,8,-,-,8,2.0,3.0,0.13
MTQ,8,474,474,"France, Martinique",0,8,-,-,8,3.0,4.0,0.20
MRT,8,478,478,Mauritania,0,27,-,-,27,0.80,0.62,0.05
MUS,8,480,480,Mauritius,0,20,-,-,20,1.7,2.3,0.11
