Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
ISR,8,376,376,Israel,0,1104,-,-,1104,12.0,13.6,1.4
ITA,8,380,380,Italy,0,12518,-,-,12518,12.4,25.3,1.5
CIV,8,384,384,"Côte d'Ivoire",0,556,-,-,556,3.7,2.0,0.42
JAM,8,388,388,Jamaica,0,304,-,-,304,9.4,10.9,1.1
JPN,8,392,392,Japan,0,28519,-,-,28519,14.6,29.4,1.8
KAZ,8,398,398,Kazakhstan,0,1250,-,-,1250,5.8,6.8,0.72
JOR,8,400,400,Jordan,0,707,-,-,707,9.2,7.0,1.1
KEN,8,404,404,Kenya,0,1410,-,-,1410,4.7,2.6,0.57
PRK,8,408,408,"Korea, Democratic People Republic of",0,2007,-,-,2007,5.9,8.3,0.72
KOR,8,410,410,"Korea, Republic of",0,8911,-,-,8911,9.9,19.6,1.2
KWT,8,414,414,Kuwait,0,244,-,-,244,5.0,5.7,0.61
KGZ,8,417,417,Kyrgyzstan,0,137,-,-,137,2.3,2.1,0.29
LAO,8,418,418,"Lao People's Democratic Republic",0,322,-,-,322,5.7,4.4,0.65
LBN,8,422,422,Lebanon,0,468,-,-,468,6.6,7.4,0.75
LSO,8,426,426,Lesotho,0,34,-,-,34,2.2,1.6,0.26
LVA,8,428,428,Latvia,0,226,-,-,226,7.2,14.4,0.89
LBR,8,430,430,Liberia,0,69,-,-,69,2.2,1.3,0.24
LBY,8,434,434,Libya,0,380,-,-,380,5.8,5.6,0.65
LTU,8,440,440,Lithuania,0,374,-,-,374,8.1,16.6,1.0
LUX,8,442,442,Luxembourg,0,87,-,-,87,9.4,15.1,1.1
MDG,8,450,450,Madagascar,0,261,-,-,261,1.4,0.91,0.16
MWI,8,454,454,Malawi,0,130,-,-,130,1.2,0.65,0.13
MYS,8,458,458,Malaysia,0,2666,-,-,2666,7.9,8.4,0.90
MDV,8,462,462,Maldives,0,19,-,-,19,4.6,3.6,0.53
MLI,8,466,466,Mali,0,319,-,-,319,3.2,1.5,0.36
MLT,8,470,470,Malta,0,80,-,-,80,11.7,21.5,1.4
MTQ,8,474,474,"France, Martinique",0,66,-,-,66,10.5,21.1,1.2
MRT,8,478,478,Mauritania,0,72,-,-,72,2.4,1.5,0.27
MUS,8,480,480,Mauritius,0,151,-,-,151,8.1,12.9,0.97
MEX,8,484,484,Mexico,0,7903,-,-,7903,6.0,6.3,0.68
MNG,8,496,496,Mongolia,0,116,-,-,116,3.8,3.5,0.45
