Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,32,-,-,32,0.13,0.13,0.00
ALB,8,008,8,Albania,0,0,-,-,0,0.00,0.00,0.00
DZA,8,012,12,Algeria,0,37,-,-,37,0.21,0.18,0.01
AGO,8,024,24,Angola,0,34,-,-,34,0.15,0.15,0.00
AZE,8,031,31,Azerbaijan,0,8,-,-,8,0.21,0.22,0.01
ARG,8,032,32,Argentina,0,123,-,-,123,0.59,0.68,0.02
AUS,8,036,36,Australia,0,215,-,-,215,2.4,2.6,0.07
AUT,8,040,40,Austria,0,13,-,-,13,0.51,0.58,0.01
BHS,8,044,44,Bahamas,0,0,-,-,0,0.00,0.00,0.00
BHR,8,048,48,Bahrain,0,2,-,-,2,0.28,0.37,0.01
BGD,8,050,50,Bangladesh,0,49,-,-,49,0.06,0.07,0.00
ARM,8,051,51,Armenia,0,3,-,-,3,0.30,0.31,0.01
BRB,8,052,52,Barbados,0,0,-,-,0,0.00,0.00,0.00
BEL,8,056,56,Belgium,0,21,-,-,21,0.58,0.64,0.02
BTN,8,064,64,Bhutan,0,0,-,-,0,0.00,0.00,0.00
BOL,8,068,68,Bolivia (Plurinational State of),0,2,-,-,2,0.03,0.03,0.00
BIH,8,070,70,Bosnia Herzegovina,0,1,-,-,1,0.08,0.12,0.00
BWA,8,072,72,Botswana,0,0,-,-,0,0.00,0.00,0.00
BRA,8,076,76,Brazil,0,122,-,-,122,0.13,0.16,0.00
BLZ,8,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,8,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,8,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,8,100,100,Bulgaria,0,3,-,-,3,0.16,0.18,0.00
MMR,8,104,104,Myanmar,0,71,-,-,71,0.26,0.30,0.01
BDI,8,108,108,Burundi,0,4,-,-,4,0.06,0.05,0.00
BLR,8,112,112,Belarus,0,5,-,-,5,0.20,0.20,0.01
KHM,8,116,116,Cambodia,0,4,-,-,4,0.05,0.05,0.00
CMR,8,120,120,Cameroon,0,15,-,-,15,0.10,0.09,0.00
CAN,8,124,124,Canada,0,48,-,-,48,0.42,0.46,0.01
CPV,8,132,132,Cape Verde,0,0,-,-,0,0.00,0.00,0.00
CAF,8,140,140,Central African Republic,0,5,-,-,5,0.15,0.15,0.00
LKA,8,144,144,Sri Lanka,0,6,-,-,6,0.07,0.07,0.00
TCD,8,148,148,Chad,0,34,-,-,34,0.31,0.29,0.01
CHL,8,152,152,Chile,0,14,-,-,14,0.18,0.23,0.01
CHN,8,156,160,China,0,583,-,-,583,0.14,0.15,0.00
COL,8,170,170,Colombia,0,75,-,-,75,0.30,0.38,0.01
COM,8,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,8,178,178,"Congo, Republic of",0,1,-,-,1,0.03,0.03,0.00
COD,8,180,180,"Congo, Democratic Republic of",0,51,-,-,51,0.09,0.08,0.00
CRI,8,188,188,Costa Rica,0,2,-,-,2,0.09,0.11,0.00
HRV,8,191,191,Croatia,0,2,-,-,2,0.15,0.20,0.00
CUB,8,192,192,Cuba,0,16,-,-,16,0.48,0.52,0.01
CYP,8,196,196,Cyprus,0,0,-,-,0,0.00,0.00,0.00
CZE,8,203,203,Czechia,0,21,-,-,21,0.73,0.78,0.02
BEN,8,204,204,Benin,0,10,-,-,10,0.14,0.13,0.00
DNK,8,208,208,Denmark,0,6,-,-,6,0.32,0.36,0.01
DOM,8,214,214,Dominican Republic,0,10,-,-,10,0.19,0.21,0.01
ECU,8,218,218,Ecuador,0,13,-,-,13,0.15,0.16,0.00
SLV,8,222,222,El Salvador,0,4,-,-,4,0.12,0.14,0.00
GNQ,8,226,226,Equatorial Guinea,0,2,-,-,2,0.23,0.24,0.01
ETH,8,231,231,Ethiopia,0,107,-,-,107,0.15,0.15,0.00
ERI,8,232,232,Eritrea,0,5,-,-,5,0.24,0.23,0.01
EST,8,233,233,Estonia,0,0,-,-,0,0.00,0.00,0.00
FJI,8,242,242,Fiji,0,1,-,-,1,0.23,0.24,0.01
FIN,8,246,246,Finland,0,4,-,-,4,0.24,0.27,0.01
FRA,8,250,250,France (metropolitan),0,110,-,-,110,0.51,0.58,0.01
GUF,8,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,8,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,8,262,262,Djibouti,0,0,-,-,0,0.00,0.00,0.00
GAB,8,266,266,Gabon,0,2,-,-,2,0.18,0.16,0.01
GEO,8,268,268,Georgia,0,0,-,-,0,0.00,0.00,0.00
GMB,8,270,270,The Republic of the Gambia,0,1,-,-,1,0.07,0.06,0.00
PSE,8,275,275,Gaza Strip and West Bank,0,5,-,-,5,0.17,0.16,0.00
DEU,8,276,276,Germany,0,71,-,-,71,0.30,0.35,0.01
GHA,8,288,288,Ghana,0,0,-,-,0,0.00,0.00,0.00
GRC,8,300,300,Greece,0,6,-,-,6,0.20,0.25,0.01
GLP,8,312,312,"France, Guadeloupe",0,0,-,-,0,0.00,0.00,0.00
GUM,8,316,316,Guam,0,0,-,-,0,0.00,0.00,0.00
GTM,8,320,320,Guatemala,0,9,-,-,9,0.08,0.09,0.00
GIN,8,324,324,Guinea,0,2,-,-,2,0.02,0.02,0.00
GUY,8,328,328,Guyana,0,0,-,-,0,0.00,0.00,0.00
HTI,8,332,332,Haiti,0,12,-,-,12,0.19,0.20,0.01
HND,8,340,340,Honduras,0,5,-,-,5,0.08,0.10,0.00
HUN,8,348,348,Hungary,0,10,-,-,10,0.36,0.42,0.01
ISL,8,352,352,Iceland,0,0,-,-,0,0.00,0.00,0.00
IND,8,356,356,India,0,377,-,-,377,0.05,0.06,0.00
IDN,8,360,360,Indonesia,0,164,-,-,164,0.13,0.14,0.00
IRN,8,364,364,"Iran, Islamic Republic of",0,81,-,-,81,0.25,0.25,0.01
IRQ,8,368,368,Iraq,0,43,-,-,43,0.18,0.18,0.01
IRL,8,372,372,Ireland,0,10,-,-,10,0.54,0.61,0.02
ISR,8,376,376,Israel,0,19,-,-,19,0.49,0.50,0.01
ITA,8,380,380,Italy,0,51,-,-,51,0.32,0.38,0.01
CIV,8,384,384,"Côte d'Ivoire",0,6,-,-,6,0.04,0.04,0.00
JAM,8,388,388,Jamaica,0,0,-,-,0,0.00,0.00,0.00
JPN,8,392,392,Japan,0,76,-,-,76,0.22,0.28,0.01
KAZ,8,398,398,Kazakhstan,0,2,-,-,2,0.03,0.03,0.00
JOR,8,400,400,Jordan,0,12,-,-,12,0.21,0.23,0.01
KEN,8,404,404,Kenya,0,30,-,-,30,0.09,0.09,0.00
PRK,8,408,408,"Korea, Democratic People Republic of",0,5,-,-,5,0.05,0.06,0.00
KOR,8,410,410,"Korea, Republic of",0,16,-,-,16,0.10,0.14,0.00
KWT,8,414,414,Kuwait,0,1,-,-,1,0.07,0.07,0.00
KGZ,8,417,417,Kyrgyzstan,0,3,-,-,3,0.10,0.09,0.00
LAO,8,418,418,"Lao People's Democratic Republic",0,9,-,-,9,0.22,0.24,0.01
LBN,8,422,422,Lebanon,0,4,-,-,4,0.13,0.15,0.00
LSO,8,426,426,Lesotho,0,1,-,-,1,0.08,0.09,0.00
LVA,8,428,428,Latvia,0,0,-,-,0,0.00,0.00,0.00
LBR,8,430,430,Liberia,0,1,-,-,1,0.03,0.03,0.00
LBY,8,434,434,Libya,0,6,-,-,6,0.19,0.20,0.01
LTU,8,440,440,Lithuania,0,0,-,-,0,0.00,0.00,0.00
LUX,8,442,442,Luxembourg,0,0,-,-,0,0.00,0.00,0.00
MDG,8,450,450,Madagascar,0,22,-,-,22,0.13,0.13,0.00
MWI,8,454,454,Malawi,0,2,-,-,2,0.02,0.02,0.00
MYS,8,458,458,Malaysia,0,56,-,-,56,0.35,0.43,0.01
MDV,8,462,462,Maldives,0,0,-,-,0,0.00,0.00,0.00
MLI,8,466,466,Mali,0,10,-,-,10,0.08,0.07,0.00
MLT,8,470,470,Malta,0,0,-,-,0,0.00,0.00,0.00
MTQ,8,474,474,"France, Martinique",0,0,-,-,0,0.00,0.00,0.00
MRT,8,478,478,Mauritania,0,1,-,-,1,0.04,0.03,0.00
MUS,8,480,480,Mauritius,0,1,-,-,1,0.18,0.26,0.01
MEX,8,484,484,Mexico,0,80,-,-,80,0.12,0.14,0.00
MNG,8,496,496,Mongolia,0,0,-,-,0,0.00,0.00,0.00
MDA,8,498,498,Republic of Moldova,0,0,-,-,0,0.00,0.00,0.00
MNE,8,499,499,Montenegro,0,0,-,-,0,0.00,0.00,0.00
MAR,8,504,504,Morocco,0,32,-,-,32,0.19,0.20,0.01
MOZ,8,508,508,Mozambique,0,21,-,-,21,0.10,0.10,0.00
OMN,8,512,512,Oman,0,2,-,-,2,0.10,0.11,0.00
NAM,8,516,516,Namibia,0,1,-,-,1,0.07,0.07,0.00
NPL,8,524,524,Nepal,0,30,-,-,30,0.17,0.21,0.00
NLD,8,528,528,The Netherlands,0,34,-,-,34,0.61,0.73,0.02
NCL,8,540,540,New Caledonia,0,0,-,-,0,0.00,0.00,0.00
VUT,8,548,548,Vanuatu,0,0,-,-,0,0.00,0.00,0.00
NZL,8,554,554,New Zealand,0,15,-,-,15,0.82,0.96,0.02
NIC,8,558,558,Nicaragua,0,5,-,-,5,0.14,0.16,0.00
NER,8,562,562,Niger,0,27,-,-,27,0.18,0.15,0.01
NGA,8,566,566,Nigeria,0,36,-,-,36,0.03,0.03,0.00
NOR,8,578,578,Norway,0,8,-,-,8,0.42,0.50,0.01
PAK,8,586,586,Pakistan,0,261,-,-,261,0.21,0.21,0.01
PAN,8,591,591,Panama,0,5,-,-,5,0.23,0.27,0.01
PNG,8,598,598,Papua New Guinea,0,4,-,-,4,0.08,0.08,0.00
PRY,8,600,600,Paraguay,0,13,-,-,13,0.34,0.38,0.01
PER,8,604,604,Peru,0,25,-,-,25,0.17,0.19,0.01
PHL,8,608,608,Philippines,0,171,-,-,171,0.29,0.32,0.01
POL,8,616,616,Poland,0,15,-,-,15,0.14,0.16,0.00
PRT,8,620,620,Portugal,0,8,-,-,8,0.29,0.34,0.01
GNB,8,624,624,Guinea-Bissau,0,0,-,-,0,0.00,0.00,0.00
TLS,8,626,626,Timor-Leste,0,0,-,-,0,0.00,0.00,0.00
PRI,8,630,630,Puerto Rico,0,2,-,-,2,0.19,0.26,0.01
QAT,8,634,634,Qatar,0,0,-,-,0,0.00,0.00,0.00
REU,8,638,638,"France, La Réunion",0,0,-,-,0,0.00,0.00,0.00
ROU,8,642,642,Romania,0,12,-,-,12,0.21,0.24,0.01
RUS,8,643,643,Russian Federation,0,92,-,-,92,0.23,0.22,0.01
RWA,8,646,646,Rwanda,0,6,-,-,6,0.08,0.08,0.00
LCA,8,662,662,Saint Lucia,0,0,-,-,0,0.00,0.00,0.00
STP,8,678,678,Sao Tome and Principe,0,0,-,-,0,0.00,0.00,0.00
SAU,8,682,682,Saudi Arabia,0,11,-,-,11,0.08,0.08,0.00
SEN,8,686,686,Senegal,0,5,-,-,5,0.05,0.05,0.00
SRB,8,688,688,Serbia,0,5,-,-,5,0.17,0.22,0.00
SLE,8,694,694,Sierra Leone,0,0,-,-,0,0.00,0.00,0.00
SGP,8,702,702,Singapore,0,8,-,-,8,0.47,0.59,0.01
SVK,8,703,703,Slovakia,0,4,-,-,4,0.26,0.29,0.01
VNM,8,704,704,Viet Nam,0,32,-,-,32,0.09,0.09,0.00
SVN,8,705,705,Slovenia,0,1,-,-,1,0.19,0.20,0.01
SOM,8,706,706,Somalia,0,10,-,-,10,0.10,0.09,0.00
ZAF,8,710,710,South Africa,0,26,-,-,26,0.09,0.10,0.00
ZWE,8,716,716,Zimbabwe,0,7,-,-,7,0.08,0.07,0.00
ESP,8,724,724,Spain,0,33,-,-,33,0.26,0.30,0.01
SSD,8,728,728,South Sudan,0,6,-,-,6,0.09,0.08,0.00
SDN,8,729,729,Sudan,0,77,-,-,77,0.28,0.28,0.01
SUR,8,740,740,Suriname,0,0,-,-,0,0.00,0.00,0.00
SWZ,8,748,748,Eswatini,0,0,-,-,0,0.00,0.00,0.00
SWE,8,752,752,Sweden,0,9,-,-,9,0.29,0.31,0.01
CHE,8,756,756,Switzerland,0,14,-,-,14,0.57,0.63,0.02
SYR,8,760,760,Syrian Arab Republic,0,34,-,-,34,0.36,0.37,0.01
TJK,8,762,762,Tajikistan,0,8,-,-,8,0.17,0.15,0.00
THA,8,764,764,Thailand,0,42,-,-,42,0.18,0.21,0.00
TGO,8,768,768,Togo,0,7,-,-,7,0.14,0.13,0.00
TTO,8,780,780,Trinidad and Tobago,0,0,-,-,0,0.00,0.00,0.00
ARE,8,784,784,United Arab Emirates,0,1,-,-,1,0.04,0.04,0.00
TUN,8,788,788,Tunisia,0,5,-,-,5,0.11,0.11,0.00
TUR,8,792,792,Türkiye,0,181,-,-,181,0.48,0.54,0.01
TKM,8,795,795,Turkmenistan,0,1,-,-,1,0.04,0.04,0.00
UGA,8,800,800,Uganda,0,38,-,-,38,0.13,0.12,0.00
UKR,8,804,804,Ukraine,0,10,-,-,10,0.08,0.09,0.00
MKD,8,807,807,North Macedonia,0,0,-,-,0,0.00,0.00,0.00
EGY,8,818,818,Egypt,0,123,-,-,123,0.25,0.23,0.01
GBR,8,826,826,United Kingdom,0,86,-,-,86,0.40,0.43,0.01
TZA,8,834,834,"Tanzania, United Republic of",0,53,-,-,53,0.15,0.13,0.00
USA,8,840,840,United States of America,0,601,-,-,601,0.50,0.58,0.01
BFA,8,854,854,Burkina Faso,0,21,-,-,21,0.17,0.15,0.00
URY,8,858,858,Uruguay,0,9,-,-,9,0.67,0.75,0.02
UZB,8,860,860,Uzbekistan,0,9,-,-,9,0.06,0.06,0.00
VEN,8,862,862,Venezuela,0,45,-,-,45,0.32,0.36,0.01
