Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
ITA,8,380,380,Italy,0,325,-,-,325,0.58,1.0,0.04
CIV,8,384,384,"Côte d'Ivoire",0,141,-,-,141,0.83,0.56,0.05
JAM,8,388,388,Jamaica,0,27,-,-,27,1.1,1.2,0.07
JPN,8,392,392,Japan,0,649,-,-,649,0.59,1.0,0.04
KAZ,8,398,398,Kazakhstan,0,75,-,-,75,0.45,0.51,0.03
JOR,8,400,400,Jordan,0,103,-,-,103,1.2,1.2,0.08
KEN,8,404,404,Kenya,0,218,-,-,218,0.55,0.43,0.04
PRK,8,408,408,"Korea, Democratic People Republic of",0,145,-,-,145,0.62,0.80,0.04
KOR,8,410,410,"Korea, Republic of",0,226,-,-,226,0.45,0.76,0.03
KWT,8,414,414,Kuwait,0,16,-,-,16,0.26,0.47,0.02
KGZ,8,417,417,Kyrgyzstan,0,16,-,-,16,0.29,0.29,0.02
LAO,8,418,418,"Lao People's Democratic Republic",0,43,-,-,43,0.72,0.67,0.05
LBN,8,422,422,Lebanon,0,57,-,-,57,0.97,1.1,0.06
LSO,8,426,426,Lesotho,0,6,-,-,6,0.39,0.32,0.03
LVA,8,428,428,Latvia,0,3,-,-,3,0.18,0.28,0.01
LBR,8,430,430,Liberia,0,15,-,-,15,0.43,0.32,0.03
LBY,8,434,434,Libya,0,64,-,-,64,0.91,1.1,0.06
LTU,8,440,440,Lithuania,0,14,-,-,14,0.63,0.94,0.04
LUX,8,442,442,Luxembourg,0,1,-,-,1,0.16,0.24,0.01
MDG,8,450,450,Madagascar,0,63,-,-,63,0.31,0.24,0.02
MWI,8,454,454,Malawi,0,51,-,-,51,0.41,0.28,0.03
MYS,8,458,458,Malaysia,0,268,-,-,268,0.89,1.0,0.06
MDV,8,462,462,Maldives,0,1,-,-,1,0.24,0.21,0.02
MLI,8,466,466,Mali,0,105,-,-,105,0.85,0.53,0.05
MLT,8,470,470,Malta,0,1,-,-,1,0.25,0.38,0.02
MTQ,8,474,474,"France, Martinique",0,2,-,-,2,0.67,1.0,0.04
MRT,8,478,478,Mauritania,0,20,-,-,20,0.60,0.46,0.04
MUS,8,480,480,Mauritius,0,5,-,-,5,0.42,0.59,0.03
MEX,8,484,484,Mexico,0,931,-,-,931,0.81,0.91,0.05
MNG,8,496,496,Mongolia,0,15,-,-,15,0.53,0.54,0.03
MDA,8,498,498,Republic of Moldova,0,25,-,-,25,0.63,0.92,0.04
MNE,8,499,499,Montenegro,0,2,-,-,2,0.36,0.49,0.02
MAR,8,504,504,Morocco,0,181,-,-,181,0.57,0.62,0.04
MOZ,8,508,508,Mozambique,0,35,-,-,35,0.15,0.12,0.01
OMN,8,512,512,Oman,0,71,-,-,71,1.2,1.5,0.08
NAM,8,516,516,Namibia,0,12,-,-,12,0.69,0.52,0.05
NPL,8,524,524,Nepal,0,66,-,-,66,0.28,0.26,0.02
NLD,8,528,528,The Netherlands,0,81,-,-,81,0.58,0.81,0.04
NCL,8,540,540,New Caledonia,0,1,-,-,1,0.36,0.48,0.02
VUT,8,548,548,Vanuatu,0,0,-,-,0,0.00,0.00,0.00
NZL,8,554,554,New Zealand,0,36,-,-,36,0.93,1.2,0.06
NIC,8,558,558,Nicaragua,0,37,-,-,37,0.64,0.66,0.04
NER,8,562,562,Niger,0,117,-,-,117,0.87,0.49,0.06
NGA,8,566,566,Nigeria,0,487,-,-,487,0.37,0.25,0.02
NOR,8,578,578,Norway,0,27,-,-,27,0.56,0.78,0.04
PAK,8,586,586,Pakistan,0,866,-,-,866,0.50,0.44,0.03
PAN,8,591,591,Panama,0,21,-,-,21,0.55,0.61,0.04
PNG,8,598,598,Papua New Guinea,0,17,-,-,17,0.26,0.21,0.02
PRY,8,600,600,Paraguay,0,58,-,-,58,1.0,0.97,0.07
PER,8,604,604,Peru,0,136,-,-,136,0.44,0.53,0.03
PHL,8,608,608,Philippines,0,530,-,-,530,0.59,0.57,0.04
POL,8,616,616,Poland,0,247,-,-,247,0.65,1.1,0.04
PRT,8,620,620,Portugal,0,80,-,-,80,0.84,1.4,0.06
GNB,8,624,624,Guinea-Bissau,0,8,-,-,8,0.59,0.43,0.04
TLS,8,626,626,Timor-Leste,0,1,-,-,1,0.15,0.08,0.01
PRI,8,630,630,Puerto Rico,0,48,-,-,48,2.0,3.0,0.13
QAT,8,634,634,Qatar,0,16,-,-,16,0.48,0.62,0.03
REU,8,638,638,"France, La Réunion",0,5,-,-,5,0.67,0.83,0.04
ROU,8,642,642,Romania,0,137,-,-,137,0.72,1.2,0.05
RUS,8,643,643,Russian Federation,0,646,-,-,646,0.49,0.69,0.03
RWA,8,646,646,Rwanda,0,39,-,-,39,0.42,0.32,0.03
LCA,8,662,662,Saint Lucia,0,0,-,-,0,0.00,0.00,0.00
STP,8,678,678,Sao Tome and Principe,0,0,-,-,0,0.00,0.00,0.00
SAU,8,682,682,Saudi Arabia,0,308,-,-,308,0.73,1.0,0.05
SEN,8,686,686,Senegal,0,59,-,-,59,0.52,0.37,0.03
SRB,8,688,688,Serbia,0,60,-,-,60,0.74,1.1,0.05
SLE,8,694,694,Sierra Leone,0,1,-,-,1,0.01,0.01,0.00
SGP,8,702,702,Singapore,0,61,-,-,61,0.99,1.7,0.06
SVK,8,703,703,Slovakia,0,25,-,-,25,0.43,0.73,0.03
VNM,8,704,704,Viet Nam,0,374,-,-,374,0.40,0.50,0.03
SVN,8,705,705,Slovenia,0,11,-,-,11,0.56,0.93,0.04
SOM,8,706,706,Somalia,0,81,-,-,81,0.92,0.53,0.06
ZAF,8,710,710,South Africa,0,356,-,-,356,0.67,0.71,0.04
ZWE,8,716,716,Zimbabwe,0,57,-,-,57,0.56,0.41,0.04
ESP,8,724,724,Spain,0,203,-,-,203,0.40,0.76,0.03
SSD,8,728,728,South Sudan,0,36,-,-,36,0.51,0.35,0.03
SDN,8,729,729,Sudan,0,218,-,-,218,0.66,0.54,0.04
SUR,8,740,740,Suriname,0,3,-,-,3,0.60,0.65,0.04
SWZ,8,748,748,Eswatini,0,6,-,-,6,0.70,0.57,0.05
SWE,8,752,752,Sweden,0,46,-,-,46,0.54,0.74,0.04
CHE,8,756,756,Switzerland,0,39,-,-,39,0.51,0.76,0.03
SYR,8,760,760,Syrian Arab Republic,0,126,-,-,126,0.75,0.77,0.05
TJK,8,762,762,Tajikistan,0,32,-,-,32,0.42,0.37,0.03
THA,8,764,764,Thailand,0,347,-,-,347,0.52,0.78,0.03
TGO,8,768,768,Togo,0,44,-,-,44,0.74,0.57,0.05
TTO,8,780,780,Trinidad and Tobago,0,8,-,-,8,0.65,0.82,0.04
ARE,8,784,784,United Arab Emirates,0,18,-,-,18,0.15,0.21,0.01
TUN,8,788,788,Tunisia,0,68,-,-,68,0.63,0.76,0.04
TUR,8,792,792,Türkiye,0,648,-,-,648,0.85,1.0,0.05
TKM,8,795,795,Turkmenistan,0,15,-,-,15,0.28,0.29,0.02
UGA,8,800,800,Uganda,0,118,-,-,118,0.42,0.26,0.03
UKR,8,804,804,Ukraine,0,225,-,-,225,0.53,0.84,0.03
MKD,8,807,807,North Macedonia,0,15,-,-,15,0.74,1.1,0.05
EGY,8,818,818,Egypt,0,776,-,-,776,0.91,0.87,0.06
GBR,8,826,826,United Kingdom,0,392,-,-,392,0.68,0.93,0.04
TZA,8,834,834,"Tanzania, United Republic of",0,226,-,-,226,0.55,0.39,0.03
USA,8,840,840,United States of America,0,2660,-,-,2660,0.97,1.2,0.06
BFA,8,854,854,Burkina Faso,0,123,-,-,123,0.84,0.61,0.05
URY,8,858,858,Uruguay,0,36,-,-,36,1.2,1.5,0.08
UZB,8,860,860,Uzbekistan,0,87,-,-,87,0.29,0.31,0.02
VEN,8,862,862,Venezuela,0,177,-,-,177,0.71,0.79,0.05
WSM,8,882,882,Samoa,0,0,-,-,0,0.00,0.00,0.00
YEM,8,887,887,Yemen,0,204,-,-,204,0.99,0.72,0.06
ZMB,8,894,894,Zambia,0,33,-,-,33,0.28,0.18,0.02
,,,,Total,,34966,,,34966,0.53,0.59,0.03
