Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,52,-,-,52,0.18,0.16,0.01
ALB,8,008,8,Albania,0,0,-,-,0,0.00,0.00,0.00
DZA,8,012,12,Algeria,0,53,-,-,53,0.22,0.20,0.01
AGO,8,024,24,Angola,0,30,-,-,30,0.14,0.11,0.01
AZE,8,031,31,Azerbaijan,0,8,-,-,8,0.10,0.15,0.00
ARG,8,032,32,Argentina,0,87,-,-,87,0.30,0.35,0.01
AUS,8,036,36,Australia,0,23,-,-,23,0.14,0.19,0.01
AUT,8,040,40,Austria,0,2,-,-,2,0.03,0.06,0.00
BHS,8,044,44,Bahamas,0,0,-,-,0,0.00,0.00,0.00
BHR,8,048,48,Bahrain,0,2,-,-,2,0.11,0.20,0.00
BGD,8,050,50,Bangladesh,0,140,-,-,140,0.11,0.14,0.00
ARM,8,051,51,Armenia,0,2,-,-,2,0.10,0.14,0.00
BRB,8,052,52,Barbados,0,0,-,-,0,0.00,0.00,0.00
BEL,8,056,56,Belgium,0,2,-,-,2,0.03,0.04,0.00
BTN,8,064,64,Bhutan,0,0,-,-,0,0.00,0.00,0.00
BOL,8,068,68,Bolivia (Plurinational State of),0,2,-,-,2,0.02,0.03,0.00
BIH,8,070,70,Bosnia Herzegovina,0,0,-,-,0,0.00,0.00,0.00
BWA,8,072,72,Botswana,0,0,-,-,0,0.00,0.00,0.00
BRA,8,076,76,Brazil,0,306,-,-,306,0.20,0.28,0.01
BLZ,8,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,8,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,8,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,8,100,100,Bulgaria,0,2,-,-,2,0.04,0.08,0.00
MMR,8,104,104,Myanmar,0,34,-,-,34,0.08,0.11,0.00
BDI,8,108,108,Burundi,0,12,-,-,12,0.14,0.12,0.01
BLR,8,112,112,Belarus,0,3,-,-,3,0.07,0.08,0.00
KHM,8,116,116,Cambodia,0,14,-,-,14,0.11,0.13,0.01
CMR,8,120,120,Cameroon,0,25,-,-,25,0.13,0.12,0.01
CAN,8,124,124,Canada,0,35,-,-,35,0.14,0.22,0.01
CPV,8,132,132,Cape Verde,0,0,-,-,0,0.00,0.00,0.00
CAF,8,140,140,Central African Republic,0,3,-,-,3,0.10,0.08,0.00
LKA,8,144,144,Sri Lanka,0,4,-,-,4,0.03,0.04,0.00
TCD,8,148,148,Chad,0,57,-,-,57,0.50,0.41,0.02
CHL,8,152,152,Chile,0,27,-,-,27,0.19,0.29,0.01
CHN,8,156,160,China,0,1144,-,-,1144,0.13,0.19,0.01
COL,8,170,170,Colombia,0,96,-,-,96,0.27,0.34,0.01
COM,8,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,8,178,178,"Congo, Republic of",0,1,-,-,1,0.03,0.02,0.00
COD,8,180,180,"Congo, Democratic Republic of",0,91,-,-,91,0.15,0.12,0.01
CRI,8,188,188,Costa Rica,0,9,-,-,9,0.23,0.34,0.01
HRV,8,191,191,Croatia,0,3,-,-,3,0.12,0.20,0.01
CUB,8,192,192,Cuba,0,21,-,-,21,0.31,0.46,0.01
CYP,8,196,196,Cyprus,0,0,-,-,0,0.00,0.00,0.00
CZE,8,203,203,Czechia,0,2,-,-,2,0.03,0.05,0.00
BEN,8,204,204,Benin,0,13,-,-,13,0.15,0.13,0.01
DNK,8,208,208,Denmark,0,1,-,-,1,0.03,0.04,0.00
DOM,8,214,214,Dominican Republic,0,21,-,-,21,0.28,0.32,0.01
ECU,8,218,218,Ecuador,0,29,-,-,29,0.22,0.27,0.01
SLV,8,222,222,El Salvador,0,7,-,-,7,0.14,0.18,0.01
GNQ,8,226,226,Equatorial Guinea,0,6,-,-,6,0.47,0.53,0.02
ETH,8,231,231,Ethiopia,0,265,-,-,265,0.31,0.29,0.01
ERI,8,232,232,Eritrea,0,4,-,-,4,0.16,0.15,0.01
EST,8,233,233,Estonia,0,0,-,-,0,0.00,0.00,0.00
FJI,8,242,242,Fiji,0,0,-,-,0,0.00,0.00,0.00
FIN,8,246,246,Finland,0,1,-,-,1,0.03,0.05,0.00
FRA,8,250,250,France (metropolitan),0,42,-,-,42,0.11,0.16,0.01
GUF,8,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,8,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,8,262,262,Djibouti,0,0,-,-,0,0.00,0.00,0.00
GAB,8,266,266,Gabon,0,3,-,-,3,0.17,0.18,0.01
GEO,8,268,268,Georgia,0,1,-,-,1,0.03,0.06,0.00
GMB,8,270,270,The Republic of the Gambia,0,2,-,-,2,0.12,0.10,0.00
PSE,8,275,275,Gaza Strip and West Bank,0,5,-,-,5,0.13,0.13,0.01
DEU,8,276,276,Germany,0,24,-,-,24,0.04,0.08,0.00
GHA,8,288,288,Ghana,0,14,-,-,14,0.06,0.06,0.00
GRC,8,300,300,Greece,0,2,-,-,2,0.03,0.06,0.00
GLP,8,312,312,"France, Guadeloupe",0,0,-,-,0,0.00,0.00,0.00
GUM,8,316,316,Guam,0,0,-,-,0,0.00,0.00,0.00
GTM,8,320,320,Guatemala,0,23,-,-,23,0.16,0.18,0.01
GIN,8,324,324,Guinea,0,7,-,-,7,0.07,0.06,0.00
