Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,207,-,-,207,0.84,0.53,0.07
ALB,8,008,8,Albania,0,22,-,-,22,0.66,0.99,0.06
DZA,8,012,12,Algeria,0,751,-,-,751,1.9,1.9,0.17
AGO,8,024,24,Angola,0,199,-,-,199,1.1,0.59,0.09
AZE,8,031,31,Azerbaijan,0,162,-,-,162,1.4,1.8,0.12
ARG,8,032,32,Argentina,0,1284,-,-,1284,2.9,3.3,0.26
AUS,8,036,36,Australia,0,336,-,-,336,1.2,1.7,0.10
AUT,8,040,40,Austria,0,119,-,-,119,0.93,1.8,0.09
BHS,8,044,44,Bahamas,0,12,-,-,12,2.4,3.5,0.23
BHR,8,048,48,Bahrain,0,13,-,-,13,0.74,0.78,0.07
BGD,8,050,50,Bangladesh,0,955,-,-,955,0.58,0.62,0.05
ARM,8,051,51,Armenia,0,45,-,-,45,1.3,1.9,0.13
BRB,8,052,52,Barbados,0,12,-,-,12,3.0,5.5,0.30
BEL,8,056,56,Belgium,0,170,-,-,170,1.1,2.0,0.11
BTN,8,064,64,Bhutan,0,0,-,-,0,0.00,0.00,0.00
BOL,8,068,68,Bolivia (Plurinational State of),0,105,-,-,105,1.1,0.98,0.10
BIH,8,070,70,Bosnia Herzegovina,0,69,-,-,69,1.5,2.9,0.14
BWA,8,072,72,Botswana,0,7,-,-,7,0.39,0.31,0.04
BRA,8,076,76,Brazil,0,4043,-,-,4043,1.7,2.2,0.15
BLZ,8,084,84,Belize,0,5,-,-,5,1.4,1.3,0.14
SLB,8,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,8,096,96,Brunei Darussalam,0,8,-,-,8,1.5,2.0,0.15
BGR,8,100,100,Bulgaria,0,222,-,-,222,2.5,4.5,0.23
MMR,8,104,104,Myanmar,0,523,-,-,523,0.92,1.1,0.08
