Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,302,-,-,302,1.4,0.75,0.16
ALB,8,008,8,Albania,0,64,-,-,64,1.5,2.5,0.18
DZA,8,012,12,Algeria,0,1411,-,-,1411,3.5,3.3,0.41
AGO,8,024,24,Angola,0,226,-,-,226,1.2,0.65,0.12
AZE,8,031,31,Azerbaijan,0,318,-,-,318,2.6,3.2,0.30
ARG,8,032,32,Argentina,0,2974,-,-,2974,6.0,7.0,0.73
AUS,8,036,36,Australia,0,805,-,-,805,2.3,3.5,0.28
AUT,8,040,40,Austria,0,344,-,-,344,2.3,4.4,0.30
BHS,8,044,44,Bahamas,0,27,-,-,27,5.6,7.1,0.70
BHR,8,048,48,Bahrain,0,27,-,-,27,2.0,1.5,0.25
BGD,8,050,50,Bangladesh,0,1328,-,-,1328,0.87,0.82,0.10
ARM,8,051,51,Armenia,0,161,-,-,161,3.6,5.9,0.47
BRB,8,052,52,Barbados,0,32,-,-,32,6.9,12.6,0.87
BEL,8,056,56,Belgium,0,533,-,-,533,2.9,5.3,0.37
BTN,8,064,64,Bhutan,0,2,-,-,2,0.37,0.27,0.06
BOL,8,068,68,Bolivia (Plurinational State of),0,201,-,-,201,2.1,1.8,0.25
BIH,8,070,70,Bosnia Herzegovina,0,252,-,-,252,4.2,8.8,0.53
BWA,8,072,72,Botswana,0,12,-,-,12,0.70,0.51,0.08
BRA,8,076,76,Brazil,0,8412,-,-,8412,3.3,4.2,0.40
BLZ,8,084,84,Belize,0,11,-,-,11,3.5,2.8,0.43
SLB,8,090,90,Solomon Islands,0,2,-,-,2,0.58,0.28,0.08
BRN,8,096,96,Brunei Darussalam,0,18,-,-,18,3.7,4.2,0.48
BGR,8,100,100,Bulgaria,0,675,-,-,675,5.9,11.7,0.74
MMR,8,104,104,Myanmar,0,968,-,-,968,1.7,1.8,0.20
BDI,8,108,108,Burundi,0,88,-,-,88,1.5,0.71,0.17
BLR,8,112,112,Belarus,0,728,-,-,728,4.5,8.6,0.56
KHM,8,116,116,Cambodia,0,348,-,-,348,2.5,2.1,0.28
CMR,8,120,120,Cameroon,0,245,-,-,245,1.7,0.89,0.19
CAN,8,124,124,Canada,0,1692,-,-,1692,2.9,5.1,0.34
CPV,8,132,132,Cape Verde,0,1,-,-,1,0.20,0.18,0.02
CAF,8,140,140,Central African Republic,0,36,-,-,36,1.4,0.73,0.14
LKA,8,144,144,Sri Lanka,0,295,-,-,295,1.1,1.5,0.13
TCD,8,148,148,Chad,0,82,-,-,82,0.62,0.48,0.05
CHL,8,152,152,Chile,0,841,-,-,841,3.3,4.8,0.40
CHN,8,156,160,China,0,46118,-,-,46118,2.2,3.6,0.26
COL,8,170,170,Colombia,0,1899,-,-,1899,3.3,3.9,0.39
COM,8,174,174,Comoros,0,6,-,-,6,1.2,0.67,0.16
COG,8,178,178,"Congo, Republic of",0,29,-,-,29,0.82,0.51,0.09
COD,8,180,180,"Congo, Democratic Republic of",0,601,-,-,601,1.2,0.64,0.14
CRI,8,188,188,Costa Rica,0,221,-,-,221,3.5,4.6,0.42
HRV,8,191,191,Croatia,0,417,-,-,417,5.9,12.1,0.74
CUB,8,192,192,Cuba,0,825,-,-,825,4.6,8.3,0.57
CYP,8,196,196,Cyprus,0,68,-,-,68,4.0,6.2,0.51
CZE,8,203,203,Czechia,0,606,-,-,606,3.5,6.6,0.46
BEN,8,204,204,Benin,0,113,-,-,113,1.6,0.90,0.19
DNK,8,208,208,Denmark,0,337,-,-,337,3.8,6.8,0.49
DOM,8,214,214,Dominican Republic,0,491,-,-,491,4.7,4.7,0.56
ECU,8,218,218,Ecuador,0,411,-,-,411,2.4,2.4,0.28
SLV,8,222,222,El Salvador,0,134,-,-,134,2.2,2.2,0.26
GNQ,8,226,226,Equatorial Guinea,0,20,-,-,20,2.2,1.4,0.24
ETH,8,231,231,Ethiopia,0,2124,-,-,2124,3.1,1.8,0.34
ERI,8,232,232,Eritrea,0,44,-,-,44,2.1,1.2,0.23
EST,8,233,233,Estonia,0,87,-,-,87,3.8,7.7,0.51
FJI,8,242,242,Fiji,0,17,-,-,17,1.9,1.9,0.22
FIN,8,246,246,Finland,0,238,-,-,238,2.7,5.2,0.34
FRA,8,250,250,France (metropolitan),0,3298,-,-,3298,3.4,6.0,0.41
GUF,8,254,254,French Guyana,0,8,-,-,8,2.9,2.6,0.34
PYF,8,258,258,French Polynesia,0,8,-,-,8,2.2,3.0,0.31
DJI,8,262,262,Djibouti,0,18,-,-,18,2.2,1.8,0.25
GAB,8,266,266,Gabon,0,37,-,-,37,2.4,1.6,0.27
GEO,8,268,268,Georgia,0,141,-,-,141,2.3,4.0,0.29
GMB,8,270,270,The Republic of the Gambia,0,11,-,-,11,0.76,0.44,0.08
PSE,8,275,275,Gaza Strip and West Bank,0,129,-,-,129,4.4,2.5,0.53
DEU,8,276,276,Germany,0,3859,-,-,3859,2.7,5.5,0.34
GHA,8,288,288,Ghana,0,111,-,-,111,0.53,0.35,0.07
GRC,8,300,300,Greece,0,682,-,-,682,4.0,8.0,0.51
GLP,8,312,312,"France, Guadeloupe",0,28,-,-,28,4.2,8.2,0.51
GUM,8,316,316,Guam,0,5,-,-,5,2.4,3.1,0.32
GTM,8,320,320,Guatemala,0,245,-,-,245,2.0,1.4,0.23
GIN,8,324,324,Guinea,0,52,-,-,52,0.68,0.38,0.07
GUY,8,328,328,Guyana,0,19,-,-,19,2.4,2.5,0.29
HTI,8,332,332,Haiti,0,258,-,-,258,2.7,2.3,0.28
HND,8,340,340,Honduras,0,180,-,-,180,2.3,1.8,0.25
HUN,8,348,348,Hungary,0,1155,-,-,1155,7.3,14.0,0.91
ISL,8,352,352,Iceland,0,23,-,-,23,4.6,7.5,0.58
IND,8,356,356,India,0,13349,-,-,13349,0.98,0.99,0.12
IDN,8,360,360,Indonesia,0,6199,-,-,6199,2.1,2.3,0.25
IRN,8,364,364,"Iran, Islamic Republic of",0,2670,-,-,2670,3.0,3.2,0.36
IRQ,8,368,368,Iraq,0,674,-,-,674,2.6,1.6,0.29
IRL,8,372,372,Ireland,0,117,-,-,117,1.7,2.6,0.22
ISR,8,376,376,Israel,0,306,-,-,306,3.3,3.8,0.39
ITA,8,380,380,Italy,0,3584,-,-,3584,3.5,7.3,0.44
CIV,8,384,384,"Côte d'Ivoire",0,395,-,-,395,2.6,1.5,0.29
JAM,8,388,388,Jamaica,0,189,-,-,189,5.8,6.8,0.71
JPN,8,392,392,Japan,0,7265,-,-,7265,3.7,7.5,0.46
KAZ,8,398,398,Kazakhstan,0,643,-,-,643,3.0,3.5,0.37
JOR,8,400,400,Jordan,0,329,-,-,329,4.4,3.3,0.50
KEN,8,404,404,Kenya,0,871,-,-,871,3.0,1.6,0.36
