Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,8,004,4,Afghanistan,0,477,-,-,477,2.3,1.2,0.31
ALB,8,008,8,Albania,0,177,-,-,177,4.0,6.6,0.55
DZA,8,012,12,Algeria,0,3564,-,-,3564,8.5,8.1,1.2
AGO,8,024,24,Angola,0,384,-,-,384,1.9,1.1,0.21
AZE,8,031,31,Azerbaijan,0,856,-,-,856,7.0,8.5,0.99
ARG,8,032,32,Argentina,0,8310,-,-,8310,15.6,19.0,2.2
AUS,8,036,36,Australia,0,6583,-,-,6583,17.9,27.3,2.4
AUT,8,040,40,Austria,0,1654,-,-,1654,11.0,20.3,1.6
BHS,8,044,44,Bahamas,0,42,-,-,42,8.8,10.8,1.3
BHR,8,048,48,Bahrain,0,85,-,-,85,7.0,4.8,1.1
BGD,8,050,50,Bangladesh,0,2385,-,-,2385,1.6,1.5,0.20
ARM,8,051,51,Armenia,0,609,-,-,609,13.3,21.5,2.1
BRB,8,052,52,Barbados,0,61,-,-,61,12.7,23.0,1.8
BEL,8,056,56,Belgium,0,3147,-,-,3147,15.8,29.7,2.3
BTN,8,064,64,Bhutan,0,9,-,-,9,1.5,1.2,0.23
BOL,8,068,68,Bolivia (Plurinational State of),0,419,-,-,419,4.2,3.6,0.58
BIH,8,070,70,Bosnia Herzegovina,0,722,-,-,722,11.6,23.9,1.7
BWA,8,072,72,Botswana,0,37,-,-,37,2.0,1.5,0.25
BRA,8,076,76,Brazil,0,22353,-,-,22353,8.5,10.8,1.2
BLZ,8,084,84,Belize,0,15,-,-,15,4.7,3.7,0.66
SLB,8,090,90,Solomon Islands,0,3,-,-,3,0.85,0.42,0.15
BRN,8,096,96,Brunei Darussalam,0,62,-,-,62,12.6,14.2,1.8
BGR,8,100,100,Bulgaria,0,2089,-,-,2089,15.4,33.7,2.3
MMR,8,104,104,Myanmar,0,2334,-,-,2334,4.1,4.3,0.56
BDI,8,108,108,Burundi,0,135,-,-,135,2.3,1.1,0.31
BLR,8,112,112,Belarus,0,2615,-,-,2615,15.8,29.6,2.4
KHM,8,116,116,Cambodia,0,817,-,-,817,5.8,4.8,0.79
CMR,8,120,120,Cameroon,0,429,-,-,429,2.9,1.6,0.37
CAN,8,124,124,Canada,0,9024,-,-,9024,13.8,25.6,2.0
CPV,8,132,132,Cape Verde,0,18,-,-,18,3.4,3.2,0.38
CAF,8,140,140,Central African Republic,0,59,-,-,59,2.1,1.2,0.26
LKA,8,144,144,Sri Lanka,0,811,-,-,811,2.7,3.9,0.39
TCD,8,148,148,Chad,0,115,-,-,115,0.90,0.67,0.10
CHL,8,152,152,Chile,0,2791,-,-,2791,10.3,15.3,1.5
CHN,8,156,160,China,0,195373,-,-,195373,8.6,14.6,1.2
COL,8,170,170,Colombia,0,5297,-,-,5297,8.9,10.7,1.3
COM,8,174,174,Comoros,0,9,-,-,9,1.9,1.0,0.31
COG,8,178,178,"Congo, Republic of",0,61,-,-,61,1.7,1.1,0.21
COD,8,180,180,"Congo, Democratic Republic of",0,983,-,-,983,2.0,1.0,0.27
CRI,8,188,188,Costa Rica,0,473,-,-,473,7.2,9.6,1.1
HRV,8,191,191,Croatia,0,1560,-,-,1560,19.7,42.6,2.9
CUB,8,192,192,Cuba,0,2204,-,-,2204,11.3,21.0,1.7
CYP,8,196,196,Cyprus,0,237,-,-,237,13.0,20.7,1.9
CZE,8,203,203,Czechia,0,2752,-,-,2752,14.3,28.1,2.1
BEN,8,204,204,Benin,0,227,-,-,227,3.1,1.8,0.43
DNK,8,208,208,Denmark,0,2666,-,-,2666,25.6,50.6,3.8
DOM,8,214,214,Dominican Republic,0,1161,-,-,1161,10.7,10.8,1.5
ECU,8,218,218,Ecuador,0,1130,-,-,1130,6.4,6.4,0.92
SLV,8,222,222,El Salvador,0,303,-,-,303,4.7,4.8,0.67
GNQ,8,226,226,Equatorial Guinea,0,29,-,-,29,3.5,2.0,0.38
ETH,8,231,231,Ethiopia,0,3140,-,-,3140,4.6,2.6,0.57
ERI,8,232,232,Eritrea,0,74,-,-,74,3.2,2.1,0.40
EST,8,233,233,Estonia,0,368,-,-,368,15.6,31.0,2.4
FJI,8,242,242,Fiji,0,36,-,-,36,4.0,4.0,0.58
FIN,8,246,246,Finland,0,1308,-,-,1308,12.6,26.4,1.8
FRA,8,250,250,France (metropolitan),0,17703,-,-,17703,15.4,30.0,2.3
GUF,8,254,254,French Guyana,0,24,-,-,24,8.6,7.8,1.3
PYF,8,258,258,French Polynesia,0,19,-,-,19,5.3,6.9,0.79
DJI,8,262,262,Djibouti,0,27,-,-,27,3.1,2.7,0.40
GAB,8,266,266,Gabon,0,63,-,-,63,4.0,2.7,0.47
GEO,8,268,268,Georgia,0,389,-,-,389,5.9,10.5,0.90
GMB,8,270,270,The Republic of the Gambia,0,14,-,-,14,0.92,0.55,0.10
PSE,8,275,275,Gaza Strip and West Bank,0,295,-,-,295,10.0,5.6,1.5
DEU,8,276,276,Germany,0,16015,-,-,16015,10.1,21.6,1.6
GHA,8,288,288,Ghana,0,219,-,-,219,1.1,0.68,0.18
GRC,8,300,300,Greece,0,3309,-,-,3309,17.0,36.4,2.6
GLP,8,312,312,"France, Guadeloupe",0,92,-,-,92,13.0,25.4,1.8
GUM,8,316,316,Guam,0,16,-,-,16,7.3,9.7,1.1
GTM,8,320,320,Guatemala,0,516,-,-,516,4.1,2.8,0.61
GIN,8,324,324,Guinea,0,74,-,-,74,0.99,0.54,0.12
GUY,8,328,328,Guyana,0,42,-,-,42,5.2,5.4,0.75
HTI,8,332,332,Haiti,0,447,-,-,447,4.9,3.9,0.72
HND,8,340,340,Honduras,0,264,-,-,264,3.6,2.6,0.53
HUN,8,348,348,Hungary,0,3947,-,-,3947,22.1,45.0,3.3
ISL,8,352,352,Iceland,0,93,-,-,93,17.0,28.9,2.5
IND,8,356,356,India,0,28455,-,-,28455,2.1,2.1,0.28
IDN,8,360,360,Indonesia,0,15459,-,-,15459,5.3,5.7,0.72
IRN,8,364,364,"Iran, Islamic Republic of",0,7426,-,-,7426,8.2,8.8,1.1
IRQ,8,368,368,Iraq,0,1289,-,-,1289,5.0,3.1,0.66
IRL,8,372,372,Ireland,0,1105,-,-,1105,14.8,23.5,2.2
ISR,8,376,376,Israel,0,1406,-,-,1406,13.7,16.6,1.8
ITA,8,380,380,Italy,0,18920,-,-,18920,16.0,35.8,2.4
CIV,8,384,384,"Côte d'Ivoire",0,615,-,-,615,4.2,2.2,0.55
JAM,8,388,388,Jamaica,0,383,-,-,383,11.4,13.3,1.6
JPN,8,392,392,Japan,0,44195,-,-,44195,17.9,41.7,2.6
KAZ,8,398,398,Kazakhstan,0,1536,-,-,1536,7.2,8.2,1.1
JOR,8,400,400,Jordan,0,788,-,-,788,10.5,7.8,1.4
KEN,8,404,404,Kenya,0,1583,-,-,1583,5.5,2.8,0.76
PRK,8,408,408,"Korea, Democratic People Republic of",0,2456,-,-,2456,7.3,9.9,1.1
KOR,8,410,410,"Korea, Republic of",0,11485,-,-,11485,12.2,24.1,1.8
KWT,8,414,414,Kuwait,0,269,-,-,269,6.2,6.2,0.92
