Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,452,-,-,452,2.1,1.1,0.28
ALB,9,008,8,Albania,0,189,-,-,189,4.5,7.0,0.58
DZA,9,012,12,Algeria,0,2520,-,-,2520,6.0,5.7,0.80
AGO,9,024,24,Angola,0,332,-,-,332,2.0,0.95,0.26
AZE,9,031,31,Azerbaijan,0,548,-,-,548,4.4,5.4,0.60
ARG,9,032,32,Argentina,0,2164,-,-,2164,4.1,5.0,0.56
AUS,9,036,36,Australia,0,3556,-,-,3556,9.6,14.8,1.3
AUT,9,040,40,Austria,0,973,-,-,973,6.4,11.9,0.89
BHS,9,044,44,Bahamas,0,17,-,-,17,3.7,4.4,0.58
BHR,9,048,48,Bahrain,0,48,-,-,48,3.5,2.7,0.50
BGD,9,050,50,Bangladesh,0,2165,-,-,2165,1.4,1.3,0.18
ARM,9,051,51,Armenia,0,182,-,-,182,4.0,6.4,0.64
BRB,9,052,52,Barbados,0,28,-,-,28,6.4,10.5,0.81
BEL,9,056,56,Belgium,0,1405,-,-,1405,7.2,13.3,1.0
BTN,9,064,64,Bhutan,0,13,-,-,13,2.0,1.7,0.28
BOL,9,068,68,Bolivia (Plurinational State of),0,118,-,-,118,1.2,1.0,0.18
BIH,9,070,70,Bosnia Herzegovina,0,676,-,-,676,11.2,22.4,1.6
BWA,9,072,72,Botswana,0,29,-,-,29,1.5,1.2,0.18
BRA,9,076,76,Brazil,0,16976,-,-,16976,6.4,8.2,0.90
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,11,-,-,11,2.6,1.6,0.38
BRN,9,096,96,Brunei Darussalam,0,68,-,-,68,13.6,15.5,1.8
BGR,9,100,100,Bulgaria,0,1265,-,-,1265,9.7,20.4,1.4
MMR,9,104,104,Myanmar,0,2062,-,-,2062,3.7,3.8,0.52
BDI,9,108,108,Burundi,0,134,-,-,134,2.4,1.1,0.33
BLR,9,112,112,Belarus,0,1877,-,-,1877,11.4,21.2,1.7
KHM,9,116,116,Cambodia,0,555,-,-,555,4.1,3.3,0.58
CMR,9,120,120,Cameroon,0,311,-,-,311,2.1,1.1,0.27
CAN,9,124,124,Canada,0,5340,-,-,5340,8.8,15.2,1.1
CPV,9,132,132,Cape Verde,0,6,-,-,6,1.4,1.1,0.22
CAF,9,140,140,Central African Republic,0,60,-,-,60,2.2,1.2,0.27
LKA,9,144,144,Sri Lanka,0,1021,-,-,1021,3.5,4.9,0.49
TCD,9,148,148,Chad,0,95,-,-,95,1.1,0.55,0.12
CHL,9,152,152,Chile,0,1372,-,-,1372,5.1,7.5,0.74
CHN,9,156,160,China,0,182698,-,-,182698,8.0,13.7,1.1
COL,9,170,170,Colombia,0,2251,-,-,2251,3.8,4.5,0.52
COM,9,174,174,Comoros,0,6,-,-,6,1.4,0.67,0.25
COG,9,178,178,"Congo, Republic of",0,69,-,-,69,1.9,1.2,0.24
COD,9,180,180,"Congo, Democratic Republic of",0,1109,-,-,1109,2.3,1.2,0.30
CRI,9,188,188,Costa Rica,0,247,-,-,247,3.8,5.0,0.52
HRV,9,191,191,Croatia,0,1072,-,-,1072,13.9,29.2,2.0
