Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,89,-,-,89,0.32,0.24,0.02
ALB,9,008,8,Albania,0,3,-,-,3,0.14,0.16,0.01
DZA,9,012,12,Algeria,0,223,-,-,223,0.60,0.61,0.04
AGO,9,024,24,Angola,0,70,-,-,70,0.28,0.22,0.02
AZE,9,031,31,Azerbaijan,0,51,-,-,51,0.57,0.66,0.04
ARG,9,032,32,Argentina,0,109,-,-,109,0.27,0.32,0.02
AUS,9,036,36,Australia,0,102,-,-,102,0.45,0.60,0.03
AUT,9,040,40,Austria,0,24,-,-,24,0.30,0.46,0.02
BHS,9,044,44,Bahamas,0,1,-,-,1,0.26,0.34,0.02
BHR,9,048,48,Bahrain,0,4,-,-,4,0.18,0.26,0.01
BGD,9,050,50,Bangladesh,0,514,-,-,514,0.33,0.37,0.02
ARM,9,051,51,Armenia,0,3,-,-,3,0.12,0.15,0.01
BRB,9,052,52,Barbados,0,1,-,-,1,0.38,0.56,0.03
BEL,9,056,56,Belgium,0,23,-,-,23,0.23,0.33,0.02
BTN,9,064,64,Bhutan,0,3,-,-,3,0.42,0.46,0.03
BOL,9,068,68,Bolivia (Plurinational State of),0,8,-,-,8,0.10,0.08,0.01
BIH,9,070,70,Bosnia Herzegovina,0,20,-,-,20,0.67,1.1,0.04
BWA,9,072,72,Botswana,0,6,-,-,6,0.26,0.29,0.02
BRA,9,076,76,Brazil,0,971,-,-,971,0.47,0.61,0.03
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,9,096,96,Brunei Darussalam,0,7,-,-,7,1.4,2.0,0.10
BGR,9,100,100,Bulgaria,0,37,-,-,37,0.54,0.94,0.04
MMR,9,104,104,Myanmar,0,180,-,-,180,0.36,0.41,0.02
BDI,9,108,108,Burundi,0,21,-,-,21,0.31,0.18,0.02
BLR,9,112,112,Belarus,0,43,-,-,43,0.48,0.73,0.03
KHM,9,116,116,Cambodia,0,39,-,-,39,0.34,0.27,0.02
CMR,9,120,120,Cameroon,0,57,-,-,57,0.31,0.23,0.02
CAN,9,124,124,Canada,0,239,-,-,239,0.72,1.0,0.05
CPV,9,132,132,Cape Verde,0,1,-,-,1,0.24,0.21,0.02
CAF,9,140,140,Central African Republic,0,17,-,-,17,0.51,0.37,0.03
LKA,9,144,144,Sri Lanka,0,63,-,-,63,0.34,0.41,0.02
TCD,9,148,148,Chad,0,44,-,-,44,0.54,0.27,0.04
CHL,9,152,152,Chile,0,62,-,-,62,0.35,0.47,0.02
CHN,9,156,160,China,0,6432,-,-,6432,0.49,0.72,0.03
COL,9,170,170,Colombia,0,167,-,-,167,0.36,0.43,0.02
COM,9,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,9,178,178,"Congo, Republic of",0,17,-,-,17,0.42,0.33,0.03
COD,9,180,180,"Congo, Democratic Republic of",0,238,-,-,238,0.41,0.28,0.03
CRI,9,188,188,Costa Rica,0,15,-,-,15,0.31,0.40,0.02
HRV,9,191,191,Croatia,0,19,-,-,19,0.52,0.82,0.03
CUB,9,192,192,Cuba,0,21,-,-,21,0.22,0.31,0.01
CYP,9,196,196,Cyprus,0,1,-,-,1,0.09,0.12,0.01
CZE,9,203,203,Czechia,0,35,-,-,35,0.29,0.54,0.02
BEN,9,204,204,Benin,0,11,-,-,11,0.15,0.10,0.01
DNK,9,208,208,Denmark,0,9,-,-,9,0.19,0.26,0.01
DOM,9,214,214,Dominican Republic,0,13,-,-,13,0.14,0.15,0.01
ECU,9,218,218,Ecuador,0,36,-,-,36,0.23,0.25,0.02
SLV,9,222,222,El Salvador,0,14,-,-,14,0.27,0.27,0.02
GNQ,9,226,226,Equatorial Guinea,0,6,-,-,6,0.49,0.44,0.03
ETH,9,231,231,Ethiopia,0,860,-,-,860,1.1,0.80,0.07
ERI,9,232,232,Eritrea,0,14,-,-,14,0.58,0.43,0.04
EST,9,233,233,Estonia,0,2,-,-,2,0.16,0.25,0.01
FJI,9,242,242,Fiji,0,3,-,-,3,0.41,0.41,0.03
FIN,9,246,246,Finland,0,8,-,-,8,0.18,0.25,0.01
FRA,9,250,250,France (metropolitan),0,161,-,-,161,0.30,0.41,0.02
GUF,9,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,9,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,9,262,262,Djibouti,0,8,-,-,8,0.80,0.94,0.05
GAB,9,266,266,Gabon,0,6,-,-,6,0.27,0.29,0.02
GEO,9,268,268,Georgia,0,11,-,-,11,0.31,0.43,0.02
GMB,9,270,270,The Republic of the Gambia,0,9,-,-,9,0.53,0.39,0.03
PSE,9,275,275,Gaza Strip and West Bank,0,22,-,-,22,0.63,0.46,0.04
