Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
ITA,9,380,380,Italy,0,828,-,-,828,0.91,1.8,0.09
CIV,9,384,384,"Côte d'Ivoire",0,146,-,-,146,0.91,0.54,0.09
JAM,9,388,388,Jamaica,0,44,-,-,44,1.4,1.6,0.14
JPN,9,392,392,Japan,0,2890,-,-,2890,1.7,3.2,0.18
KAZ,9,398,398,Kazakhstan,0,417,-,-,417,2.0,2.4,0.21
JOR,9,400,400,Jordan,0,117,-,-,117,1.4,1.2,0.14
KEN,9,404,404,Kenya,0,459,-,-,459,1.4,0.84,0.15
PRK,9,408,408,"Korea, Democratic People Republic of",0,940,-,-,940,2.7,4.0,0.28
KOR,9,410,410,"Korea, Republic of",0,1134,-,-,1134,1.4,2.7,0.14
KWT,9,414,414,Kuwait,0,42,-,-,42,0.74,1.0,0.08
KGZ,9,417,417,Kyrgyzstan,0,69,-,-,69,1.1,1.1,0.11
LAO,9,418,418,"Lao People's Democratic Republic",0,94,-,-,94,1.7,1.3,0.17
LBN,9,422,422,Lebanon,0,71,-,-,71,1.0,1.2,0.10
LSO,9,426,426,Lesotho,0,13,-,-,13,0.77,0.63,0.07
LVA,9,428,428,Latvia,0,57,-,-,57,2.0,3.9,0.22
LBR,9,430,430,Liberia,0,21,-,-,21,0.59,0.41,0.06
LBY,9,434,434,Libya,0,72,-,-,72,1.1,1.1,0.10
LTU,9,440,440,Lithuania,0,84,-,-,84,2.0,4.0,0.21
LUX,9,442,442,Luxembourg,0,7,-,-,7,0.76,1.3,0.08
MDG,9,450,450,Madagascar,0,107,-,-,107,0.60,0.38,0.06
MWI,9,454,454,Malawi,0,122,-,-,122,1.0,0.62,0.09
MYS,9,458,458,Malaysia,0,616,-,-,616,1.9,2.0,0.19
MDV,9,462,462,Maldives,0,5,-,-,5,1.2,0.96,0.12
MLI,9,466,466,Mali,0,250,-,-,250,2.1,1.2,0.20
MLT,9,470,470,Malta,0,6,-,-,6,0.97,1.7,0.11
MTQ,9,474,474,"France, Martinique",0,6,-,-,6,0.84,2.1,0.10
MRT,9,478,478,Mauritania,0,31,-,-,31,0.99,0.65,0.10
MUS,9,480,480,Mauritius,0,15,-,-,15,0.91,1.4,0.09
MEX,9,484,484,Mexico,0,711,-,-,711,0.54,0.59,0.05
MNG,9,496,496,Mongolia,0,10,-,-,10,0.31,0.31,0.03
MDA,9,498,498,Republic of Moldova,0,187,-,-,187,3.4,5.4,0.36
MNE,9,499,499,Montenegro,0,16,-,-,16,2.0,3.1,0.20
MAR,9,504,504,Morocco,0,542,-,-,542,1.4,1.6,0.14
MOZ,9,508,508,Mozambique,0,100,-,-,100,0.53,0.31,0.05
OMN,9,512,512,Oman,0,59,-,-,59,1.4,1.1,0.13
NAM,9,516,516,Namibia,0,18,-,-,18,1.1,0.71,0.11
NPL,9,524,524,Nepal,0,161,-,-,161,0.59,0.57,0.05
NLD,9,528,528,The Netherlands,0,364,-,-,364,1.5,2.7,0.15
NCL,9,540,540,New Caledonia,0,4,-,-,4,1.2,1.5,0.13
VUT,9,548,548,Vanuatu,0,4,-,-,4,2.1,1.3,0.22
NZL,9,554,554,New Zealand,0,110,-,-,110,1.8,2.7,0.18
NIC,9,558,558,Nicaragua,0,40,-,-,40,0.70,0.63,0.07
NER,9,562,562,Niger,0,176,-,-,176,1.2,0.69,0.11
NGA,9,566,566,Nigeria,0,1401,-,-,1401,1.2,0.66,0.12
NOR,9,578,578,Norway,0,89,-,-,89,1.2,2.0,0.13
PAK,9,586,586,Pakistan,0,1214,-,-,1214,0.68,0.55,0.06
PAN,9,591,591,Panama,0,28,-,-,28,0.63,0.69,0.06
PNG,9,598,598,Papua New Guinea,0,75,-,-,75,1.2,0.84,0.12
PRY,9,600,600,Paraguay,0,47,-,-,47,0.79,0.69,0.08
PER,9,604,604,Peru,0,147,-,-,147,0.43,0.48,0.04
PHL,9,608,608,Philippines,0,1478,-,-,1478,1.5,1.4,0.16
POL,9,616,616,Poland,0,1227,-,-,1227,2.4,4.1,0.25
PRT,9,620,620,Portugal,0,266,-,-,266,1.8,3.4,0.18
GNB,9,624,624,Guinea-Bissau,0,8,-,-,8,0.82,0.40,0.08
TLS,9,626,626,Timor-Leste,0,10,-,-,10,1.2,0.76,0.12
PRI,9,630,630,Puerto Rico,0,58,-,-,58,1.4,2.6,0.15
QAT,9,634,634,Qatar,0,15,-,-,15,0.59,0.51,0.06
REU,9,638,638,"France, La Réunion",0,9,-,-,9,0.71,1.2,0.08
ROU,9,642,642,Romania,0,683,-,-,683,2.6,4.5,0.27
RUS,9,643,643,Russian Federation,0,5089,-,-,5089,2.5,4.2,0.26
RWA,9,646,646,Rwanda,0,87,-,-,87,1.0,0.66,0.10
LCA,9,662,662,Saint Lucia,0,2,-,-,2,0.84,1.2,0.10
STP,9,678,678,Sao Tome and Principe,0,1,-,-,1,0.94,0.45,0.11
SAU,9,682,682,Saudi Arabia,0,582,-,-,582,1.6,1.7,0.15
SEN,9,686,686,Senegal,0,115,-,-,115,1.1,0.67,0.10
SRB,9,688,688,Serbia,0,396,-,-,396,3.4,5.7,0.36
SLE,9,694,694,Sierra Leone,0,3,-,-,3,0.06,0.04,0.01
SGP,9,702,702,Singapore,0,217,-,-,217,2.2,4.3,0.23
SVK,9,703,703,Slovakia,0,203,-,-,203,2.6,4.5,0.28
VNM,9,704,704,Viet Nam,0,1927,-,-,1927,1.7,2.1,0.18
SVN,9,705,705,Slovenia,0,52,-,-,52,1.7,3.2,0.18
SOM,9,706,706,Somalia,0,159,-,-,159,1.9,0.97,0.18
ZAF,9,710,710,South Africa,0,550,-,-,550,1.0,0.96,0.10
ZWE,9,716,716,Zimbabwe,0,74,-,-,74,0.91,0.50,0.09
ESP,9,724,724,Spain,0,866,-,-,866,1.2,2.3,0.13
SSD,9,728,728,South Sudan,0,74,-,-,74,1.1,0.66,0.11
SDN,9,729,729,Sudan,0,236,-,-,236,0.68,0.53,0.06
SUR,9,740,740,Suriname,0,3,-,-,3,0.47,0.54,0.04
SWZ,9,748,748,Eswatini,0,7,-,-,7,0.87,0.62,0.08
SWE,9,752,752,Sweden,0,153,-,-,153,1.2,1.9,0.12
CHE,9,756,756,Switzerland,0,134,-,-,134,1.0,1.9,0.11
SYR,9,760,760,Syrian Arab Republic,0,108,-,-,108,0.61,0.59,0.06
TJK,9,762,762,Tajikistan,0,66,-,-,66,0.85,0.69,0.08
THA,9,764,764,Thailand,0,1535,-,-,1535,1.5,2.6,0.15
TGO,9,768,768,Togo,0,46,-,-,46,0.85,0.55,0.08
TTO,9,780,780,Trinidad and Tobago,0,19,-,-,19,1.1,1.5,0.11
ARE,9,784,784,United Arab Emirates,0,52,-,-,52,0.62,0.52,0.07
TUN,9,788,788,Tunisia,0,145,-,-,145,1.1,1.3,0.10
TUR,9,792,792,Türkiye,0,1294,-,-,1294,1.4,1.7,0.14
