Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,152,-,-,152,0.62,0.39,0.05
ALB,9,008,8,Albania,0,20,-,-,20,0.57,0.90,0.05
DZA,9,012,12,Algeria,0,520,-,-,520,1.3,1.3,0.11
AGO,9,024,24,Angola,0,105,-,-,105,0.48,0.31,0.04
AZE,9,031,31,Azerbaijan,0,148,-,-,148,1.3,1.7,0.11
ARG,9,032,32,Argentina,0,271,-,-,271,0.60,0.70,0.05
AUS,9,036,36,Australia,0,275,-,-,275,0.95,1.4,0.08
AUT,9,040,40,Austria,0,99,-,-,99,0.80,1.5,0.07
BHS,9,044,44,Bahamas,0,4,-,-,4,0.82,1.2,0.08
BHR,9,048,48,Bahrain,0,8,-,-,8,0.42,0.48,0.04
BGD,9,050,50,Bangladesh,0,837,-,-,837,0.50,0.55,0.04
ARM,9,051,51,Armenia,0,18,-,-,18,0.53,0.75,0.05
BRB,9,052,52,Barbados,0,3,-,-,3,0.86,1.4,0.08
BEL,9,056,56,Belgium,0,96,-,-,96,0.66,1.1,0.06
BTN,9,064,64,Bhutan,0,6,-,-,6,0.86,0.84,0.08
BOL,9,068,68,Bolivia (Plurinational State of),0,16,-,-,16,0.17,0.15,0.02
BIH,9,070,70,Bosnia Herzegovina,0,78,-,-,78,1.8,3.3,0.16
BWA,9,072,72,Botswana,0,6,-,-,6,0.24,0.27,0.02
BRA,9,076,76,Brazil,0,2620,-,-,2620,1.1,1.4,0.10
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,9,096,96,Brunei Darussalam,0,15,-,-,15,2.8,3.8,0.25
BGR,9,100,100,Bulgaria,0,132,-,-,132,1.5,2.7,0.14
MMR,9,104,104,Myanmar,0,430,-,-,430,0.76,0.87,0.07
BDI,9,108,108,Burundi,0,45,-,-,45,0.75,0.37,0.07
BLR,9,112,112,Belarus,0,205,-,-,205,1.7,2.9,0.16
KHM,9,116,116,Cambodia,0,124,-,-,124,0.89,0.79,0.08
CMR,9,120,120,Cameroon,0,112,-,-,112,0.68,0.42,0.06
CAN,9,124,124,Canada,0,607,-,-,607,1.4,2.1,0.12
CPV,9,132,132,Cape Verde,0,1,-,-,1,0.22,0.19,0.02
CAF,9,140,140,Central African Republic,0,28,-,-,28,0.92,0.58,0.08
LKA,9,144,144,Sri Lanka,0,190,-,-,190,0.80,1.1,0.07
TCD,9,148,148,Chad,0,59,-,-,59,0.70,0.35,0.05
CHL,9,152,152,Chile,0,176,-,-,176,0.79,1.1,0.07
CHN,9,156,160,China,0,22768,-,-,22768,1.1,2.0,0.10
COL,9,170,170,Colombia,0,382,-,-,382,0.70,0.86,0.06
COM,9,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,9,178,178,"Congo, Republic of",0,33,-,-,33,0.83,0.60,0.07
COD,9,180,180,"Congo, Democratic Republic of",0,420,-,-,420,0.76,0.46,0.07
CRI,9,188,188,Costa Rica,0,44,-,-,44,0.75,1.0,0.07
HRV,9,191,191,Croatia,0,85,-,-,85,1.6,3.0,0.15
CUB,9,192,192,Cuba,0,71,-,-,71,0.45,0.81,0.04
CYP,9,196,196,Cyprus,0,9,-,-,9,0.60,0.93,0.06
CZE,9,203,203,Czechia,0,155,-,-,155,1.1,2.0,0.11
BEN,9,204,204,Benin,0,34,-,-,34,0.47,0.28,0.04
DNK,9,208,208,Denmark,0,43,-,-,43,0.58,1.0,0.05
DOM,9,214,214,Dominican Republic,0,28,-,-,28,0.27,0.29,0.02
ECU,9,218,218,Ecuador,0,84,-,-,84,0.50,0.52,0.04
SLV,9,222,222,El Salvador,0,25,-,-,25,0.43,0.44,0.04
GNQ,9,226,226,Equatorial Guinea,0,9,-,-,9,0.91,0.62,0.08
ETH,9,231,231,Ethiopia,0,1282,-,-,1282,1.6,1.1,0.14
ERI,9,232,232,Eritrea,0,26,-,-,26,1.2,0.76,0.10
EST,9,233,233,Estonia,0,13,-,-,13,0.79,1.4,0.08
FJI,9,242,242,Fiji,0,7,-,-,7,0.83,0.86,0.07
FIN,9,246,246,Finland,0,46,-,-,46,0.69,1.2,0.07
FRA,9,250,250,France (metropolitan),0,590,-,-,590,0.76,1.2,0.07
GUF,9,254,254,French Guyana,0,2,-,-,2,0.70,0.70,0.08
PYF,9,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,9,262,262,Djibouti,0,11,-,-,11,1.1,1.2,0.09
GAB,9,266,266,Gabon,0,8,-,-,8,0.39,0.36,0.03
GEO,9,268,268,Georgia,0,50,-,-,50,1.0,1.6,0.10
GMB,9,270,270,The Republic of the Gambia,0,12,-,-,12,0.72,0.49,0.06
PSE,9,275,275,Gaza Strip and West Bank,0,47,-,-,47,1.4,0.93,0.12
DEU,9,276,276,Germany,0,1063,-,-,1063,0.90,1.8,0.08
GHA,9,288,288,Ghana,0,185,-,-,185,0.75,0.60,0.06
GRC,9,300,300,Greece,0,39,-,-,39,0.27,0.54,0.03
GLP,9,312,312,"France, Guadeloupe",0,3,-,-,3,0.60,1.0,0.05
GUM,9,316,316,Guam,0,2,-,-,2,1.1,1.4,0.10
GTM,9,320,320,Guatemala,0,19,-,-,19,0.15,0.11,0.01
GIN,9,324,324,Guinea,0,32,-,-,32,0.35,0.24,0.03
GUY,9,328,328,Guyana,0,2,-,-,2,0.24,0.29,0.03
HTI,9,332,332,Haiti,0,27,-,-,27,0.31,0.25,0.02
HND,9,340,340,Honduras,0,50,-,-,50,0.56,0.53,0.05
HUN,9,348,348,Hungary,0,285,-,-,285,2.3,4.1,0.22
ISL,9,352,352,Iceland,0,0,-,-,0,0.00,0.00,0.00
IND,9,356,356,India,0,7835,-,-,7835,0.58,0.62,0.05
IDN,9,360,360,Indonesia,0,2921,-,-,2921,0.98,1.2,0.09
IRN,9,364,364,"Iran, Islamic Republic of",0,577,-,-,577,0.62,0.75,0.06
IRQ,9,368,368,Iraq,0,262,-,-,262,0.88,0.66,0.08
IRL,9,372,372,Ireland,0,99,-,-,99,1.6,2.5,0.15
ISR,9,376,376,Israel,0,42,-,-,42,0.51,0.56,0.05
ITA,9,380,380,Italy,0,536,-,-,536,0.63,1.3,0.06
CIV,9,384,384,"Côte d'Ivoire",0,120,-,-,120,0.71,0.45,0.06
JAM,9,388,388,Jamaica,0,29,-,-,29,0.91,1.1,0.08
JPN,9,392,392,Japan,0,1665,-,-,1665,1.1,2.0,0.10
KAZ,9,398,398,Kazakhstan,0,256,-,-,256,1.3,1.5,0.12
JOR,9,400,400,Jordan,0,97,-,-,97,1.1,1.0,0.10
KEN,9,404,404,Kenya,0,355,-,-,355,1.0,0.66,0.09
PRK,9,408,408,"Korea, Democratic People Republic of",0,602,-,-,602,1.8,2.8,0.16
KOR,9,410,410,"Korea, Republic of",0,716,-,-,716,0.95,1.9,0.09
KWT,9,414,414,Kuwait,0,31,-,-,31,0.48,0.77,0.04
KGZ,9,417,417,Kyrgyzstan,0,47,-,-,47,0.78,0.77,0.07
LAO,9,418,418,"Lao People's Democratic Republic",0,71,-,-,71,1.2,1.0,0.11
LBN,9,422,422,Lebanon,0,52,-,-,52,0.74,0.89,0.07
LSO,9,426,426,Lesotho,0,11,-,-,11,0.65,0.55,0.05
LVA,9,428,428,Latvia,0,27,-,-,27,1.1,2.1,0.11
LBR,9,430,430,Liberia,0,18,-,-,18,0.49,0.36,0.04
LBY,9,434,434,Libya,0,60,-,-,60,0.82,0.92,0.07
LTU,9,440,440,Lithuania,0,43,-,-,43,1.2,2.3,0.11
LUX,9,442,442,Luxembourg,0,4,-,-,4,0.43,0.79,0.04
MDG,9,450,450,Madagascar,0,79,-,-,79,0.41,0.29,0.04
MWI,9,454,454,Malawi,0,106,-,-,106,0.83,0.55,0.07
MYS,9,458,458,Malaysia,0,432,-,-,432,1.3,1.5,0.12
MDV,9,462,462,Maldives,0,4,-,-,4,0.88,0.79,0.08
MLI,9,466,466,Mali,0,222,-,-,222,1.8,1.1,0.15
MLT,9,470,470,Malta,0,3,-,-,3,0.56,0.95,0.06
MTQ,9,474,474,"France, Martinique",0,3,-,-,3,0.42,1.2,0.05
MRT,9,478,478,Mauritania,0,25,-,-,25,0.75,0.54,0.06
MUS,9,480,480,Mauritius,0,10,-,-,10,0.66,0.98,0.06
MEX,9,484,484,Mexico,0,521,-,-,521,0.40,0.45,0.03
MNG,9,496,496,Mongolia,0,7,-,-,7,0.21,0.23,0.02
MDA,9,498,498,Republic of Moldova,0,98,-,-,98,2.0,3.1,0.19
MNE,9,499,499,Montenegro,0,10,-,-,10,1.4,2.1,0.12
MAR,9,504,504,Morocco,0,389,-,-,389,1.1,1.2,0.09
MOZ,9,508,508,Mozambique,0,81,-,-,81,0.38,0.26,0.03
OMN,9,512,512,Oman,0,50,-,-,50,1.0,0.99,0.09
NAM,9,516,516,Namibia,0,13,-,-,13,0.71,0.52,0.06
NPL,9,524,524,Nepal,0,136,-,-,136,0.49,0.49,0.04
NLD,9,528,528,The Netherlands,0,228,-,-,228,1.0,1.8,0.10
NCL,9,540,540,New Caledonia,0,1,-,-,1,0.26,0.41,0.03
VUT,9,548,548,Vanuatu,0,2,-,-,2,0.94,0.66,0.08
NZL,9,554,554,New Zealand,0,69,-,-,69,1.3,1.8,0.11
NIC,9,558,558,Nicaragua,0,30,-,-,30,0.51,0.49,0.05
NER,9,562,562,Niger,0,156,-,-,156,1.1,0.62,0.09
NGA,9,566,566,Nigeria,0,1039,-,-,1039,0.82,0.50,0.07
NOR,9,578,578,Norway,0,56,-,-,56,0.82,1.3,0.08
PAK,9,586,586,Pakistan,0,1011,-,-,1011,0.56,0.47,0.05
PAN,9,591,591,Panama,0,19,-,-,19,0.43,0.49,0.04
PNG,9,598,598,Papua New Guinea,0,52,-,-,52,0.75,0.60,0.07
PRY,9,600,600,Paraguay,0,33,-,-,33,0.55,0.50,0.05
PER,9,604,604,Peru,0,104,-,-,104,0.30,0.36,0.03
PHL,9,608,608,Philippines,0,1014,-,-,1014,1.0,0.99,0.09
POL,9,616,616,Poland,0,641,-,-,641,1.4,2.3,0.14
PRT,9,620,620,Portugal,0,166,-,-,166,1.2,2.4,0.11
GNB,9,624,624,Guinea-Bissau,0,6,-,-,6,0.59,0.30,0.05
