Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,279,-,-,279,1.1,0.72,0.10
ALB,9,008,8,Albania,0,84,-,-,84,2.7,3.8,0.23
DZA,9,012,12,Algeria,0,1304,-,-,1304,3.1,3.2,0.28
AGO,9,024,24,Angola,0,190,-,-,190,0.84,0.56,0.07
AZE,9,031,31,Azerbaijan,0,270,-,-,270,2.3,3.0,0.21
ARG,9,032,32,Argentina,0,938,-,-,938,2.1,2.4,0.18
AUS,9,036,36,Australia,0,1565,-,-,1565,5.5,7.7,0.48
AUT,9,040,40,Austria,0,386,-,-,386,3.2,5.8,0.29
BHS,9,044,44,Bahamas,0,6,-,-,6,1.3,1.7,0.11
BHR,9,048,48,Bahrain,0,28,-,-,28,1.5,1.7,0.14
BGD,9,050,50,Bangladesh,0,1486,-,-,1486,0.89,0.97,0.07
ARM,9,051,51,Armenia,0,40,-,-,40,1.2,1.7,0.11
BRB,9,052,52,Barbados,0,15,-,-,15,4.4,6.9,0.38
BEL,9,056,56,Belgium,0,460,-,-,460,3.2,5.4,0.29
BTN,9,064,64,Bhutan,0,7,-,-,7,1.0,0.98,0.10
BOL,9,068,68,Bolivia (Plurinational State of),0,46,-,-,46,0.49,0.43,0.04
BIH,9,070,70,Bosnia Herzegovina,0,219,-,-,219,5.2,9.2,0.46
BWA,9,072,72,Botswana,0,19,-,-,19,0.96,0.84,0.08
BRA,9,076,76,Brazil,0,7532,-,-,7532,3.1,4.1,0.28
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,5,-,-,5,1.0,0.74,0.09
BRN,9,096,96,Brunei Darussalam,0,37,-,-,37,7.0,9.3,0.63
BGR,9,100,100,Bulgaria,0,336,-,-,336,3.8,6.9,0.35
MMR,9,104,104,Myanmar,0,952,-,-,952,1.7,1.9,0.15
BDI,9,108,108,Burundi,0,71,-,-,71,1.2,0.59,0.10
BLR,9,112,112,Belarus,0,494,-,-,494,4.1,6.9,0.38
KHM,9,116,116,Cambodia,0,262,-,-,262,1.9,1.7,0.17
CMR,9,120,120,Cameroon,0,204,-,-,204,1.2,0.76,0.11
CAN,9,124,124,Canada,0,2326,-,-,2326,5.3,8.2,0.46
CPV,9,132,132,Cape Verde,0,3,-,-,3,0.62,0.58,0.06
CAF,9,140,140,Central African Republic,0,40,-,-,40,1.3,0.83,0.11
LKA,9,144,144,Sri Lanka,0,393,-,-,393,1.7,2.2,0.15
TCD,9,148,148,Chad,0,75,-,-,75,0.89,0.45,0.07
CHL,9,152,152,Chile,0,492,-,-,492,2.2,3.1,0.20
CHN,9,156,160,China,0,70023,-,-,70023,3.4,6.2,0.31
COL,9,170,170,Colombia,0,1021,-,-,1021,1.9,2.3,0.17
COM,9,174,174,Comoros,0,1,-,-,1,0.19,0.12,0.02
COG,9,178,178,"Congo, Republic of",0,49,-,-,49,1.3,0.89,0.11
COD,9,180,180,"Congo, Democratic Republic of",0,664,-,-,664,1.2,0.73,0.11
CRI,9,188,188,Costa Rica,0,109,-,-,109,1.9,2.5,0.17
HRV,9,191,191,Croatia,0,292,-,-,292,5.7,10.2,0.52
