Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
IRQ,9,368,368,Iraq,0,830,635,1084,830,3.2,2.0,0.36
IRL,9,372,372,Ireland,0,1148,1038,1270,1148,12.1,22.9,1.4
ISR,9,376,376,Israel,0,825,736,924,825,7.1,9.3,0.81
ITA,9,380,380,Italy,0,14699,13779,15680,14699,8.7,24.4,1.0
CIV,9,384,384,"Côte d'Ivoire",0,283,177,453,283,1.9,1.0,0.21
JAM,9,388,388,Jamaica,0,177,73,432,177,4.7,5.9,0.56
JPN,9,392,392,Japan,0,48443,39261,59773,48443,13.6,38.6,1.7
KAZ,9,398,398,Kazakhstan,0,1577,1306,1904,1577,7.0,8.2,0.89
JOR,9,400,400,Jordan,0,340,227,510,340,4.3,3.3,0.49
KEN,9,404,404,Kenya,0,1044,812,1343,1044,3.6,1.9,0.40
PRK,9,408,408,"Korea, Democratic People Republic of",0,3814,3413,4262,3814,10.1,14.7,1.3
KOR,9,410,410,"Korea, Republic of",0,11538,11040,12058,11538,11.0,22.5,1.3
KWT,9,414,414,Kuwait,0,132,71,245,132,3.3,3.0,0.39
KGZ,9,417,417,Kyrgyzstan,0,219,81,592,219,3.9,3.3,0.46
LAO,9,418,418,"Lao People's Democratic Republic",0,335,320,350,335,6.0,4.5,0.69
LBN,9,422,422,Lebanon,0,264,167,417,264,3.4,4.0,0.40
LSO,9,426,426,Lesotho,0,35,2,515,35,2.1,1.6,0.23
LVA,9,428,428,Latvia,0,484,417,562,484,10.5,26.2,1.4
LBR,9,430,430,Liberia,0,43,3,633,43,1.4,0.81,0.15
LBY,9,434,434,Libya,0,326,200,533,326,5.3,4.6,0.53
LTU,9,440,440,Lithuania,0,566,503,637,566,8.4,21.3,1.1
LUX,9,442,442,Luxembourg,0,88,52,148,88,7.1,13.7,0.89
MDG,9,450,450,Madagascar,0,364,110,1203,364,2.3,1.3,0.26
MWI,9,454,454,Malawi,0,226,108,475,226,2.1,1.1,0.22
MYS,9,458,458,Malaysia,0,3045,1833,5058,3045,8.4,9.2,0.96
MDV,9,462,462,Maldives,0,24,19,30,24,5.6,4.4,0.65
MLI,9,466,466,Mali,0,432,298,626,432,4.1,2.0,0.44
MLT,9,470,470,Malta,0,90,71,114,90,8.5,20.3,0.96
MTQ,9,474,474,"France, Martinique",0,57,53,61,57,6.0,15.2,0.71
MRT,9,478,478,Mauritania,0,64,4,942,64,2.2,1.3,0.24
MUS,9,480,480,Mauritius,0,107,54,213,107,5.0,8.4,0.61
MEX,9,484,484,Mexico,0,3703,1947,7044,3703,2.5,2.8,0.30
MNG,9,496,496,Mongolia,0,49,17,145,49,1.7,1.5,0.21
MDA,9,498,498,Republic of Moldova,0,741,614,894,741,11.0,18.5,1.5
MNE,9,499,499,Montenegro,0,88,63,123,88,7.8,14.0,0.93
MAR,9,504,504,Morocco,0,2157,1796,2590,2157,5.0,5.7,0.58
MOZ,9,508,508,Mozambique,0,251,155,405,251,1.5,0.76,0.17
OMN,9,512,512,Oman,0,151,76,299,151,4.0,2.8,0.45
NAM,9,516,516,Namibia,0,52,19,145,52,3.0,2.0,0.35
NPL,9,524,524,Nepal,0,471,447,496,471,1.7,1.6,0.19
NLD,9,528,528,The Netherlands,0,5440,5078,5828,5440,13.7,31.6,1.7
NCL,9,540,540,New Caledonia,0,31,29,33,31,7.6,10.7,0.86
VUT,9,548,548,Vanuatu,0,7,3,15,7,3.7,2.2,0.57
NZL,9,554,554,New Zealand,0,1331,1091,1624,1331,13.4,27.2,1.6
NIC,9,558,558,Nicaragua,0,136,30,623,136,2.2,2.0,0.24
NER,9,562,562,Niger,0,252,137,462,252,1.8,0.97,0.19
NGA,9,566,566,Nigeria,0,3151,2610,3804,3151,2.8,1.5,0.34
NOR,9,578,578,Norway,0,1572,1419,1741,1572,13.6,28.5,1.7
PAK,9,586,586,Pakistan,0,3524,3059,4060,3524,2.0,1.5,0.22
PAN,9,591,591,Panama,0,204,18,2278,204,3.8,4.6,0.47
PNG,9,598,598,Papua New Guinea,0,265,90,782,265,4.8,2.9,0.50
PRY,9,600,600,Paraguay,0,259,39,1733,259,3.7,3.6,0.45
PER,9,604,604,Peru,0,927,335,2568,927,2.2,2.8,0.23
PHL,9,608,608,Philippines,0,7050,6315,7871,7050,7.0,6.3,0.84
POL,9,616,616,Poland,0,10922,10395,11475,10922,13.0,28.9,1.6
PRT,9,620,620,Portugal,0,3552,3209,3932,3552,13.3,35.0,1.6
GNB,9,624,624,Guinea-Bissau,0,18,1,265,18,1.6,0.87,0.20
TLS,9,626,626,Timor-Leste,0,32,28,37,32,3.6,2.3,0.38
PRI,9,630,630,Puerto Rico,0,478,344,663,478,7.6,16.9,0.92
QAT,9,634,634,Qatar,0,59,17,209,59,3.3,2.0,0.35
REU,9,638,638,"France, La Réunion",0,114,107,121,114,7.4,12.6,0.89
ROU,9,642,642,Romania,0,5469,5065,5905,5469,13.6,28.7,1.7
RUS,9,643,643,Russian Federation,0,28965,28428,29513,28965,10.4,19.9,1.3
RWA,9,646,646,Rwanda,0,175,95,322,175,2.2,1.3,0.25
LCA,9,662,662,Saint Lucia,0,8,1,118,8,2.9,4.3,0.32
STP,9,678,678,Sao Tome and Principe,0,1,0,2,1,0.88,0.44,0.11
SAU,9,682,682,Saudi Arabia,0,1658,1347,2042,1658,5.1,4.6,0.59
SEN,9,686,686,Senegal,0,252,17,3707,252,2.5,1.4,0.27
SRB,9,688,688,Serbia,0,2611,2353,2897,2611,14.7,30.2,1.8
SLE,9,694,694,Sierra Leone,0,5,4,6,5,0.12,0.06,0.01
SGP,9,702,702,Singapore,0,1471,1211,1787,1471,12.7,24.8,1.5
SVK,9,703,703,Slovakia,0,1665,1406,1972,1665,14.8,30.5,1.8
VNM,9,704,704,Viet Nam,0,9093,8420,9819,9093,7.5,9.2,0.93
SVN,9,705,705,Slovenia,0,625,562,694,625,12.5,30.1,1.5
SOM,9,706,706,Somalia,0,292,225,379,292,3.5,1.7,0.39
ZAF,9,710,710,South Africa,0,3234,3139,3332,3234,5.9,5.3,0.67
ZWE,9,716,716,Zimbabwe,0,282,177,450,282,3.6,1.8,0.41
ESP,9,724,724,Spain,0,12716,11975,13503,12716,11.8,27.2,1.5
SSD,9,728,728,South Sudan,0,161,49,534,161,2.3,1.4,0.27
SDN,9,729,729,Sudan,0,826,607,1124,826,2.7,1.8,0.29
SUR,9,740,740,Suriname,0,22,1,324,22,3.3,3.7,0.43
SWZ,9,748,748,Eswatini,0,12,1,96,12,1.5,1.0,0.18
SWE,9,752,752,Sweden,0,2368,2196,2554,2368,10.2,23.2,1.2
CHE,9,756,756,Switzerland,0,1778,1482,2133,1778,9.2,20.3,1.1
SYR,9,760,760,Syrian Arab Republic,0,493,247,984,493,3.2,2.6,0.27
TJK,9,762,762,Tajikistan,0,163,11,2398,163,2.5,1.6,0.26
THA,9,764,764,Thailand,0,9129,8412,9907,9129,7.2,13.0,0.86
TGO,9,768,768,Togo,0,95,32,284,95,2.0,1.1,0.21
TTO,9,780,780,Trinidad and Tobago,0,136,10,1806,136,6.4,9.7,0.74
ARE,9,784,784,United Arab Emirates,0,188,106,333,188,4.1,1.9,0.47
TUN,9,788,788,Tunisia,0,743,539,1024,743,4.8,6.2,0.54
TUR,9,792,792,Türkiye,0,7735,7081,8450,7735,7.2,9.0,0.86
TKM,9,795,795,Turkmenistan,0,171,108,270,171,3.1,2.8,0.37
UGA,9,800,800,Uganda,0,554,359,856,554,2.9,1.1,0.36
UKR,9,804,804,Ukraine,0,9269,8892,9662,9269,10.9,21.5,1.4
MKD,9,807,807,North Macedonia,0,426,291,624,426,11.3,20.5,1.4
EGY,9,818,818,Egypt,0,1880,1445,2446,1880,2.0,1.8,0.22
GBR,9,826,826,United Kingdom,0,16285,15875,16705,16285,10.7,23.8,1.3
TZA,9,834,834,"Tanzania, United Republic of",0,770,408,1454,770,2.6,1.2,0.28
USA,9,840,840,United States of America,0,45930,45232,46639,45930,8.5,13.7,0.97
BFA,9,854,854,Burkina Faso,0,82,82,82,82,0.61,0.37,0.04
URY,9,858,858,Uruguay,0,576,429,773,576,9.0,16.5,1.1
UZB,9,860,860,Uzbekistan,0,1303,710,2392,1303,4.2,3.8,0.53
VEN,9,862,862,Venezuela,0,1776,476,6626,1776,5.3,6.1,0.64
WSM,9,882,882,Samoa,0,17,17,17,17,10.1,8.4,1.3
YEM,9,887,887,Yemen,0,619,459,834,619,3.5,2.0,0.38
ZMB,9,894,894,Zambia,0,240,142,407,240,2.7,1.2,0.31
,,,,Total,,729658,,,729658,7.1,9.3,0.85
