"Region","LRI_formatted_CC","LRI_formatted_RC","LRI_formatted_CRC","LRM_formatted_CC","LRM_formatted_RC","LRM_formatted_CRC","ISOcode"
"Trinidad & Tobago","3.97(3.28-4.67)","1.31(0.98-1.63)","5.46(4.68-6.23)","3.06(2.43-3.68)","0.75(0.47-1.02)","3.87(3.18-4.57)",780
"United Arab Emirates","1.80(1.38-2.21)","1.26(0.83-1.69)","3.09(2.49-3.68)","1.01(0.64-1.39)","0.86(0.46-1.27)","1.90(1.35-2.46)",784
"Tunisia","1.35(1.24-1.47)","1.12(1.01-1.23)","2.61(2.44-2.77)","0.94(0.83-1.05)","0.78(0.67-0.89)","1.82(1.66-1.98)",788
"Turkey","2.86(2.80-2.92)","1.41(1.37-1.45)","4.32(4.24-4.39)","2.07(2.01-2.12)","0.79(0.75-0.82)","2.87(2.81-2.93)",792
"Turkmenistan","0.43(0.30-0.55)","0.58(0.45-0.72)","1.16(0.96-1.35)","0.34(0.22-0.46)","0.43(0.30-0.55)","0.88(0.69-1.06)",795
"Uganda","0.64(0.58-0.71)","0.47(0.42-0.53)","1.24(1.15-1.33)","0.52(0.46-0.58)","0.39(0.34-0.45)","1.00(0.91-1.09)",800
"Ukraine","2.61(2.56-2.67)","2.04(2.00-2.09)","4.73(4.65-4.80)","1.49(1.45-1.54)","1.29(1.25-1.33)","2.81(2.75-2.88)",804
"North Macedonia","2.59(2.32-2.87)","2.23(1.99-2.47)","4.88(4.51-5.24)","1.84(1.60-2.09)","1.35(1.15-1.56)","3.20(2.88-3.52)",807
"Egypt","0.61(0.58-0.64)","0.31(0.29-0.34)","1.02(0.98-1.06)","0.42(0.38-0.45)","0.26(0.24-0.29)","0.74(0.69-0.79)",818
"United Kingdom","5.74(5.67-5.81)","2.77(2.72-2.82)","8.77(8.69-8.86)","2.61(2.56-2.66)","1.98(1.94-2.02)","4.71(4.64-4.78)",826
"Tanzania","0.36(0.32-0.39)","0.52(0.46-0.57)","1.13(1.06-1.20)","0.28(0.24-0.31)","0.42(0.37-0.48)","0.90(0.83-0.97)",834
"United States","3.75(3.73-3.78)","1.37(1.35-1.38)","5.39(5.35-5.42)","1.66(1.64-1.68)","0.59(0.57-0.60)","2.31(2.29-2.33)",840
"Burkina Faso","0.17(0.14-0.19)","0.08(0.06-0.10)","0.32(0.28-0.36)","0.13(0.11-0.15)","0.06(0.04-0.08)","0.25(0.22-0.28)",854
"Uruguay","6.03(5.69-6.37)","2.21(2.01-2.41)","8.44(8.05-8.84)","4.06(3.77-4.35)","1.03(0.89-1.17)","5.18(4.85-5.50)",858
"Uzbekistan","0.70(0.65-0.75)","0.65(0.61-0.70)","1.46(1.39-1.53)","0.39(0.34-0.43)","0.39(0.36-0.43)","0.83(0.77-0.89)",860
"Venezuela","3.11(2.98-3.24)","1.00(0.94-1.06)","4.28(4.13-4.42)","1.63(1.53-1.73)","0.49(0.44-0.54)","2.18(2.07-2.29)",862
"Samoa","2.58(1.38-3.77)","1.55(0.67-2.43)","4.12(2.64-5.61)","1.54(0.50-2.58)","0.98(0.22-1.75)","2.52(1.23-3.81)",882
"Yemen","0.83(0.74-0.91)","0.50(0.44-0.56)","1.33(1.23-1.44)","0.63(0.56-0.71)","0.35(0.29-0.40)","0.99(0.89-1.08)",887
"Zambia","0.29(0.21-0.36)","0.50(0.38-0.61)","0.83(0.69-0.97)","0.21(0.14-0.29)","0.42(0.31-0.53)","0.66(0.53-0.80)",894
"World","2.90(2.89-2.90)","1.61(1.61-1.62)","4.61(4.61-4.62)","1.68(1.67-1.68)","0.95(0.94-0.95)","2.68(2.67-2.69)",900
"Northern America","3.90(3.88-3.93)","1.44(1.43-1.46)","5.61(5.58-5.64)","1.86(1.84-1.88)","0.69(0.68-0.70)","2.62(2.60-2.65)",905
"Eastern Asia","3.29(3.27-3.30)","2.32(2.31-2.33)","5.65(5.64-5.67)","1.85(1.84-1.86)","1.39(1.38-1.40)","3.28(3.27-3.30)",906
"Eastern Africa","0.68(0.66-0.70)","0.53(0.51-0.55)","1.33(1.30-1.36)","0.53(0.51-0.55)","0.42(0.40-0.44)","1.05(1.02-1.08)",910
"Middle Africa","0.36(0.34-0.39)","0.35(0.33-0.37)","0.82(0.78-0.85)","0.30(0.28-0.32)","0.28(0.26-0.30)","0.67(0.64-0.71)",911
"Northern Africa","1.28(1.25-1.32)","0.82(0.80-0.85)","2.20(2.16-2.25)","1.00(0.96-1.03)","0.66(0.63-0.69)","1.72(1.67-1.76)",912
"Southern Africa","1.21(1.16-1.26)","0.91(0.86-0.95)","2.22(2.16-2.29)","1.38(1.32-1.44)","0.42(0.39-0.45)","1.85(1.78-1.92)",913
"Western Africa","0.47(0.45-0.48)","0.34(0.32-0.35)","0.95(0.92-0.97)","0.36(0.35-0.38)","0.27(0.26-0.28)","0.75(0.73-0.77)",914
