"Region","LRI_formatted_CC","LRI_formatted_RC","LRI_formatted_CRC","LRM_formatted_CC","LRM_formatted_RC","LRM_formatted_CRC","ISOcode"
"India","0.48(0.47-0.49)","0.40(0.39-0.40)","0.95(0.94-0.96)","0.33(0.33-0.34)","0.24(0.24-0.25)","0.61(0.60-0.62)",356
"Indonesia","1.24(1.21-1.26)","1.04(1.02-1.07)","2.35(2.32-2.39)","0.85(0.83-0.88)","0.70(0.68-0.73)","1.60(1.57-1.64)",360
"Iran","1.80(1.74-1.85)","0.74(0.71-0.78)","2.60(2.54-2.67)","1.63(1.57-1.70)","0.53(0.49-0.56)","2.19(2.11-2.26)",364
"Iraq","0.97(0.89-1.06)","0.59(0.52-0.66)","1.59(1.48-1.70)","0.71(0.63-0.78)","0.44(0.38-0.51)","1.18(1.07-1.28)",368
"Ireland","5.67(5.37-5.96)","3.33(3.10-3.56)","9.13(8.75-9.50)","1.83(1.65-2.02)","2.62(2.41-2.84)","4.51(4.23-4.80)",372
"Israel","5.08(4.84-5.32)","1.39(1.28-1.50)","6.54(6.28-6.81)","3.12(2.92-3.32)","0.71(0.61-0.80)","3.84(3.62-4.06)",376
"Italy","6.21(6.14-6.28)","2.28(2.24-2.32)","8.68(8.60-8.76)","3.30(3.25-3.35)","0.93(0.90-0.95)","4.30(4.24-4.36)",380
"Côte d’Ivoire","0.72(0.64-0.80)","0.29(0.24-0.34)","1.06(0.96-1.16)","0.50(0.43-0.56)","0.22(0.17-0.27)","0.75(0.66-0.83)",384
"Jamaica","5.25(4.68-5.82)","1.19(0.94-1.43)","6.62(5.99-7.25)","3.73(3.24-4.22)","0.91(0.67-1.14)","4.72(4.17-5.27)",388
"Japan","6.77(6.73-6.82)","3.26(3.23-3.29)","10.06(10.00-10.12)","3.36(3.33-3.40)","1.27(1.25-1.29)","4.67(4.63-4.71)",392
"Kazakhstan","1.76(1.65-1.87)","1.43(1.33-1.53)","3.24(3.10-3.39)","1.20(1.10-1.30)","0.77(0.70-0.85)","2.02(1.90-2.15)",398
"Jordan","2.26(2.01-2.50)","0.77(0.63-0.92)","3.07(2.78-3.36)","1.51(1.28-1.74)","0.52(0.38-0.66)","2.05(1.78-2.32)",400
"Kenya","1.07(1.01-1.14)","0.56(0.52-0.61)","1.77(1.69-1.86)","0.83(0.77-0.89)","0.46(0.41-0.51)","1.39(1.31-1.47)",404
"North Korea","1.70(1.63-1.77)","1.75(1.68-1.82)","3.46(3.36-3.56)","1.05(0.99-1.10)","1.10(1.04-1.16)","2.15(2.07-2.23)",408
"South Korea","4.12(4.05-4.19)","2.35(2.30-2.41)","6.54(6.45-6.63)","2.30(2.24-2.36)","1.34(1.29-1.38)","3.67(3.59-3.75)",410
"Kuwait","2.00(1.61-2.39)","0.79(0.56-1.03)","2.82(2.36-3.27)","1.20(0.86-1.54)","0.44(0.24-0.64)","1.65(1.25-2.04)",414
"Kyrgyzstan","0.77(0.63-0.92)","0.86(0.70-1.02)","1.68(1.46-1.90)","0.52(0.40-0.65)","0.59(0.46-0.72)","1.17(0.98-1.35)",417
"Laos","1.46(1.26-1.66)","1.14(0.96-1.31)","2.63(2.36-2.89)","1.02(0.84-1.21)","0.85(0.69-1.02)","1.90(1.65-2.15)",418
"Lebanon","2.24(2.03-2.45)","0.73(0.61-0.84)","3.01(2.77-3.26)","1.57(1.38-1.76)","0.48(0.38-0.58)","2.08(1.86-2.30)",422
"Lesotho","0.80(0.54-1.07)","0.43(0.25-0.61)","1.27(0.95-1.59)","0.63(0.38-0.88)","0.33(0.17-0.50)","1.00(0.70-1.30)",426
"Latvia","3.16(2.89-3.42)","2.37(2.15-2.59)","5.65(5.29-6.00)","1.79(1.58-1.99)","1.59(1.40-1.78)","3.46(3.17-3.74)",428
"Liberia","0.42(0.28-0.56)","0.25(0.13-0.37)","0.72(0.53-0.90)","0.34(0.21-0.48)","0.21(0.09-0.32)","0.59(0.41-0.77)",430
"Libya","2.83(2.51-3.16)","1.42(1.20-1.65)","4.30(3.90-4.70)","3.08(2.70-3.45)","1.46(1.20-1.72)","4.56(4.11-5.01)",434
"Lithuania","3.13(2.92-3.35)","1.90(1.73-2.06)","5.13(4.86-5.41)","2.04(1.86-2.22)","1.37(1.23-1.52)","3.48(3.25-3.72)",440
"Luxembourg","5.56(4.73-6.40)","1.93(1.46-2.40)","7.55(6.59-8.51)","2.31(1.77-2.86)","0.88(0.55-1.22)","3.20(2.55-3.84)",442
"Madagascar","0.37(0.31-0.43)","0.53(0.45-0.61)","1.14(1.03-1.26)","0.32(0.26-0.39)","0.45(0.37-0.53)","0.98(0.86-1.09)",450
"Malawi","0.38(0.30-0.45)","0.33(0.27-0.39)","0.83(0.73-0.94)","0.31(0.25-0.38)","0.24(0.19-0.30)","0.65(0.56-0.74)",454
"Malaysia","2.60(2.48-2.72)","1.95(1.85-2.06)","4.65(4.49-4.80)","1.91(1.79-2.03)","1.40(1.30-1.50)","3.38(3.22-3.53)",458
"Maldives","1.77(0.69-2.84)","1.19(0.40-1.99)","2.96(1.62-4.30)","1.56(0.49-2.62)","0.75(0.01-1.49)","2.31(1.01-3.61)",462
"Mali","0.67(0.56-0.77)","0.58(0.49-0.68)","1.34(1.19-1.49)","0.52(0.42-0.61)","0.45(0.37-0.54)","1.05(0.92-1.18)",466
"Malta","5.43(4.53-6.33)","2.26(1.69-2.83)","7.75(6.68-8.81)","2.68(2.02-3.35)","1.35(0.88-1.83)","4.04(3.22-4.86)",470
"Martinique","4.41(3.61-5.22)","1.61(1.13-2.08)","6.12(5.18-7.07)","2.87(2.17-3.57)","0.65(0.33-0.96)","3.51(2.74-4.29)",474
"Mauritania","0.59(0.42-0.76)","0.39(0.25-0.54)","1.11(0.88-1.33)","0.42(0.27-0.56)","0.32(0.18-0.46)","0.84(0.64-1.05)",478
"Mauritius","2.83(2.38-3.29)","1.10(0.83-1.37)","3.98(3.45-4.51)","1.72(1.33-2.11)","0.65(0.41-0.89)","2.37(1.91-2.84)",480
"Mexico","1.93(1.88-1.98)","0.52(0.50-0.54)","2.51(2.45-2.56)","1.25(1.21-1.29)","0.25(0.23-0.26)","1.52(1.47-1.56)",484
"Mongolia","1.10(0.85-1.34)","0.35(0.21-0.48)","1.53(1.24-1.82)","0.65(0.43-0.86)","0.47(0.26-0.67)","1.12(0.83-1.42)",496
"Moldova","3.67(3.41-3.92)","2.30(2.11-2.49)","5.99(5.67-6.31)","2.42(2.20-2.64)","1.64(1.46-1.81)","4.06(3.78-4.35)",498
"Montenegro","3.00(2.48-3.52)","1.47(1.12-1.81)","4.57(3.94-5.20)","2.22(1.74-2.71)","0.93(0.63-1.23)","3.23(2.65-3.81)",499
"Morocco","1.52(1.44-1.61)","1.04(0.98-1.11)","2.69(2.59-2.80)","1.11(1.03-1.19)","0.74(0.68-0.81)","1.93(1.83-2.04)",504
"Mozambique","0.42(0.34-0.50)","0.34(0.26-0.41)","0.89(0.77-1.01)","0.38(0.30-0.46)","0.29(0.22-0.36)","0.78(0.66-0.89)",508
"Oman","1.41(1.08-1.75)","1.02(0.71-1.34)","2.59(2.12-3.05)","1.03(0.72-1.35)","0.74(0.45-1.04)","1.89(1.44-2.33)",512
"Namibia","0.72(0.50-0.94)","0.50(0.30-0.69)","1.29(0.99-1.59)","0.53(0.33-0.73)","0.40(0.21-0.58)","0.98(0.71-1.26)",516
"Nepal","0.50(0.45-0.56)","0.36(0.31-0.40)","0.88(0.81-0.95)","0.35(0.30-0.40)","0.22(0.18-0.25)","0.57(0.51-0.64)",524
"Netherlands","7.11(6.97-7.26)","3.06(2.97-3.15)","10.31(10.14-10.48)","3.48(3.37-3.59)","1.21(1.15-1.27)","4.74(4.61-4.87)",528
"New Caledonia","3.30(2.30-4.30)","1.81(1.04-2.57)","5.16(3.89-6.42)","1.47(0.75-2.19)","0.76(0.28-1.24)","2.23(1.37-3.09)",540
"Vanuatu","0.48(0.00-0.96)","0.48(0.10-0.86)","1.00(0.38-1.61)","0.48(0.00-0.96)","0.48(0.10-0.86)","1.00(0.38-1.61)",548
"New Zealand","7.40(7.08-7.71)","3.26(3.07-3.46)","10.78(10.41-11.16)","3.85(3.60-4.09)","1.50(1.36-1.65)","5.43(5.14-5.72)",554
"Nicaragua","2.58(2.25-2.90)","0.64(0.49-0.80)","3.33(2.97-3.70)","1.59(1.33-1.84)","0.40(0.28-0.53)","2.05(1.75-2.34)",558
"Niger","0.54(0.44-0.63)","0.22(0.17-0.27)","0.85(0.74-0.96)","0.44(0.36-0.53)","0.19(0.14-0.23)","0.71(0.61-0.81)",562
"Nigeria","0.47(0.45-0.49)","0.37(0.35-0.38)","1.04(1.00-1.07)","0.37(0.35-0.39)","0.29(0.28-0.31)","0.83(0.80-0.86)",566
"Norway","9.36(9.03-9.69)","3.31(3.13-3.50)","12.80(12.42-13.18)","4.54(4.29-4.78)","1.31(1.19-1.44)","5.90(5.62-6.18)",578
"Pakistan","0.54(0.52-0.56)","0.37(0.35-0.39)","0.97(0.94-1.00)","0.38(0.36-0.40)","0.21(0.20-0.23)","0.62(0.59-0.65)",586
"Panama","3.32(2.96-3.68)","1.01(0.82-1.19)","4.41(4.00-4.82)","1.84(1.56-2.12)","0.50(0.36-0.65)","2.41(2.09-2.73)",591
"Papua New Guinea","1.03(0.84-1.22)","0.98(0.78-1.17)","2.45(2.15-2.75)","0.78(0.60-0.96)","0.78(0.59-0.97)","1.79(1.51-2.07)",598
"Paraguay","4.94(4.57-5.31)","0.82(0.69-0.96)","5.99(5.59-6.39)","2.63(2.34-2.92)","0.42(0.31-0.52)","3.13(2.82-3.44)",600
"Peru","2.48(2.39-2.57)","0.55(0.51-0.59)","3.14(3.04-3.24)","1.47(1.40-1.55)","0.29(0.26-0.32)","1.81(1.73-1.89)",604
