"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_formatted","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_formatted","LRM_n_age_groups","LRM_note"
914,"colorectum","Poisson","both",0.00947656277964806,0.947656,1.42172516211536e-08,0.000119236117100288,0.011924,0.00924285999013149,0.00971026556916463,0.924286,0.971027,"0.95(0.92-0.97)",18,"Success",0.00753038751753326,0.753039,1.22260587820198e-08,0.000110571509811614,0.011057,0.00731366735830249,0.00774710767676402,0.731367,0.774711,"0.75(0.73-0.77)",18,"Success"
356,"colorectum","Poisson","both",0.00945754722454135,0.945755,2.68514733384661e-09,5.1818407287822e-05,0.005182,0.00935598314625721,0.00955911130282548,0.935598,0.955911,"0.95(0.94-0.96)",18,"Success",0.00612217243091062,0.612217,1.94123589384413e-09,4.40594586195079e-05,0.004406,0.00603581589201639,0.00620852896980486,0.603582,0.620853,"0.61(0.60-0.62)",18,"Success"
64,"colorectum","Poisson","both",0.0092630176805564,0.926302,4.40532414839958e-06,0.00209888640674039,0.209889,0.00514920032334525,0.0133768350377676,0.51492,1.337684,"0.93(0.51-1.34)",18,"Success",0.0060332561499609,0.603326,2.66902953940495e-06,0.00163371648072882,0.163372,0.00283117184773242,0.00923534045218938,0.283117,0.923534,"0.60(0.28-0.92)",18,"Success"
90,"colorectum","Poisson","both",0.00921683767951331,0.921684,8.03065591309227e-06,0.00283384119404957,0.283384,0.00366250893917616,0.0147711664198505,0.366251,1.477117,"0.92(0.37-1.48)",18,"Success",0.00589846303511181,0.589846,4.82875095959386e-06,0.00219744191267798,0.219744,0.00159147688626297,0.0102054491839607,0.159148,1.020545,"0.59(0.16-1.02)",18,"Success"
120,"colorectum","Poisson","both",0.00917468594297455,0.917469,1.97834035505855e-07,0.000444785381398551,0.044479,0.00830290659543339,0.0100464652905157,0.830291,1.004647,"0.92(0.83-1.00)",18,"Success",0.00694777516895135,0.694778,1.73365164310705e-07,0.000416371425905651,0.041637,0.00613168717417628,0.00776386316372643,0.613169,0.776386,"0.69(0.61-0.78)",18,"Success"
262,"colorectum","Poisson","both",0.00896708683201863,0.896709,2.33186453781872e-06,0.00152704437978034,0.152704,0.00597407984764916,0.0119600938163881,0.597408,1.196009,"0.90(0.60-1.20)",18,"Success",0.00740224343242386,0.740224,1.84945004558431e-06,0.00135994486858266,0.135994,0.00473675149000184,0.0100677353748459,0.473675,1.006774,"0.74(0.47-1.01)",18,"Success"
508,"colorectum","Poisson","both",0.00891839366549422,0.891839,3.72347201866232e-07,0.000610202590838676,0.06102,0.00772239658745042,0.010114390743538,0.77224,1.011439,"0.89(0.77-1.01)",18,"Success",0.00779390600139511,0.779391,3.46894231884508e-07,0.000588977276203852,0.058898,0.00663951054003556,0.00894830146275466,0.663951,0.89483,"0.78(0.66-0.89)",18,"Success"
524,"colorectum","Poisson","both",0.00881272947713557,0.881273,1.39461394240584e-07,0.000373445302876584,0.037345,0.00808077668349746,0.00954468227077367,0.808078,0.954468,"0.88(0.81-0.95)",18,"Success",0.00574808653787304,0.574809,1.00269231239566e-07,0.000316653171845105,0.031665,0.00512744632105663,0.00636872675468944,0.512745,0.636873,"0.57(0.51-0.64)",18,"Success"
132,"colorectum","Poisson","both",0.00871563248612896,0.871563,5.145690973333e-06,0.00226841155290062,0.226841,0.00426954584244375,0.0131617191298142,0.426955,1.316172,"0.87(0.43-1.32)",18,"Success",0.0123151243400526,1.231512,1.54394481303711e-05,0.00392930631668888,0.392931,0.00461368395934242,0.0200165647207628,0.461368,2.001656,"1.23(0.46-2.00)",18,"Success"
562,"colorectum","Poisson","both",0.00852406878659374,0.852407,3.04291035545676e-07,0.000551625811167023,0.055163,0.00744288219670638,0.00960525537648111,0.744288,0.960526,"0.85(0.74-0.96)",18,"Success",0.00705685194694941,0.705685,2.57564420074809e-07,0.000507508049270954,0.050751,0.00606213617037834,0.00805156772352048,0.606214,0.805157,"0.71(0.61-0.81)",18,"Success"
454,"colorectum","Poisson","both",0.00832459173102129,0.832459,2.80905798654451e-07,0.000530005470400496,0.053001,0.00728578100903632,0.00936340245300626,0.728578,0.93634,"0.83(0.73-0.94)",18,"Success",0.00650234563753984,0.650235,2.28873806099979e-07,0.000478407573205085,0.047841,0.00556466679405788,0.00744002448102181,0.556467,0.744002,"0.65(0.56-0.74)",18,"Success"
894,"colorectum","Poisson","both",0.00827710744389233,0.827711,4.91189984129625e-07,0.000700849473232038,0.070085,0.00690344247635753,0.00965077241142712,0.690344,0.965077,"0.83(0.69-0.97)",18,"Success",0.00664623908651425,0.664624,4.61425250110739e-07,0.000679282894021879,0.067928,0.00531484461423136,0.00797763355879713,0.531484,0.797763,"0.66(0.53-0.80)",18,"Success"
911,"colorectum","Poisson","both",0.00816659711683445,0.81666,3.16251871206084e-08,0.000177834718546769,0.017783,0.00781804106848278,0.00851515316518611,0.781804,0.851515,"0.82(0.78-0.85)",18,"Success",0.00673772752786573,0.673773,2.97352752800692e-08,0.000172439192992977,0.017244,0.00639974670959949,0.00707570834613196,0.639975,0.707571,"0.67(0.64-0.71)",18,"Success"
72,"colorectum","Poisson","both",0.00775947471016841,0.775947,1.15825134465698e-06,0.00107622086239627,0.107622,0.00565008181987171,0.00986886760046511,0.565008,0.986887,"0.78(0.57-0.99)",18,"Success",0.00544707401328542,0.544707,1.00338266183045e-06,0.0010016899030291,0.100169,0.00348376180334839,0.00741038622322246,0.348376,0.741039,"0.54(0.35-0.74)",18,"Success"
288,"colorectum","Poisson","both",0.00756176815151307,0.756177,1.34739724243502e-07,0.000367069100093568,0.036707,0.00684231271532968,0.00828122358769646,0.684231,0.828122,"0.76(0.68-0.83)",18,"Success",0.00577685304178408,0.577685,1.13617786770111e-07,0.000337072376159945,0.033707,0.00511619118451059,0.00643751489905757,0.511619,0.643751,"0.58(0.51-0.64)",18,"Success"
266,"colorectum","Poisson","both",0.00753518887581407,0.753519,8.10356469562187e-07,0.00090019801686195,0.09002,0.00577080076276465,0.00929957698886349,0.57708,0.929958,"0.75(0.58-0.93)",18,"Success",0.00461633958428011,0.461634,4.79235845203741e-07,0.000692268622142981,0.069227,0.00325949308487987,0.00597318608368035,0.325949,0.597319,"0.46(0.33-0.60)",18,"Success"
50,"colorectum","Poisson","both",0.0074298780716367,0.742988,2.76474924637246e-08,0.000166275351341456,0.016628,0.00710397838300744,0.00775577776026595,0.710398,0.775578,"0.74(0.71-0.78)",18,"Success",0.00491081689441007,0.491082,2.01269300642831e-08,0.000141869412010775,0.014187,0.00463275284686895,0.00518888094195119,0.463275,0.518888,"0.49(0.46-0.52)",18,"Success"
430,"colorectum","Poisson","both",0.00716605090347907,0.716605,9.03680824660102e-07,0.000950621283508897,0.095062,0.00530283318780163,0.00902926861915651,0.530283,0.902927,"0.72(0.53-0.90)",18,"Success",0.00593726159755315,0.593726,8.47469878518845e-07,0.000920581272087829,0.092058,0.00413292230426101,0.0077416008908453,0.413292,0.77416,"0.59(0.41-0.77)",18,"Success"
678,"colorectum","Poisson","both",0.00678392390183815,0.678392,6.34176698185932e-06,0.00251828651703084,0.251829,0.00184808232845771,0.0117197654752186,0.184808,1.171977,"0.68(0.18-1.17)",18,"Success",0.00506901866294743,0.506902,5.42062940579312e-06,0.00232822451790911,0.232822,0.000505698607845565,0.00963233871804929,0.05057,0.963234,"0.51(0.05-0.96)",18,"Success"
178,"colorectum","Poisson","both",0.00640725214400451,0.640725,5.61572232693098e-07,0.000749381233213841,0.074938,0.00493846492690538,0.00787603936110364,0.493846,0.787604,"0.64(0.49-0.79)",18,"Success",0.00456065366087954,0.456065,4.79207160380909e-07,0.000692247903847248,0.069225,0.00320384776933893,0.00591745955242014,0.320385,0.591746,"0.46(0.32-0.59)",18,"Success"
646,"colorectum","Poisson","both",0.00612411201043687,0.612411,2.64732752267545e-07,0.000514521867628136,0.051452,0.00511564914988573,0.00713257487098802,0.511565,0.713257,"0.61(0.51-0.71)",18,"Success",0.00483598262197383,0.483598,2.43950948699549e-07,0.00049391390818598,0.049391,0.00386791136192931,0.00580405388201835,0.386791,0.580405,"0.48(0.39-0.58)",18,"Success"
24,"colorectum","Poisson","both",0.00591016719103492,0.591017,1.5165352010357e-07,0.000389427169190299,0.038943,0.00514688993942193,0.0066734444426479,0.514689,0.667344,"0.59(0.51-0.67)",18,"Success",0.00460193318106973,0.460193,1.34716406416421e-07,0.000367037336542785,0.036704,0.00388254000144587,0.00532132636069359,0.388254,0.532133,"0.46(0.39-0.53)",18,"Success"
748,"colorectum","Poisson","both",0.00565902635325823,0.565903,1.43776981949605e-06,0.00119907039805678,0.119907,0.00330884837306694,0.00800920433344952,0.330885,0.80092,"0.57(0.33-0.80)",18,"Success",0.00463317078622301,0.463317,1.21873898002155e-06,0.00110396511721229,0.110397,0.00246939915648692,0.0067969424159591,0.24694,0.679694,"0.46(0.25-0.68)",18,"Success"
174,"colorectum","Poisson","both",0.00508705840899668,0.508706,1.65637331389666e-06,0.00128700167594944,0.1287,0.00256453512413578,0.00760958169385757,0.256454,0.760958,"0.51(0.26-0.76)",18,"Success",0.00372041360431049,0.372041,1.26099262581173e-06,0.00112293927966374,0.112294,0.00151945261616955,0.00592137459245143,0.151945,0.592137,"0.37(0.15-0.59)",18,"Success"
624,"colorectum","Poisson","both",0.00493888543279671,0.493889,8.30351044642203e-07,0.000911235998324366,0.091124,0.00315286287608095,0.00672490798951247,0.315286,0.672491,"0.49(0.32-0.67)",18,"Success",0.00422744214685507,0.422744,7.54719114761979e-07,0.000868745713521499,0.086875,0.00252470054835293,0.00593018374535721,0.25247,0.593018,"0.42(0.25-0.59)",18,"Success"
140,"colorectum","Poisson","both",0.0045336567068911,0.453366,2.47930034608069e-07,0.000497925732020417,0.049793,0.00355772227213108,0.00550959114165112,0.355772,0.550959,"0.45(0.36-0.55)",18,"Success",0.00399182066523392,0.399182,2.37247823631876e-07,0.000487080921030455,0.048708,0.00303714206001423,0.00494649927045361,0.303714,0.49465,"0.40(0.30-0.49)",18,"Success"
324,"colorectum","Poisson","both",0.0038749006443643,0.38749,1.62352802453078e-07,0.000402930269963772,0.040293,0.0030851573152353,0.00466464397349329,0.308516,0.466464,"0.39(0.31-0.47)",18,"Success",0.00319514039333679,0.319514,1.48369553344622e-07,0.000385187685868359,0.038519,0.0024401725290348,0.00395010825763877,0.244017,0.395011,"0.32(0.24-0.40)",18,"Success"
270,"colorectum","Poisson","both",0.00341757312801884,0.341757,6.36804584646523e-07,0.000798000366319792,0.0798,0.00185349241003204,0.00498165384600563,0.185349,0.498165,"0.34(0.19-0.50)",18,"Success",0.00303155147423546,0.303155,5.88715179238255e-07,0.000767277771891155,0.076728,0.00152768704132879,0.00453541590714212,0.152769,0.453542,"0.30(0.15-0.45)",18,"Success"
226,"colorectum","Poisson","both",0.00333526035835831,0.333526,2.95214718351509e-07,0.000543336652869571,0.054334,0.00227032051873395,0.00440020019798267,0.227032,0.44002,"0.33(0.23-0.44)",18,"Success",0.00251283484073292,0.251283,2.26635576531204e-07,0.000476062576276695,0.047606,0.00157975219123059,0.00344591749023524,0.157975,0.344592,"0.25(0.16-0.34)",18,"Success"
854,"colorectum","Poisson","both",0.00320176762965746,0.320177,3.41833413739089e-08,0.000184887374836436,0.018489,0.00283938837497805,0.00356414688433688,0.283939,0.356415,"0.32(0.28-0.36)",18,"Success",0.002516790264476,0.251679,2.69242718770185e-08,0.000164086172107885,0.016409,0.00219518136714454,0.00283839916180745,0.219518,0.28384,"0.25(0.22-0.28)",18,"Success"
148,"colorectum","Poisson","both",0.00270502110642373,0.270502,7.57048037207884e-08,0.000275145059415553,0.027515,0.00216573678996924,0.00324430542287821,0.216574,0.324431,"0.27(0.22-0.32)",18,"Success",0.00216297357548609,0.216297,6.15889840555667e-08,0.00024817127967508,0.024817,0.00167655786732293,0.00264938928364925,0.167656,0.264939,"0.22(0.17-0.26)",18,"Success"
694,"colorectum","Poisson","both",0.000513988588042848,0.051399,9.91946338303243e-08,0.000314951796042385,0.031495,0,0.00113129410828592,0,0.113129,"0.05(0.00-0.11)",18,"Success",0.000505558354011251,0.050556,9.91236461174796e-08,0.000314839079717686,0.031484,0,0.00112264295025792,0,0.112264,"0.05(0.00-0.11)",18,"Success"
