"ISOcode","AgeStart","AgeEnd","Ri"
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,1
84,40,44,0
84,45,49,0
84,50,54,3
84,55,59,3
84,60,64,4
84,65,69,2
84,70,74,2
84,75,79,1
84,80,84,3
84,85,999,2
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,2
90,45,49,1
90,50,54,3
90,55,59,0
90,60,64,3
90,65,69,3
90,70,74,3
90,75,79,2
90,80,84,0
90,85,999,2
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,1
96,35,39,4
96,40,44,9
96,45,49,13
96,50,54,20
96,55,59,22
96,60,64,24
96,65,69,22
96,70,74,15
96,75,79,10
96,80,84,7
96,85,999,6
100,0,4,0
100,5,9,0
100,10,14,1
100,15,19,1
100,20,24,1
100,25,29,4
100,30,34,8
100,35,39,19
100,40,44,44
100,45,49,120
100,50,54,229
100,55,59,382
100,60,64,654
100,65,69,921
100,70,74,1023
100,75,79,814
100,80,84,508
100,85,999,357
104,0,4,0
104,5,9,0
104,10,14,0
104,15,19,48
104,20,24,61
104,25,29,97
104,30,34,83
104,35,39,130
104,40,44,230
104,45,49,366
104,50,54,564
104,55,59,660
104,60,64,765
104,65,69,822
104,70,74,710
104,75,79,491
104,80,84,321
104,85,999,204
108,0,4,0
108,5,9,0
108,10,14,1
108,15,19,1
108,20,24,4
108,25,29,12
108,30,34,16
108,35,39,17
108,40,44,22
108,45,49,27
108,50,54,32
108,55,59,42
108,60,64,54
108,65,69,52
108,70,74,35
108,75,79,22
108,80,84,13
108,85,999,9
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,1
112,20,24,5
112,25,29,7
112,30,34,17
112,35,39,40
112,40,44,88
112,45,49,165
112,50,54,305
112,55,59,562
112,60,64,1003
112,65,69,1247
112,70,74,1156
112,75,79,634
112,80,84,528
112,85,999,402
116,0,4,0
116,5,9,0
116,10,14,0
116,15,19,1
116,20,24,3
116,25,29,12
116,30,34,30
116,35,39,76
116,40,44,94
116,45,49,105
116,50,54,177
116,55,59,222
116,60,64,225
116,65,69,235
116,70,74,221
116,75,79,159
116,80,84,101
116,85,999,65
120,0,4,0
120,5,9,0
120,10,14,2
120,15,19,2
120,20,24,23
120,25,29,33
120,30,34,30
120,35,39,48
120,40,44,72
120,45,49,96
120,50,54,119
120,55,59,132
120,60,64,119
120,65,69,94
120,70,74,69
120,75,79,43
120,80,84,24
120,85,999,10
124,0,4,0
124,5,9,0
124,10,14,16
124,15,19,22
124,20,24,24
124,25,29,56
124,30,34,163
124,35,39,343
124,40,44,563
124,45,49,856
124,50,54,1292
124,55,59,2008
124,60,64,2859
124,65,69,3325
124,70,74,3508
124,75,79,3215
124,80,84,2496
124,85,999,2979
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,1
132,35,39,0
132,40,44,4
132,45,49,1
132,50,54,5
132,55,59,6
132,60,64,4
132,65,69,4
132,70,74,1
132,75,79,1
132,80,84,0
132,85,999,1
140,0,4,0
140,5,9,0
140,10,14,5
140,15,19,4
140,20,24,8
140,25,29,6
140,30,34,6
140,35,39,8
140,40,44,11
140,45,49,13
140,50,54,15
140,55,59,18
140,60,64,15
140,65,69,14
140,70,74,11
140,75,79,10
140,80,84,6
140,85,999,3
144,0,4,0
144,5,9,0
144,10,14,1
144,15,19,3
144,20,24,3
144,25,29,15
144,30,34,21
144,35,39,30
144,40,44,66
144,45,49,119
144,50,54,186
144,55,59,279
144,60,64,362
144,65,69,422
144,70,74,423
144,75,79,321
144,80,84,168
144,85,999,121
148,0,4,0
148,5,9,0
148,10,14,9
148,15,19,16
148,20,24,9
148,25,29,31
148,30,34,10
148,35,39,32
148,40,44,1
148,45,49,35
148,50,54,28
148,55,59,8
148,60,64,10
