ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
50,45,49,1767,1012,589350,1049
50,50,54,2210,1341,682142.5,1860
50,55,59,2445,1553,712128,3155
50,60,64,2128,1380,622569.5,4597
50,65,69,1533,971,493921.5,6276
50,70,74,1259,761,418525.5,9109
50,75,79,1073,605,332743,10823
50,80,84,695,355,309708,15891
50,85,999,510,226,238979,41378
51,0,4,0,0,21884.5,56
51,5,9,0,0,24843.5,5
51,10,14,0,0,27815.5,5
51,15,19,0,0,27943.5,26
51,20,24,0,0,29338.5,50
51,25,29,0,0,33365.5,62
51,30,34,0,0,32163.5,79
51,35,39,1,0,28960.5,95
51,40,44,1,0,27358.5,112
51,45,49,5,1,27453,145
51,50,54,9,3,27630.5,194
51,55,59,7,3,24924,231
51,60,64,15,7,19126,223
51,65,69,13,5,14070.5,331
51,70,74,10,4,10968.5,338
51,75,79,2,2,9340.5,436
51,80,84,3,3,5892.5,432
51,85,999,5,4,4459.5,582
52,0,4,0,0,95927,130
52,5,9,0,0,103321,21
52,10,14,0,0,93320,18
52,15,19,0,0,88548.5,34
52,20,24,0,0,115525.5,57
52,25,29,0,0,164481.5,80
52,30,34,0,0,200035,99
52,35,39,0,0,189605.5,97
52,40,44,0,0,146249,109
52,45,49,0,0,106317.5,146
52,50,54,0,0,76240,172
52,55,59,4,2,59196,239
52,60,64,1,1,41037.5,302
52,65,69,0,0,24981.5,323
52,70,74,0,0,12212.5,281
52,75,79,3,2,8084,312
52,80,84,0,1,4871,324
52,85,999,4,2,3506,467
56,0,4,0,0,16290933.5,99644
56,5,9,0,0,15731965.5,8677
56,10,14,0,0,16709288.5,7161
56,15,19,0,0,17136306.5,24945
56,20,24,1,0,15767602.5,12913
56,25,29,3,0,14851325,13818
56,30,34,5,0,12592453,11543
56,35,39,7,1,12834803.5,15809
56,40,44,20,2,10321258,21337
56,45,49,43,7,8499485.5,31397
56,50,54,81,16,7261302,46409
56,55,59,136,29,6043424,60587
56,60,64,179,36,4952719.5,65320
56,65,69,188,37,3998047.5,81020
56,70,74,166,36,2830641,93932
56,75,79,124,30,1917249.5,96099
56,80,84,77,24,1045673,79984
56,85,999,70,30,600419.5,82595
64,0,4,0,0,176876,355
64,5,9,0,0,198151,26
64,10,14,0,0,197188.5,27
64,15,19,0,0,171509,58
64,20,24,0,0,167725.5,91
64,25,29,0,0,196310,115
64,30,34,0,0,245772.5,197
64,35,39,1,0,231337,271
64,40,44,1,0,204150.5,486
64,45,49,1,1,170078,730
64,50,54,3,2,162896.5,1157
64,55,59,3,3,184555.5,1856
64,60,64,3,1,202255,2987
64,65,69,3,3,150095.5,3528
64,70,74,3,2,99249.5,3760
64,75,79,2,1,44808.5,2759
64,80,84,1,0,46932.5,5050
64,85,999,1,0,30983.5,6111
68,0,4,0,0,15871.5,34
68,5,9,0,0,16292.5,2
68,10,14,0,0,17878,4
68,15,19,0,0,18016,8
68,20,24,0,4,18866.5,13
68,25,29,2,0,17895.5,16
68,30,34,3,0,18718.5,22
68,35,39,5,0,18989,33
68,40,44,6,0,18382,46
68,45,49,9,3,19182.5,67
68,50,54,0,0,19387,97
68,55,59,0,0,19666.5,144
68,60,64,6,3,18852,208
68,65,69,0,0,16089,295
68,70,74,33,17,11939.5,377
68,75,79,0,0,8146.5,477
68,80,84,7,5,4705.5,510
68,85,999,0,0,3440,781
70,0,4,0,0,593583.5,495
70,5,9,0,0,645118,58
70,10,14,0,0,685654,62
70,15,19,0,0,655179.5,172
70,20,24,0,0,670129,242
70,25,29,0,0,722057,336
70,30,34,0,0,770372.5,431
70,35,39,1,0,747838.5,632
70,40,44,4,1,763640.5,1035
70,45,49,11,3,742333,1525
70,50,54,16,5,785609.5,2402
70,55,59,20,9,804462.5,3669
70,60,64,21,10,754581.5,5836
70,65,69,24,11,654032.5,8653
70,70,74,23,9,563123.5,12485
70,75,79,12,6,436594,14605
70,80,84,9,5,303285.5,17297
70,85,999,10,4,344225.5,49895
72,0,4,0,0,2766.5,1
72,5,9,0,0,3034,0
72,10,14,0,0,3346.5,0
72,15,19,0,0,3293.5,1
72,20,24,0,0,3448,2
