Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,671,-,-,671,3.1,1.7,0.39
ALB,1,008,8,Albania,0,29,-,-,29,0.61,1.1,0.09
DZA,1,012,12,Algeria,0,106,-,-,106,0.25,0.24,0.04
AGO,1,024,24,Angola,0,293,-,-,293,1.9,0.84,0.25
AZE,1,031,31,Azerbaijan,0,56,-,-,56,0.49,0.56,0.08
ARG,1,032,32,Argentina,0,397,-,-,397,0.75,0.91,0.11
AUS,1,036,36,Australia,0,250,-,-,250,0.64,1.0,0.09
AUT,1,040,40,Austria,0,170,-,-,170,1.1,2.1,0.15
BHS,1,044,44,Bahamas,0,5,-,-,5,1.0,1.3,0.13
BHR,1,048,48,Bahrain,0,8,-,-,8,0.63,0.45,0.08
BGD,1,050,50,Bangladesh,0,8261,-,-,8261,5.6,5.0,0.74
ARM,1,051,51,Armenia,0,23,-,-,23,0.53,0.81,0.08
BRB,1,052,52,Barbados,0,3,-,-,3,0.63,1.1,0.08
BEL,1,056,56,Belgium,0,164,-,-,164,0.83,1.6,0.12
BTN,1,064,64,Bhutan,0,12,-,-,12,1.9,1.6,0.28
BOL,1,068,68,Bolivia (Plurinational State of),0,27,-,-,27,0.24,0.23,0.04
BIH,1,070,70,Bosnia Herzegovina,0,48,-,-,48,0.79,1.6,0.11
BWA,1,072,72,Botswana,0,25,-,-,25,1.4,1.0,0.20
BRA,1,076,76,Brazil,0,3534,-,-,3534,1.3,1.7,0.18
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,8,-,-,8,1.7,1.1,0.20
BRN,1,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,1,100,100,Bulgaria,0,146,-,-,146,1.3,2.4,0.16
MMR,1,104,104,Myanmar,0,1183,-,-,1183,2.1,2.2,0.28
BDI,1,108,108,Burundi,0,56,-,-,56,1.0,0.45,0.16
BLR,1,112,112,Belarus,0,467,-,-,467,3.2,5.3,0.39
KHM,1,116,116,Cambodia,0,225,-,-,225,1.7,1.3,0.25
CMR,1,120,120,Cameroon,0,132,-,-,132,0.99,0.48,0.15
CAN,1,124,124,Canada,0,392,-,-,392,0.60,1.1,0.09
CPV,1,132,132,Cape Verde,0,6,-,-,6,1.2,1.1,0.13
CAF,1,140,140,Central African Republic,0,26,-,-,26,0.97,0.52,0.12
LKA,1,144,144,Sri Lanka,0,989,-,-,989,3.4,4.8,0.46
TCD,1,148,148,Chad,0,105,-,-,105,1.1,0.61,0.15
CHL,1,152,152,Chile,0,87,-,-,87,0.32,0.48,0.05
CHN,1,156,160,China,0,13543,-,-,13543,0.59,1.0,0.09
COL,1,170,170,Colombia,0,239,-,-,239,0.40,0.48,0.06
COM,1,174,174,Comoros,0,3,-,-,3,0.62,0.33,0.09
COG,1,178,178,"Congo, Republic of",0,9,-,-,9,0.33,0.16,0.05
COD,1,180,180,"Congo, Democratic Republic of",0,280,-,-,280,0.59,0.30,0.09
CRI,1,188,188,Costa Rica,0,27,-,-,27,0.41,0.54,0.06
HRV,1,191,191,Croatia,0,101,-,-,101,1.4,2.8,0.19
CUB,1,192,192,Cuba,0,295,-,-,295,1.5,2.8,0.21
CYP,1,196,196,Cyprus,0,6,-,-,6,0.34,0.52,0.05
CZE,1,203,203,Czechia,0,293,-,-,293,1.6,3.0,0.22
