Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,781,-,-,781,3.4,2.0,0.33
ALB,1,008,8,Albania,0,33,-,-,33,0.87,1.4,0.09
DZA,1,012,12,Algeria,0,200,-,-,200,0.48,0.47,0.05
AGO,1,024,24,Angola,0,448,-,-,448,2.4,1.3,0.24
AZE,1,031,31,Azerbaijan,0,93,-,-,93,0.78,0.98,0.07
ARG,1,032,32,Argentina,0,598,-,-,598,1.3,1.5,0.13
AUS,1,036,36,Australia,0,1225,-,-,1225,3.9,5.7,0.39
AUT,1,040,40,Austria,0,296,-,-,296,2.3,4.1,0.23
BHS,1,044,44,Bahamas,0,5,-,-,5,1.0,1.4,0.11
BHR,1,048,48,Bahrain,0,21,-,-,21,1.4,1.2,0.14
BGD,1,050,50,Bangladesh,0,11013,-,-,11013,7.0,6.9,0.69
ARM,1,051,51,Armenia,0,38,-,-,38,1.1,1.5,0.10
BRB,1,052,52,Barbados,0,5,-,-,5,1.1,2.1,0.13
BEL,1,056,56,Belgium,0,475,-,-,475,3.0,5.1,0.31
BTN,1,064,64,Bhutan,0,12,-,-,12,1.9,1.6,0.19
BOL,1,068,68,Bolivia (Plurinational State of),0,31,-,-,31,0.30,0.28,0.03
BIH,1,070,70,Bosnia Herzegovina,0,73,-,-,73,1.6,2.8,0.15
BWA,1,072,72,Botswana,0,50,-,-,50,2.8,2.2,0.28
BRA,1,076,76,Brazil,0,6035,-,-,6035,2.5,3.1,0.24
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,10,-,-,10,2.1,1.4,0.20
BRN,1,096,96,Brunei Darussalam,0,1,-,-,1,0.19,0.24,0.01
BGR,1,100,100,Bulgaria,0,197,-,-,197,2.1,3.7,0.21
