Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
ITA,1,380,380,Italy,0,836,-,-,836,1.3,2.3,0.10
CIV,1,384,384,"Côte d'Ivoire",0,118,-,-,118,0.68,0.46,0.05
JAM,1,388,388,Jamaica,0,10,-,-,10,0.35,0.41,0.03
JPN,1,392,392,Japan,0,1323,-,-,1323,1.1,1.8,0.08
KAZ,1,398,398,Kazakhstan,0,130,-,-,130,0.76,0.83,0.06
JOR,1,400,400,Jordan,0,45,-,-,45,0.53,0.49,0.04
KEN,1,404,404,Kenya,0,273,-,-,273,0.73,0.52,0.05
PRK,1,408,408,"Korea, Democratic People Republic of",0,90,-,-,90,0.30,0.44,0.02
KOR,1,410,410,"Korea, Republic of",0,353,-,-,353,0.61,1.0,0.04
KWT,1,414,414,Kuwait,0,28,-,-,28,0.43,0.74,0.03
KGZ,1,417,417,Kyrgyzstan,0,27,-,-,27,0.49,0.46,0.04
LAO,1,418,418,"Lao People's Democratic Republic",0,82,-,-,82,1.4,1.2,0.10
LBN,1,422,422,Lebanon,0,28,-,-,28,0.44,0.51,0.03
LSO,1,426,426,Lesotho,0,8,-,-,8,0.54,0.41,0.04
LVA,1,428,428,Latvia,0,37,-,-,37,2.0,3.1,0.15
LBR,1,430,430,Liberia,0,21,-,-,21,0.58,0.43,0.04
LBY,1,434,434,Libya,0,28,-,-,28,0.39,0.45,0.03
LTU,1,440,440,Lithuania,0,59,-,-,59,2.2,3.5,0.17
LUX,1,442,442,Luxembourg,0,4,-,-,4,0.53,0.86,0.04
MDG,1,450,450,Madagascar,0,153,-,-,153,0.75,0.57,0.05
MWI,1,454,454,Malawi,0,112,-,-,112,0.82,0.59,0.06
MYS,1,458,458,Malaysia,0,210,-,-,210,0.69,0.76,0.05
MDV,1,462,462,Maldives,0,2,-,-,2,0.48,0.41,0.04
MLI,1,466,466,Mali,0,134,-,-,134,1.0,0.66,0.07
MLT,1,470,470,Malta,0,7,-,-,7,1.6,2.4,0.12
MTQ,1,474,474,"France, Martinique",0,2,-,-,2,0.52,0.88,0.04
MRT,1,478,478,Mauritania,0,24,-,-,24,0.70,0.53,0.05
MUS,1,480,480,Mauritius,0,16,-,-,16,1.2,1.7,0.09
MEX,1,484,484,Mexico,0,392,-,-,392,0.32,0.36,0.02
MNG,1,496,496,Mongolia,0,9,-,-,9,0.30,0.30,0.02
MDA,1,498,498,Republic of Moldova,0,75,-,-,75,1.8,2.5,0.14
MNE,1,499,499,Montenegro,0,6,-,-,6,0.98,1.4,0.07
MAR,1,504,504,Morocco,0,173,-,-,173,0.51,0.56,0.04
MOZ,1,508,508,Mozambique,0,160,-,-,160,0.71,0.52,0.05
OMN,1,512,512,Oman,0,48,-,-,48,0.91,0.97,0.07
NAM,1,516,516,Namibia,0,38,-,-,38,2.2,1.6,0.16
NPL,1,524,524,Nepal,0,314,-,-,314,1.3,1.2,0.10
NLD,1,528,528,The Netherlands,0,211,-,-,211,1.2,1.9,0.09
NCL,1,540,540,New Caledonia,0,5,-,-,5,1.6,2.2,0.13
VUT,1,548,548,Vanuatu,0,5,-,-,5,2.5,1.7,0.20
NZL,1,554,554,New Zealand,0,69,-,-,69,1.5,2.0,0.11
NIC,1,558,558,Nicaragua,0,16,-,-,16,0.27,0.27,0.02
NER,1,562,562,Niger,0,74,-,-,74,0.50,0.30,0.04
NGA,1,566,566,Nigeria,0,418,-,-,418,0.27,0.21,0.02
NOR,1,578,578,Norway,0,60,-,-,60,1.1,1.6,0.08
PAK,1,586,586,Pakistan,0,8077,-,-,8077,4.8,3.9,0.36
PAN,1,591,591,Panama,0,9,-,-,9,0.22,0.25,0.02
PNG,1,598,598,Papua New Guinea,0,572,-,-,572,8.7,6.8,0.68
PRY,1,600,600,Paraguay,0,46,-,-,46,0.82,0.73,0.06
PER,1,604,604,Peru,0,185,-,-,185,0.58,0.67,0.04
PHL,1,608,608,Philippines,0,430,-,-,430,0.46,0.44,0.03
POL,1,616,616,Poland,0,840,-,-,840,2.1,3.3,0.16
PRT,1,620,620,Portugal,0,352,-,-,352,3.3,5.6,0.24
GNB,1,624,624,Guinea-Bissau,0,4,-,-,4,0.38,0.21,0.03
TLS,1,626,626,Timor-Leste,0,0,-,-,0,0.00,0.00,0.00
PRI,1,630,630,Puerto Rico,0,31,-,-,31,1.0,1.7,0.08
QAT,1,634,634,Qatar,0,19,-,-,19,0.51,0.70,0.04
REU,1,638,638,"France, La Réunion",0,20,-,-,20,2.2,3.0,0.17
ROU,1,642,642,Romania,0,538,-,-,538,2.4,4.2,0.18
