Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,621,-,-,621,2.9,1.6,0.31
ALB,1,008,8,Albania,0,21,-,-,21,0.47,0.82,0.06
DZA,1,012,12,Algeria,0,88,-,-,88,0.21,0.20,0.02
AGO,1,024,24,Angola,0,270,-,-,270,1.7,0.78,0.20
AZE,1,031,31,Azerbaijan,0,42,-,-,42,0.34,0.42,0.04
ARG,1,032,32,Argentina,0,315,-,-,315,0.64,0.74,0.08
AUS,1,036,36,Australia,0,194,-,-,194,0.55,0.84,0.07
AUT,1,040,40,Austria,0,139,-,-,139,0.98,1.8,0.11
BHS,1,044,44,Bahamas,0,5,-,-,5,1.0,1.3,0.13
BHR,1,048,48,Bahrain,0,8,-,-,8,0.64,0.46,0.08
BGD,1,050,50,Bangladesh,0,7500,-,-,7500,5.0,4.6,0.57
ARM,1,051,51,Armenia,0,19,-,-,19,0.45,0.69,0.05
BRB,1,052,52,Barbados,0,3,-,-,3,0.64,1.2,0.08
BEL,1,056,56,Belgium,0,128,-,-,128,0.71,1.3,0.09
BTN,1,064,64,Bhutan,0,10,-,-,10,1.6,1.3,0.20
BOL,1,068,68,Bolivia (Plurinational State of),0,10,-,-,10,0.10,0.09,0.01
BIH,1,070,70,Bosnia Herzegovina,0,39,-,-,39,0.70,1.4,0.08
BWA,1,072,72,Botswana,0,21,-,-,21,1.2,0.88,0.14
BRA,1,076,76,Brazil,0,3030,-,-,3030,1.2,1.5,0.14
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,8,-,-,8,1.8,1.1,0.20
BRN,1,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,1,100,100,Bulgaria,0,122,-,-,122,1.2,2.1,0.13
MMR,1,104,104,Myanmar,0,1013,-,-,1013,1.8,1.9,0.20
BDI,1,108,108,Burundi,0,45,-,-,45,0.77,0.36,0.09
BLR,1,112,112,Belarus,0,415,-,-,415,2.9,4.9,0.32
KHM,1,116,116,Cambodia,0,175,-,-,175,1.3,1.1,0.15
CMR,1,120,120,Cameroon,0,111,-,-,111,0.82,0.40,0.10
CAN,1,124,124,Canada,0,296,-,-,296,0.50,0.89,0.06
CPV,1,132,132,Cape Verde,0,6,-,-,6,1.2,1.1,0.13
CAF,1,140,140,Central African Republic,0,24,-,-,24,0.88,0.49,0.09
LKA,1,144,144,Sri Lanka,0,816,-,-,816,3.0,4.1,0.35
TCD,1,148,148,Chad,0,92,-,-,92,0.95,0.54,0.10
CHL,1,152,152,Chile,0,69,-,-,69,0.27,0.39,0.03
CHN,1,156,160,China,0,10513,-,-,10513,0.49,0.82,0.06
COL,1,170,170,Colombia,0,190,-,-,190,0.33,0.39,0.04
COM,1,174,174,Comoros,0,3,-,-,3,0.63,0.34,0.09
COG,1,178,178,"Congo, Republic of",0,9,-,-,9,0.34,0.16,0.05
COD,1,180,180,"Congo, Democratic Republic of",0,225,-,-,225,0.46,0.24,0.05
CRI,1,188,188,Costa Rica,0,20,-,-,20,0.32,0.42,0.04
HRV,1,191,191,Croatia,0,82,-,-,82,1.3,2.4,0.15
CUB,1,192,192,Cuba,0,245,-,-,245,1.4,2.5,0.16
CYP,1,196,196,Cyprus,0,5,-,-,5,0.30,0.46,0.04
CZE,1,203,203,Czechia,0,229,-,-,229,1.4,2.5,0.17
BEN,1,204,204,Benin,0,26,-,-,26,0.35,0.21,0.04
DNK,1,208,208,Denmark,0,58,-,-,58,0.67,1.2,0.08
DOM,1,214,214,Dominican Republic,0,34,-,-,34,0.32,0.32,0.04
ECU,1,218,218,Ecuador,0,49,-,-,49,0.29,0.29,0.03
SLV,1,222,222,El Salvador,0,22,-,-,22,0.36,0.36,0.04
GNQ,1,226,226,Equatorial Guinea,0,8,-,-,8,1.3,0.54,0.16
ETH,1,231,231,Ethiopia,0,603,-,-,603,0.82,0.51,0.09
ERI,1,232,232,Eritrea,0,18,-,-,18,0.91,0.51,0.10
EST,1,233,233,Estonia,0,28,-,-,28,1.4,2.5,0.16
FJI,1,242,242,Fiji,0,7,-,-,7,0.77,0.80,0.09
FIN,1,246,246,Finland,0,47,-,-,47,0.54,1.0,0.07
FRA,1,250,250,France (metropolitan),0,859,-,-,859,0.88,1.6,0.11
GUF,1,254,254,French Guyana,0,1,-,-,1,0.38,0.33,0.06
PYF,1,258,258,French Polynesia,0,5,-,-,5,1.4,1.9,0.16
