Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,1,004,4,Afghanistan,0,457,-,-,457,2.0,1.2,0.17
ALB,1,008,8,Albania,0,8,-,-,8,0.22,0.36,0.02
DZA,1,012,12,Algeria,0,51,-,-,51,0.12,0.13,0.01
AGO,1,024,24,Angola,0,192,-,-,192,1.1,0.57,0.10
AZE,1,031,31,Azerbaijan,0,19,-,-,19,0.17,0.21,0.01
ARG,1,032,32,Argentina,0,150,-,-,150,0.33,0.39,0.03
AUS,1,036,36,Australia,0,80,-,-,80,0.26,0.40,0.03
AUT,1,040,40,Austria,0,73,-,-,73,0.59,1.1,0.05
BHS,1,044,44,Bahamas,0,2,-,-,2,0.40,0.58,0.04
BHR,1,048,48,Bahrain,0,3,-,-,3,0.19,0.18,0.02
BGD,1,050,50,Bangladesh,0,5149,-,-,5149,3.2,3.4,0.29
ARM,1,051,51,Armenia,0,7,-,-,7,0.22,0.29,0.02
BRB,1,052,52,Barbados,0,2,-,-,2,0.45,0.92,0.05
BEL,1,056,56,Belgium,0,55,-,-,55,0.37,0.64,0.03
BTN,1,064,64,Bhutan,0,6,-,-,6,0.96,0.84,0.09
BOL,1,068,68,Bolivia (Plurinational State of),0,7,-,-,7,0.07,0.07,0.00
BIH,1,070,70,Bosnia Herzegovina,0,18,-,-,18,0.41,0.76,0.04
BWA,1,072,72,Botswana,0,13,-,-,13,0.74,0.57,0.07
BRA,1,076,76,Brazil,0,1689,-,-,1689,0.70,0.92,0.06
BLZ,1,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,1,090,90,Solomon Islands,0,6,-,-,6,1.3,0.88,0.11
BRN,1,096,96,Brunei Darussalam,0,0,-,-,0,0.00,0.00,0.00
BGR,1,100,100,Bulgaria,0,70,-,-,70,0.80,1.4,0.07
MMR,1,104,104,Myanmar,0,654,-,-,654,1.2,1.3,0.10
BDI,1,108,108,Burundi,0,24,-,-,24,0.37,0.20,0.03
BLR,1,112,112,Belarus,0,234,-,-,234,2.1,3.3,0.18
KHM,1,116,116,Cambodia,0,98,-,-,98,0.70,0.62,0.06
CMR,1,120,120,Cameroon,0,66,-,-,66,0.42,0.25,0.04
CAN,1,124,124,Canada,0,123,-,-,123,0.27,0.43,0.02
CPV,1,132,132,Cape Verde,0,5,-,-,5,1.0,0.96,0.08
CAF,1,140,140,Central African Republic,0,17,-,-,17,0.57,0.35,0.05
LKA,1,144,144,Sri Lanka,0,425,-,-,425,1.8,2.4,0.16
TCD,1,148,148,Chad,0,70,-,-,70,0.63,0.42,0.04
CHL,1,152,152,Chile,0,31,-,-,31,0.14,0.20,0.01
CHN,1,156,160,China,0,5304,-,-,5304,0.26,0.47,0.02
COL,1,170,170,Colombia,0,100,-,-,100,0.18,0.23,0.02
COM,1,174,174,Comoros,0,1,-,-,1,0.19,0.12,0.02
COG,1,178,178,"Congo, Republic of",0,2,-,-,2,0.06,0.04,0.01
COD,1,180,180,"Congo, Democratic Republic of",0,143,-,-,143,0.26,0.16,0.02
CRI,1,188,188,Costa Rica,0,11,-,-,11,0.19,0.25,0.02
HRV,1,191,191,Croatia,0,40,-,-,40,0.77,1.4,0.07
CUB,1,192,192,Cuba,0,137,-,-,137,0.79,1.6,0.07
CYP,1,196,196,Cyprus,0,2,-,-,2,0.13,0.21,0.01
CZE,1,203,203,Czechia,0,115,-,-,115,0.83,1.5,0.08
BEN,1,204,204,Benin,0,16,-,-,16,0.18,0.13,0.01
DNK,1,208,208,Denmark,0,27,-,-,27,0.36,0.63,0.03
DOM,1,214,214,Dominican Republic,0,18,-,-,18,0.17,0.18,0.02
ECU,1,218,218,Ecuador,0,27,-,-,27,0.16,0.17,0.01
SLV,1,222,222,El Salvador,0,12,-,-,12,0.21,0.21,0.02
GNQ,1,226,226,Equatorial Guinea,0,4,-,-,4,0.54,0.28,0.05
ETH,1,231,231,Ethiopia,0,448,-,-,448,0.57,0.39,0.05
ERI,1,232,232,Eritrea,0,11,-,-,11,0.55,0.32,0.05
EST,1,233,233,Estonia,0,15,-,-,15,0.95,1.6,0.09
FJI,1,242,242,Fiji,0,5,-,-,5,0.57,0.61,0.05
FIN,1,246,246,Finland,0,17,-,-,17,0.25,0.44,0.02
FRA,1,250,250,France (metropolitan),0,399,-,-,399,0.49,0.84,0.05
GUF,1,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,1,258,258,French Polynesia,0,3,-,-,3,0.83,1.2,0.08
DJI,1,262,262,Djibouti,0,4,-,-,4,0.48,0.43,0.05
GAB,1,266,266,Gabon,0,9,-,-,9,0.55,0.41,0.05
GEO,1,268,268,Georgia,0,32,-,-,32,0.68,1.0,0.06
GMB,1,270,270,The Republic of the Gambia,0,4,-,-,4,0.27,0.16,0.02
PSE,1,275,275,Gaza Strip and West Bank,0,9,-,-,9,0.26,0.18,0.02
DEU,1,276,276,Germany,0,474,-,-,474,0.39,0.80,0.04
GHA,1,288,288,Ghana,0,78,-,-,78,0.32,0.26,0.03
GRC,1,300,300,Greece,0,51,-,-,51,0.37,0.70,0.03
GLP,1,312,312,"France, Guadeloupe",0,3,-,-,3,0.60,1.0,0.05
GUM,1,316,316,Guam,0,0,-,-,0,0.00,0.00,0.00
GTM,1,320,320,Guatemala,0,21,-,-,21,0.16,0.12,0.01
GIN,1,324,324,Guinea,0,25,-,-,25,0.30,0.19,0.03
GUY,1,328,328,Guyana,0,1,-,-,1,0.13,0.14,0.01
HTI,1,332,332,Haiti,0,26,-,-,26,0.28,0.24,0.02
HND,1,340,340,Honduras,0,24,-,-,24,0.28,0.25,0.02
HUN,1,348,348,Hungary,0,186,-,-,186,1.5,2.7,0.14
ISL,1,352,352,Iceland,0,2,-,-,2,0.53,0.75,0.05
IND,1,356,356,India,0,44573,-,-,44573,3.3,3.5,0.29
IDN,1,360,360,Indonesia,0,1146,-,-,1146,0.39,0.46,0.03
IRN,1,364,364,"Iran, Islamic Republic of",0,136,-,-,136,0.15,0.18,0.01
IRQ,1,368,368,Iraq,0,83,-,-,83,0.28,0.21,0.02
IRL,1,372,372,Ireland,0,23,-,-,23,0.37,0.58,0.03
ISR,1,376,376,Israel,0,7,-,-,7,0.08,0.09,0.01
ITA,1,380,380,Italy,0,300,-,-,300,0.35,0.72,0.03
CIV,1,384,384,"Côte d'Ivoire",0,83,-,-,83,0.48,0.31,0.04
JAM,1,388,388,Jamaica,0,1,-,-,1,0.03,0.04,0.00
JPN,1,392,392,Japan,0,287,-,-,287,0.20,0.35,0.02
KAZ,1,398,398,Kazakhstan,0,133,-,-,133,0.68,0.80,0.06
JOR,1,400,400,Jordan,0,24,-,-,24,0.28,0.25,0.02
KEN,1,404,404,Kenya,0,178,-,-,178,0.50,0.33,0.05
PRK,1,408,408,"Korea, Democratic People Republic of",0,62,-,-,62,0.18,0.28,0.02
KOR,1,410,410,"Korea, Republic of",0,132,-,-,132,0.18,0.34,0.02
KWT,1,414,414,Kuwait,0,13,-,-,13,0.21,0.32,0.02
KGZ,1,417,417,Kyrgyzstan,0,23,-,-,23,0.39,0.37,0.04
LAO,1,418,418,"Lao People's Democratic Republic",0,50,-,-,50,0.82,0.72,0.07
LBN,1,422,422,Lebanon,0,15,-,-,15,0.21,0.26,0.02
LSO,1,426,426,Lesotho,0,9,-,-,9,0.57,0.45,0.05
LVA,1,428,428,Latvia,0,32,-,-,32,1.4,2.4,0.13
LBR,1,430,430,Liberia,0,16,-,-,16,0.43,0.32,0.04
LBY,1,434,434,Libya,0,13,-,-,13,0.18,0.20,0.02
LTU,1,440,440,Lithuania,0,60,-,-,60,1.8,3.2,0.16
LUX,1,442,442,Luxembourg,0,1,-,-,1,0.10,0.20,0.01
MDG,1,450,450,Madagascar,0,89,-,-,89,0.43,0.32,0.03
MWI,1,454,454,Malawi,0,80,-,-,80,0.62,0.41,0.05
MYS,1,458,458,Malaysia,0,117,-,-,117,0.36,0.40,0.03
MDV,1,462,462,Maldives,0,0,-,-,0,0.00,0.00,0.00
