Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
IRL,1,372,372,Ireland,0,340,282,410,340,4.1,6.8,0.50
ISR,1,376,376,Israel,0,231,135,395,231,1.7,2.6,0.18
ITA,1,380,380,Italy,0,4881,4398,5417,4881,3.3,8.1,0.36
CIV,1,384,384,"Côte d'Ivoire",0,201,113,356,201,1.3,0.72,0.13
JAM,1,388,388,Jamaica,0,32,2,471,32,0.81,1.1,0.08
JPN,1,392,392,Japan,0,11088,7348,16731,11088,3.1,8.8,0.35
KAZ,1,398,398,Kazakhstan,0,602,434,836,602,2.7,3.1,0.33
JOR,1,400,400,Jordan,0,104,48,226,104,1.3,1.0,0.14
KEN,1,404,404,Kenya,0,751,516,1094,751,2.7,1.3,0.31
PRK,1,408,408,"Korea, Democratic People Republic of",0,337,311,365,337,0.89,1.3,0.10
KOR,1,410,410,"Korea, Republic of",0,1697,1411,2041,1697,1.6,3.3,0.19
KWT,1,414,414,Kuwait,0,65,25,168,65,1.5,1.5,0.19
KGZ,1,417,417,Kyrgyzstan,0,106,24,465,106,1.9,1.6,0.20
LAO,1,418,418,"Lao People's Democratic Republic",0,210,131,338,210,3.7,2.8,0.39
LBN,1,422,422,Lebanon,0,89,38,210,89,1.1,1.3,0.13
LSO,1,426,426,Lesotho,0,29,2,427,29,1.8,1.3,0.23
LVA,1,428,428,Latvia,0,154,120,198,154,4.4,8.3,0.53
LBR,1,430,430,Liberia,0,39,4,385,39,1.2,0.74,0.13
LBY,1,434,434,Libya,0,72,21,251,72,1.2,1.0,0.15
LTU,1,440,440,Lithuania,0,257,209,316,257,5.1,9.7,0.61
LUX,1,442,442,Luxembourg,0,22,8,58,22,1.8,3.4,0.20
MDG,1,450,450,Madagascar,0,383,104,1413,383,2.3,1.3,0.24
MWI,1,454,454,Malawi,0,178,72,443,178,1.5,0.88,0.18
MYS,1,458,458,Malaysia,0,826,70,9733,826,2.3,2.5,0.26
MDV,1,462,462,Maldives,0,4,4,4,4,1.1,0.74,0.14
MLI,1,466,466,Mali,0,253,144,445,253,2.4,1.2,0.27
MLT,1,470,470,Malta,0,34,23,50,34,3.5,7.7,0.37
MTQ,1,474,474,"France, Martinique",0,18,17,20,18,2.1,4.8,0.27
MRT,1,478,478,Mauritania,0,50,3,736,50,1.7,1.0,0.18
MUS,1,480,480,Mauritius,0,64,26,158,64,3.1,5.0,0.36
MEX,1,484,484,Mexico,0,1560,657,3706,1560,1.0,1.2,0.12
MNG,1,496,496,Mongolia,0,39,12,132,39,1.5,1.2,0.16
MDA,1,498,498,Republic of Moldova,0,276,210,362,276,4.4,6.9,0.54
MNE,1,499,499,Montenegro,0,25,15,42,25,2.2,4.0,0.25
MAR,1,504,504,Morocco,0,705,502,990,705,1.7,1.9,0.18
MOZ,1,508,508,Mozambique,0,240,142,406,240,1.2,0.73,0.13
