"ISOcode","AgeStart","AgeEnd","Di"
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,0
84,40,44,0
84,45,49,0
84,50,54,0
84,55,59,0
84,60,64,0
84,65,69,0
84,70,74,0
84,75,79,0
84,80,84,0
84,85,999,0
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,1
90,45,49,2
90,50,54,1
90,55,59,2
90,60,64,1
90,65,69,1
90,70,74,0
90,75,79,1
90,80,84,0
90,85,999,0
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,0
96,40,44,0
96,45,49,0
96,50,54,0
96,55,59,0
96,60,64,0
96,65,69,0
96,70,74,0
96,75,79,0
96,80,84,0
96,85,999,0
100,0,4,0
100,5,9,0
100,10,14,0
100,15,19,0
100,20,24,0
100,25,29,0
100,30,34,0
100,35,39,3
100,40,44,7
100,45,49,15
100,50,54,21
100,55,59,24
100,60,64,26
100,65,69,26
100,70,74,24
100,75,79,15
100,80,84,9
100,85,999,7
104,0,4,0
104,5,9,0
104,10,14,0
104,15,19,5
104,20,24,7
104,25,29,6
104,30,34,5
104,35,39,50
104,40,44,101
104,45,49,143
104,50,54,169
104,55,59,168
104,60,64,172
104,65,69,187
104,70,74,170
104,75,79,125
104,80,84,86
104,85,999,58
108,0,4,0
108,5,9,0
108,10,14,2
108,15,19,0
108,20,24,0
108,25,29,1
108,30,34,0
108,35,39,4
108,40,44,3
108,45,49,4
108,50,54,4
108,55,59,6
108,60,64,8
108,65,69,13
108,70,74,11
108,75,79,9
108,80,84,6
108,85,999,3
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,0
112,20,24,0
112,25,29,0
112,30,34,2
112,35,39,12
112,40,44,30
112,45,49,44
112,50,54,66
112,55,59,80
112,60,64,97
112,65,69,84
112,70,74,52
112,75,79,21
112,80,84,14
112,85,999,12
116,0,4,0
116,5,9,0
116,10,14,0
116,15,19,0
116,20,24,0
116,25,29,3
116,30,34,1
116,35,39,7
116,40,44,12
116,45,49,15
116,50,54,27
116,55,59,33
116,60,64,35
116,65,69,42
116,70,74,50
116,75,79,46
116,80,84,36
116,85,999,28
120,0,4,0
120,5,9,0
120,10,14,1
120,15,19,1
120,20,24,1
120,25,29,0
120,30,34,1
120,35,39,5
120,40,44,9
120,45,49,11
120,50,54,17
120,55,59,20
120,60,64,23
120,65,69,22
120,70,74,21
120,75,79,15
120,80,84,9
120,85,999,4
124,0,4,0
124,5,9,0
124,10,14,0
124,15,19,0
124,20,24,1
124,25,29,3
124,30,34,4
124,35,39,5
124,40,44,8
124,45,49,16
124,50,54,31
124,55,59,55
124,60,64,82
124,65,69,91
124,70,74,96
124,75,79,83
124,80,84,94
124,85,999,172
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,0
132,35,39,0
132,40,44,1
132,45,49,2
132,50,54,1
132,55,59,1
132,60,64,0
132,65,69,1
132,70,74,0
132,75,79,1
132,80,84,1
132,85,999,1
140,0,4,0
140,5,9,0
140,10,14,0
140,15,19,1
140,20,24,2
140,25,29,1
140,30,34,1
140,35,39,1
140,40,44,2
140,45,49,4
140,50,54,3
140,55,59,2
140,60,64,4
140,65,69,3
140,70,74,2
140,75,79,1
140,80,84,1
