Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,488,-,-,488,2.1,1.2,0.21
ALB,41,008,8,Albania,0,77,-,-,77,2.0,3.2,0.21
DZA,41,012,12,Algeria,0,1785,-,-,1785,4.5,4.2,0.45
AGO,41,024,24,Angola,0,372,-,-,372,2.0,1.1,0.19
AZE,41,031,31,Azerbaijan,0,517,-,-,517,4.2,5.4,0.42
ARG,41,032,32,Argentina,0,2464,-,-,2464,5.3,6.1,0.55
AUS,41,036,36,Australia,0,991,-,-,991,3.1,4.6,0.32
AUT,41,040,40,Austria,0,387,-,-,387,2.8,5.3,0.30
BHS,41,044,44,Bahamas,0,26,-,-,26,5.3,7.1,0.56
BHR,41,048,48,Bahrain,0,33,-,-,33,2.1,1.9,0.23
BGD,41,050,50,Bangladesh,0,2295,-,-,2295,1.4,1.5,0.14
ARM,41,051,51,Armenia,0,132,-,-,132,3.3,5.1,0.35
BRB,41,052,52,Barbados,0,29,-,-,29,6.8,12.2,0.74
BEL,41,056,56,Belgium,0,486,-,-,486,3.0,5.2,0.31
BTN,41,064,64,Bhutan,0,8,-,-,8,1.2,1.1,0.12
BOL,41,068,68,Bolivia (Plurinational State of),0,163,-,-,163,1.8,1.5,0.18
BIH,41,070,70,Bosnia Herzegovina,0,294,-,-,294,5.7,11.2,0.60
BWA,41,072,72,Botswana,0,25,-,-,25,1.3,1.1,0.12
BRA,41,076,76,Brazil,0,10259,-,-,10259,4.2,5.3,0.42
BLZ,41,084,84,Belize,0,9,-,-,9,2.8,2.3,0.31
SLB,41,090,90,Solomon Islands,0,2,-,-,2,0.46,0.29,0.05
BRN,41,096,96,Brunei Darussalam,0,34,-,-,34,6.7,8.2,0.69
BGR,41,100,100,Bulgaria,0,631,-,-,631,6.4,11.8,0.67
MMR,41,104,104,Myanmar,0,1386,-,-,1386,2.5,2.7,0.25
BDI,41,108,108,Burundi,0,153,-,-,153,2.6,1.2,0.26
BLR,41,112,112,Belarus,0,863,-,-,863,6.1,11.0,0.64
KHM,41,116,116,Cambodia,0,458,-,-,458,3.3,2.8,0.32
CMR,41,120,120,Cameroon,0,416,-,-,416,2.7,1.5,0.27
CAN,41,124,124,Canada,0,2131,-,-,2131,4.2,6.9,0.41
CPV,41,132,132,Cape Verde,0,2,-,-,2,0.41,0.37,0.04
CAF,41,140,140,Central African Republic,0,76,-,-,76,2.8,1.6,0.27
LKA,41,144,144,Sri Lanka,0,504,-,-,504,2.0,2.7,0.20
TCD,41,148,148,Chad,0,147,-,-,147,1.4,0.87,0.12
CHL,41,152,152,Chile,0,842,-,-,842,3.6,5.0,0.36
CHN,41,156,160,China,0,64227,-,-,64227,3.3,5.3,0.34
COL,41,170,170,Colombia,0,1966,-,-,1966,3.6,4.2,0.35
COM,41,174,174,Comoros,0,4,-,-,4,0.77,0.46,0.09
COG,41,178,178,"Congo, Republic of",0,83,-,-,83,2.2,1.5,0.22
COD,41,180,180,"Congo, Democratic Republic of",0,1252,-,-,1252,2.5,1.4,0.24
CRI,41,188,188,Costa Rica,0,232,-,-,232,3.8,5.0,0.39
HRV,41,191,191,Croatia,0,392,-,-,392,6.6,12.4,0.69
CUB,41,192,192,Cuba,0,688,-,-,688,3.9,7.3,0.41
CYP,41,196,196,Cyprus,0,61,-,-,61,3.9,5.9,0.42
CZE,41,203,203,Czechia,0,639,-,-,639,4.4,7.5,0.47
BEN,41,204,204,Benin,0,166,-,-,166,2.3,1.3,0.23
DNK,41,208,208,Denmark,0,272,-,-,272,3.4,5.9,0.36
DOM,41,214,214,Dominican Republic,0,390,-,-,390,3.8,3.8,0.38
ECU,41,218,218,Ecuador,0,432,-,-,432,2.6,2.6,0.26
SLV,41,222,222,El Salvador,0,133,-,-,133,2.3,2.2,0.22
GNQ,41,226,226,Equatorial Guinea,0,35,-,-,35,3.8,2.4,0.36
ETH,41,231,231,Ethiopia,0,3567,-,-,3567,4.9,3.1,0.47
ERI,41,232,232,Eritrea,0,72,-,-,72,3.3,2.1,0.32
EST,41,233,233,Estonia,0,72,-,-,72,3.8,6.9,0.42
FJI,41,242,242,Fiji,0,26,-,-,26,2.9,3.1,0.30
FIN,41,246,246,Finland,0,226,-,-,226,3.0,5.3,0.32
FRA,41,250,250,France (metropolitan),0,3182,-,-,3182,3.7,6.2,0.38
GUF,41,254,254,French Guyana,0,9,-,-,9,3.2,3.1,0.36
PYF,41,258,258,French Polynesia,0,4,-,-,4,1.1,1.6,0.13
DJI,41,262,262,Djibouti,0,29,-,-,29,3.2,3.0,0.31
GAB,41,266,266,Gabon,0,56,-,-,56,3.5,2.5,0.35
GEO,41,268,268,Georgia,0,176,-,-,176,3.3,5.3,0.34
GMB,41,270,270,The Republic of the Gambia,0,24,-,-,24,1.6,0.96,0.15
PSE,41,275,275,Gaza Strip and West Bank,0,161,-,-,161,5.1,3.1,0.52
DEU,41,276,276,Germany,0,4453,-,-,4453,3.4,6.8,0.36
GHA,41,288,288,Ghana,0,412,-,-,412,1.8,1.3,0.17
GRC,41,300,300,Greece,0,499,-,-,499,3.3,6.3,0.34
GLP,41,312,312,"France, Guadeloupe",0,24,-,-,24,4.0,7.6,0.41
GUM,41,316,316,Guam,0,7,-,-,7,3.6,4.6,0.39
GTM,41,320,320,Guatemala,0,209,-,-,209,1.7,1.2,0.17
GIN,41,324,324,Guinea,0,106,-,-,106,1.3,0.79,0.12
GUY,41,328,328,Guyana,0,16,-,-,16,2.0,2.2,0.21
HTI,41,332,332,Haiti,0,269,-,-,269,2.9,2.4,0.25
HND,41,340,340,Honduras,0,221,-,-,221,2.7,2.3,0.25
HUN,41,348,348,Hungary,0,1127,-,-,1127,8.7,14.9,0.92
ISL,41,352,352,Iceland,0,14,-,-,14,3.2,4.9,0.33
IND,41,356,356,India,0,22189,-,-,22189,1.7,1.7,0.16
IDN,41,360,360,Indonesia,0,9029,-,-,9029,3.1,3.5,0.31
IRN,41,364,364,"Iran, Islamic Republic of",0,2870,-,-,2870,3.2,3.6,0.32
IRQ,41,368,368,Iraq,0,890,-,-,890,3.3,2.2,0.32
IRL,41,372,372,Ireland,0,232,-,-,232,3.7,5.5,0.39
ISR,41,376,376,Israel,0,274,-,-,274,3.3,3.5,0.32
ITA,41,380,380,Italy,0,3130,-,-,3130,3.4,6.8,0.35
CIV,41,384,384,"Côte d'Ivoire",0,537,-,-,537,3.4,2.0,0.33
JAM,41,388,388,Jamaica,0,181,-,-,181,5.7,6.7,0.58
JPN,41,392,392,Japan,0,7361,-,-,7361,4.4,8.3,0.46
KAZ,41,398,398,Kazakhstan,0,874,-,-,874,4.2,5.0,0.44
JOR,41,400,400,Jordan,0,401,-,-,401,5.0,4.1,0.49
KEN,41,404,404,Kenya,0,1278,-,-,1278,4.1,2.3,0.42
PRK,41,408,408,"Korea, Democratic People Republic of",0,1892,-,-,1892,5.4,8.1,0.56
KOR,41,410,410,"Korea, Republic of",0,2475,-,-,2475,3.0,5.8,0.30
