"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","lifetime_risk_percent_CRC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC","ci_lower_percent_CRC","ci_upper_percent_CRC"
"French Polynesia",2.163349,1.860372,4.096111,258,0.947374,3.379325,0.678395,3.042348,2.398035,5.794188
"Djibouti",0.535272,0.361522,0.896709,262,0.286329,0.784216,0.195911,0.527133,0.597408,1.196009
"Gabon",0.434557,0.223282,0.753519,266,0.305473,0.563641,0.113721,0.332843,0.57708,0.929958
"Georgia",1.694255,1.722708,3.498474,268,1.536283,1.852228,1.56377,1.881646,3.26984,3.727108
"Gambia",0.073835,0.267931,0.341757,270,0.03049,0.117179,0.117665,0.418196,0.185349,0.498165
"Palestinian Territories",2.605114,1.208748,3.827225,275,2.191667,3.018561,0.931873,1.485622,3.328556,4.325894
"Germany",4.684066,2.462541,7.387032,276,4.634069,4.734063,2.427936,2.497147,7.325001,7.449063
"Ghana",0.330821,0.299971,0.756177,288,0.277394,0.384248,0.259168,0.340773,0.684231,0.828122
"Greece",5.974439,0.978097,7.088742,300,5.823233,6.125644,0.918479,1.037714,6.92401,7.253473
"Guadeloupe",3.645396,1.365011,5.065106,312,2.940524,4.350268,0.972762,1.757259,4.250551,5.879662
"Guam",3.939098,1.098603,5.031818,316,1.806165,6.072031,0.43044,1.766766,2.794052,7.269584
"Guatemala",1.97502,0.172845,2.155243,320,1.78995,2.16009,0.11726,0.228431,1.961971,2.348516
"Guinea",0.138827,0.186903,0.38749,324,0.095495,0.182159,0.130765,0.243042,0.308516,0.466464
"Guyana",2.783408,0.441868,3.238143,328,1.827595,3.739221,0.078912,0.804824,2.215714,4.260571
"Haiti",3.94496,0.387976,4.695451,332,3.573897,4.316022,0.294653,0.481299,4.295786,5.095117
"Honduras",1.470958,0.602187,2.161005,340,1.223789,1.718128,0.448038,0.756337,1.868256,2.453754
"Hungary",6.159052,3.234795,9.417463,348,5.986737,6.331367,3.117198,3.352392,9.206919,9.628006
"Iceland",6.035387,1.955016,8.035861,352,4.962349,7.108426,1.36594,2.544092,6.802422,9.269299
"India",0.478411,0.398269,0.945755,356,0.471051,0.48577,0.391848,0.40469,0.935598,0.955911
"Indonesia",1.235282,1.044941,2.354549,360,1.209732,1.260832,1.02176,1.068123,2.319271,2.389828
"Iran",1.795649,0.742232,2.603098,364,1.739189,1.852109,0.706966,0.777498,2.535061,2.671135
"Iraq",0.973305,0.589438,1.59317,368,0.89088,1.055731,0.520899,0.657977,1.484777,1.701562
"Ireland",5.665197,3.331162,9.125578,372,5.367872,5.962523,3.103981,3.558344,8.746952,9.504204
"Israel",5.080811,1.391554,6.543063,376,4.84311,5.318512,1.280766,1.502342,6.278143,6.807984
"Italy",6.209451,2.280574,8.682369,380,6.143664,6.275237,2.24182,2.319329,8.604502,8.760236
"Côte d’Ivoire",0.717226,0.290338,1.060951,384,0.637547,0.796904,0.237613,0.343063,0.964384,1.157519
"Jamaica",5.249928,1.185371,6.621075,388,4.677933,5.821924,0.944979,1.425763,5.992327,7.249823
"Japan",6.772324,3.261043,10.059491,392,6.726791,6.817857,3.230421,3.291664,10.003759,10.115223
"Kazakhstan",1.760574,1.430134,3.240628,398,1.653606,1.867541,1.334605,1.525664,3.095601,3.385655
"Jordan",2.25704,0.773758,3.073653,400,2.009283,2.504796,0.628119,0.919397,2.784897,3.362409
"Kenya",1.074283,0.564522,1.772181,404,1.008183,1.140383,0.5169,0.612144,1.687258,1.857105
"North Korea",1.697452,1.748182,3.461979,408,1.62674,1.768163,1.680698,1.815667,3.363647,3.56031
"South Korea",4.118933,2.354177,6.541091,410,4.046195,4.19167,2.302492,2.405863,6.450676,6.631506
"Kuwait",2.003467,0.792106,2.816461,414,1.613209,2.393725,0.55826,1.025953,2.359865,3.273058
"Kyrgyzstan",0.773395,0.859454,1.676909,417,0.625727,0.921062,0.697774,1.021134,1.455797,1.898021
"Laos",1.460057,1.136265,2.62916,418,1.262123,1.657992,0.961503,1.311028,2.363509,2.894811
"Lebanon",2.238065,0.725322,3.014327,422,2.027337,2.448792,0.612978,0.837666,2.772493,3.256161
"Lesotho",0.803544,0.427876,1.265671,426,0.54001,1.067077,0.24835,0.607403,0.9453,1.586041
"Latvia",3.159348,2.370362,5.64561,428,2.894894,3.423803,2.147037,2.593688,5.294265,5.996954
"Liberia",0.419519,0.251994,0.716605,430,0.282019,0.557018,0.129555,0.374432,0.530283,0.902927
"Libya",2.833533,1.424888,4.297278,434,2.508732,3.158334,1.196079,1.653698,3.897605,4.696952
"Lithuania",3.133405,1.895455,5.134981,440,2.918431,3.348379,1.731198,2.059711,4.860203,5.40976
"Luxembourg",5.560644,1.931128,7.551329,442,4.725334,6.395955,1.45951,2.402746,6.588367,8.51429
"Madagascar",0.369465,0.530539,1.143152,450,0.305668,0.433263,0.447384,0.613695,1.026111,1.260194
"Malawi",0.375287,0.330269,0.832459,454,0.301145,0.449429,0.26854,0.391997,0.728578,0.93634
"Malaysia",2.598243,1.952421,4.645006,458,2.47916,2.717327,1.849632,2.055211,4.485264,4.804748
"Maldives",1.767493,1.193366,2.958847,462,0.693182,2.841804,0.399968,1.986764,1.621389,4.296305
"Mali",0.665413,0.580747,1.338761,466,0.561278,0.769548,0.48583,0.675663,1.192023,1.485499
"Malta",5.432401,2.258632,7.746374,470,4.532859,6.331944,1.690436,2.826829,6.679225,8.813523
