"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC"
"Israel",5.080811,1.391554,376,4.84311,5.318512,1.280766,1.502342
"Italy",6.209451,2.280574,380,6.143664,6.275237,2.24182,2.319329
"Côte d’Ivoire",0.717226,0.290338,384,0.637547,0.796904,0.237613,0.343063
"Jamaica",5.249928,1.185371,388,4.677933,5.821924,0.944979,1.425763
"Japan",6.772324,3.261043,392,6.726791,6.817857,3.230421,3.291664
"Kazakhstan",1.760574,1.430134,398,1.653606,1.867541,1.334605,1.525664
"Jordan",2.25704,0.773758,400,2.009283,2.504796,0.628119,0.919397
"Kenya",1.074283,0.564522,404,1.008183,1.140383,0.5169,0.612144
"North Korea",1.697452,1.748182,408,1.62674,1.768163,1.680698,1.815667
"South Korea",4.118933,2.354177,410,4.046195,4.19167,2.302492,2.405863
"Kuwait",2.003467,0.792106,414,1.613209,2.393725,0.55826,1.025953
"Kyrgyzstan",0.773395,0.859454,417,0.625727,0.921062,0.697774,1.021134
"Laos",1.460057,1.136265,418,1.262123,1.657992,0.961503,1.311028
"Lebanon",2.238065,0.725322,422,2.027337,2.448792,0.612978,0.837666
"Lesotho",0.803544,0.427876,426,0.54001,1.067077,0.24835,0.607403
"Latvia",3.159348,2.370362,428,2.894894,3.423803,2.147037,2.593688
"Liberia",0.419519,0.251994,430,0.282019,0.557018,0.129555,0.374432
"Libya",2.833533,1.424888,434,2.508732,3.158334,1.196079,1.653698
"Lithuania",3.133405,1.895455,440,2.918431,3.348379,1.731198,2.059711
"Luxembourg",5.560644,1.931128,442,4.725334,6.395955,1.45951,2.402746
"Madagascar",0.369465,0.530539,450,0.305668,0.433263,0.447384,0.613695
"Malawi",0.375287,0.330269,454,0.301145,0.449429,0.26854,0.391997
"Malaysia",2.598243,1.952421,458,2.47916,2.717327,1.849632,2.055211
"Maldives",1.767493,1.193366,462,0.693182,2.841804,0.399968,1.986764
"Mali",0.665413,0.580747,466,0.561278,0.769548,0.48583,0.675663
"Malta",5.432401,2.258632,470,4.532859,6.331944,1.690436,2.826829
"Martinique",4.413972,1.609223,474,3.607485,5.22046,1.134429,2.084017
"Mauritania",0.590069,0.393531,478,0.422388,0.757749,0.249911,0.537152
"Mauritius",2.833924,1.098179,480,2.382451,3.285397,0.828777,1.367581
"Mexico",1.928176,0.520261,484,1.880937,1.975415,0.497699,0.542823
"Mongolia",1.098431,0.347007,496,0.854531,1.342332,0.20965,0.484364
"Moldova",3.666749,2.301478,498,3.41104,3.922458,2.10812,2.494836
"Montenegro",2.997599,1.466965,499,2.475252,3.519945,1.120109,1.81382
"Morocco",1.522804,1.042411,504,1.439928,1.60568,0.976146,1.108676
"Mozambique",0.419428,0.335475,508,0.335338,0.503517,0.264025,0.406925
"Oman",1.411693,1.0238,512,1.076529,1.746856,0.71005,1.33755
"Namibia",0.719703,0.49875,516,0.503729,0.935677,0.303096,0.694403
"Nepal",0.504604,0.355689,524,0.449539,0.559669,0.30811,0.403268
"Netherlands",7.114174,3.061205,528,6.970213,7.258135,2.971293,3.151118
"New Caledonia",3.298126,1.807268,540,2.30045,4.295801,1.044611,2.569926
"Vanuatu",0.482814,0.478769,548,0.002335,0.963293,0.101512,0.856026
"New Zealand",7.396037,3.264408,554,7.078604,7.71347,3.06727,3.461545
"Nicaragua",2.577493,0.641551,558,2.250451,2.904535,0.485233,0.797869
"Niger",0.53618,0.217886,562,0.441717,0.630643,0.170757,0.265014
"Nigeria",0.469077,0.366581,566,0.447488,0.490665,0.348471,0.384691
"Norway",9.35766,3.313637,578,9.029191,9.686129,3.131854,3.495421
