Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,41,981,981,Very HDI country,0,984756,-,-,984756,28.6,60.0,3.3
N.A.,41,982,982,High HDI country,0,753680,-,-,753680,18.1,27.3,2.1
N.A.,41,983,983,Medium HDI country,0,142504,-,-,142504,6.7,6.3,0.78
N.A.,41,984,984,Low HDI country,0,44888,-,-,44888,6.4,3.7,0.72
,,,,Total,,1925828,,,1925828,18.4,24.4,2.1
