"LocationId","AgeStart","AgeEnd","Value"
64,20,24,78
64,25,29,94
64,30,34,100
64,35,39,106
64,40,44,124
64,45,49,156
64,50,54,214
64,55,59,277
64,60,64,378
64,65,69,462
64,70,74,550
64,75,79,647
64,80,84,655
64,85,999,841
68,0,4,9956
68,5,9,1087
68,10,14,831
68,15,19,1498
68,20,24,1885
68,25,29,1851
68,30,34,1925
68,35,39,2175
68,40,44,2651
68,45,49,3365
68,50,54,4291
68,55,59,5432
68,60,64,6695
68,65,69,7834
68,70,74,9438
68,75,79,9336
68,80,84,7377
68,85,999,6337
70,0,4,178
70,5,9,10
70,10,14,12
70,15,19,20
70,20,24,37
70,25,29,44
70,30,34,67
70,35,39,110
70,40,44,201
70,45,49,398
70,50,54,864
70,55,59,1767
70,60,64,3088
70,65,69,4725
70,70,74,5122
70,75,79,6346
70,80,84,8148
70,85,999,10251
72,0,4,2883
72,5,9,270
72,10,14,206
72,15,19,328
72,20,24,474
72,25,29,619
72,30,34,786
72,35,39,949
72,40,44,996
72,45,49,988
72,50,54,1092
72,55,59,1170
72,60,64,1289
72,65,69,1300
72,70,74,1147
72,75,79,1091
72,80,84,898
72,85,999,935
76,0,4,43501
76,5,9,3899
76,10,14,3775
76,15,19,8326
76,20,24,15642
76,25,29,19692
76,30,34,25317
76,35,39,32261
76,40,44,40532
76,45,49,49731
76,50,54,67298
76,55,59,87630
76,60,64,111984
76,65,69,136503
76,70,74,156582
76,75,79,172725
76,80,84,190876
76,85,999,225162
84,0,4,93
84,5,9,6
84,10,14,7
84,15,19,14
84,20,24,24
84,25,29,40
84,30,34,52
84,35,39,58
84,40,44,69
84,45,49,92
84,50,54,116
84,55,59,156
84,60,64,173
84,65,69,180
84,70,74,180
84,75,79,168
84,80,84,172
84,85,999,229
90,0,4,414
90,5,9,63
90,10,14,46
90,15,19,70
90,20,24,85
90,25,29,80
90,30,34,81
90,35,39,92
90,40,44,112
90,45,49,149
90,50,54,181
90,55,59,210
90,60,64,232
90,65,69,282
90,70,74,340
90,75,79,341
90,80,84,287
90,85,999,305
92,0,4,3
92,5,9,0
92,10,14,0
92,15,19,0
92,20,24,0
92,25,29,0
92,30,34,0
92,35,39,2
92,40,44,5
92,45,49,6
92,50,54,10
92,55,59,15
92,60,64,20
92,65,69,22
92,70,74,28
92,75,79,26
92,80,84,19
92,85,999,29
96,0,4,72
96,5,9,8
96,10,14,8
96,15,19,23
96,20,24,30
96,25,29,32
96,30,34,44
96,35,39,58
96,40,44,80
96,45,49,117
96,50,54,156
96,55,59,200
96,60,64,232
96,65,69,234
96,70,74,205
96,75,79,210
96,80,84,191
96,85,999,219
100,0,4,417
100,5,9,50
100,10,14,66
100,15,19,158
100,20,24,189
100,25,29,285
100,30,34,443
100,35,39,797
100,40,44,1316
100,45,49,2241
100,50,54,3166
100,55,59,5342
100,60,64,8099
100,65,69,11084
100,70,74,14035
100,75,79,15303
100,80,84,19879
100,85,999,31932
104,0,4,42572
104,5,9,4942
104,10,14,4109
104,15,19,6863
104,20,24,9562
104,25,29,10150
104,30,34,11231
104,35,39,13500
104,40,44,16443
104,45,49,21299
104,50,54,27603
104,55,59,34344
104,60,64,42356
104,65,69,48719
104,70,74,47792
104,75,79,46594
104,80,84,40276
104,85,999,33078
108,0,4,24428
108,5,9,7343
108,10,14,3505
108,15,19,3424
108,20,24,3695
108,25,29,3832
108,30,34,3971
108,35,39,3834
108,40,44,3267
108,45,49,2769
108,50,54,2793
108,55,59,2919
108,60,64,3680
108,65,69,4416
108,70,74,4163
108,75,79,4031
108,80,84,3059
108,85,999,2134
112,0,4,303
112,5,9,37
112,10,14,43
112,15,19,102
112,20,24,209
112,25,29,397
112,30,34,867
112,35,39,1421
112,40,44,2215
112,45,49,3254
112,50,54,4771
112,55,59,8379
112,60,64,12996
112,65,69,15183
112,70,74,15896
112,75,79,15595
112,80,84,22218
112,85,999,30275
116,0,4,8835
116,5,9,1943
116,10,14,1332
116,15,19,2096
116,20,24,2754
116,25,29,3250
116,30,34,3511
116,35,39,3372
116,40,44,2496
116,45,49,4249
116,50,54,6099
116,55,59,7009
116,60,64,8462
116,65,69,8641
116,70,74,8429
116,75,79,8719
116,80,84,7835
116,85,999,7513
120,0,4,68745
120,5,9,6512
120,10,14,4190
120,15,19,5464
120,20,24,6965
120,25,29,7688
120,30,34,8096
120,35,39,8409
120,40,44,8359
120,45,49,8589
120,50,54,9068
120,55,59,9277
120,60,64,9948
120,65,69,10385
120,70,74,11294
120,75,79,10818
120,80,84,8718
120,85,999,7935
124,0,4,1842
124,5,9,156
124,10,14,199
124,15,19,696
124,20,24,1288
124,25,29,1694
124,30,34,2011
124,35,39,2418
