"LocationId","AgeStart","AgeEnd","Value"
60,10,14,3349.5
60,15,19,3288.5
60,20,24,3146.5
60,25,29,2962
60,30,34,3637.5
60,35,39,4612.5
60,40,44,4640.5
60,45,49,4997.5
60,50,54,4969
60,55,59,5462.5
60,60,64,4842
60,65,69,3878
60,70,74,2972.5
60,75,79,2060
60,80,84,1450.5
60,85,999,1367
64,0,4,54713
64,5,9,64112.5
64,10,14,67691.5
64,15,19,72596.5
64,20,24,74843.5
64,25,29,83023
64,30,34,74844.5
64,35,39,61321.5
64,40,44,49046
64,45,49,38034
64,50,54,32943.5
64,55,59,26232.5
64,60,64,22392.5
64,65,69,16754
64,70,74,11888
64,75,79,8437
64,80,84,5099
64,85,999,3486.5
68,0,4,1269555
68,5,9,1250583.5
68,10,14,1214252.5
68,15,19,1156808.5
68,20,24,1102747
68,25,29,1040408
68,30,34,923525.5
68,35,39,786458
68,40,44,677623
68,45,49,575133
68,50,54,480922
68,55,59,399377
68,60,64,312690.5
68,65,69,230980.5
68,70,74,170965
68,75,79,105320
68,80,84,53153.5
68,85,999,26812
70,0,4,159503
70,5,9,170793
70,10,14,171813
70,15,19,177718.5
70,20,24,213400.5
70,25,29,209150
70,30,34,236461
70,35,39,240877
70,40,44,234854
70,45,49,229568
70,50,54,242030
70,55,59,256451.5
70,60,64,239011.5
70,65,69,209444.5
70,70,74,138138
70,75,79,97494.5
70,80,84,81267.5
70,85,999,52736
72,0,4,294844.5
72,5,9,280350
72,10,14,259999.5
72,15,19,233361
72,20,24,220633.5
72,25,29,223336.5
72,30,34,218271.5
72,35,39,197199
72,40,44,155178
72,45,49,113669
72,50,54,91035
72,55,59,71252.5
72,60,64,53898
72,65,69,37161
72,70,74,22199
72,75,79,14237
72,80,84,8091.5
72,85,999,4985
76,0,4,14594015
76,5,9,14796395.5
76,10,14,15391348.5
76,15,19,16349984
76,20,24,17174678.5
76,25,29,17097456.5
76,30,34,17552085.5
76,35,39,17215260.5
76,40,44,15420001.5
76,45,49,13748095.5
76,50,54,12626508
76,55,59,11429834.5
76,60,64,9336478
76,65,69,7262004
76,70,74,5047779
76,75,79,3493305
76,80,84,2106852
76,85,999,1140796.5
84,0,4,38777
84,5,9,37225.5
84,10,14,38279.5
84,15,19,39426
84,20,24,38330
84,25,29,36038.5
84,30,34,31755
84,35,39,27174
84,40,44,23143
84,45,49,20376
84,50,54,16641.5
84,55,59,13686
84,60,64,10104.5
84,65,69,7124
84,70,74,4646.5
84,75,79,3027.5
84,80,84,1931.5
84,85,999,1409
90,0,4,99614.5
90,5,9,90396
90,10,14,78523
90,15,19,69086.5
90,20,24,60218.5
90,25,29,51342.5
90,30,34,45198.5
90,35,39,39936
90,40,44,34427
90,45,49,29820
90,50,54,23391
90,55,59,17374
90,60,64,12280
90,65,69,9165.5
90,70,74,6738
90,75,79,4132.5
90,80,84,2127.5
90,85,999,1222
92,0,4,1233
92,5,9,1577.5
92,10,14,2261
92,15,19,2035
92,20,24,2066.5
92,25,29,2052.5
92,30,34,2287
92,35,39,2809.5
92,40,44,2763.5
92,45,49,2687
92,50,54,2416.5
92,55,59,2174
92,60,64,1599
92,65,69,1123
92,70,74,782.5
92,75,79,422.5
92,80,84,190
92,85,999,130
96,0,4,33349.5
96,5,9,34323
96,10,14,32780
96,15,19,34592
96,20,24,34317
96,25,29,35399.5
96,30,34,39331.5
96,35,39,38609
96,40,44,35261
96,45,49,32277.5
96,50,54,27105
96,55,59,22010
96,60,64,16184
96,65,69,10383
96,70,74,5636
96,75,79,3438.5
96,80,84,1915
96,85,999,1137
100,0,4,320987
100,5,9,337857
100,10,14,332886.5
100,15,19,318987.5
100,20,24,304183
100,25,29,406964.5
100,30,34,480526
100,35,39,488929.5
100,40,44,544024
100,45,49,516491
100,50,54,472617.5
100,55,59,492424.5
100,60,64,487624
100,65,69,467874
100,70,74,417464.5
100,75,79,288105.5
100,80,84,214167
100,85,999,160419
104,0,4,4511518
104,5,9,4430368
104,10,14,4522615
104,15,19,4622658.5
104,20,24,4489440
104,25,29,4399512.5
104,30,34,4250490
104,35,39,4074165.5
104,40,44,3683019.5
104,45,49,3342626.5
104,50,54,2948942.5
104,55,59,2461296
104,60,64,1982784
104,65,69,1463432
104,70,74,895357
104,75,79,537814.5
104,80,84,287428
104,85,999,136744.5
108,0,4,2053874.5
108,5,9,1955694
108,10,14,1584231.5
108,15,19,1175181.5
108,20,24,926544.5
108,25,29,876920
108,30,34,829715
108,35,39,709894
108,40,44,495355.5
108,45,49,349073.5
108,50,54,257604.5
108,55,59,201531.5
108,60,64,169152
108,65,69,131856.5
108,70,74,78016.5
108,75,79,47839
108,80,84,22866
108,85,999,9488
112,0,4,532771
112,5,9,576874
112,10,14,516802
112,15,19,473174.5
112,20,24,459171
112,25,29,614624
112,30,34,791825.5
112,35,39,768463.5
112,40,44,691064
112,45,49,651124.5
112,50,54,619521
112,55,59,713731.5
112,60,64,696117.5
112,65,69,546473.5
112,70,74,378605
112,75,79,240380
112,80,84,231496
112,85,999,171752.5
116,0,4,1646251
116,5,9,1636304
116,10,14,1567312
116,15,19,1423895.5
116,20,24,1314042
116,25,29,1436092.5
116,30,34,1424537.5
116,35,39,1216006.5
116,40,44,679485.5
116,45,49,900755
116,50,54,854107
116,55,59,729976.5
116,60,64,566042.5
116,65,69,359943
116,70,74,213206
116,75,79,131661
116,80,84,70960.5
116,85,999,37168
120,0,4,4193160.5
120,5,9,3644803.5
120,10,14,3198703.5
120,15,19,2712479.5
120,20,24,2328927
120,25,29,2081514.5
120,30,34,1783814
120,35,39,1456222.5
120,40,44,1138496
120,45,49,904374
120,50,54,705023.5
120,55,59,532799.5
120,60,64,390597.5
120,65,69,277272
120,70,74,200336
120,75,79,128567
120,80,84,68672.5
120,85,999,36578
124,0,4,1929478
124,5,9,2037639
124,10,14,2030557
124,15,19,2107041.5
124,20,24,2465235.5
124,25,29,2615139
124,30,34,2602952
124,35,39,2574338
124,40,44,2419699
124,45,49,2395577
124,50,54,2506762
124,55,59,2740617.5
124,60,64,2508334.5
124,65,69,2097665.5
124,70,74,1705501.5
124,75,79,1163689.5
124,80,84,788281
124,85,999,834077
132,0,4,51615
132,5,9,53119
132,10,14,53728.5
132,15,19,53514.5
132,20,24,57664.5
132,25,29,58817.5
132,30,34,51937.5
132,35,39,42790
132,40,44,33010
132,45,49,27124.5
132,50,54,25465.5
132,55,59,21787.5
132,60,64,15865
132,65,69,9889
132,70,74,5761
132,75,79,5441.5
132,80,84,5272.5
132,85,999,4227.5
136,0,4,4116
136,5,9,4035
136,10,14,3123.5
136,15,19,3032
136,20,24,4025.5
136,25,29,5419
136,30,34,6160
136,35,39,6524
136,40,44,6415.5
136,45,49,6151
136,50,54,5352.5
136,55,59,4165.5
136,60,64,2818
136,65,69,1965.5
136,70,74,1328.5
136,75,79,785
136,80,84,440.5
136,85,999,277
140,0,4,930961
140,5,9,847038
140,10,14,745064.5
140,15,19,635200
140,20,24,490667
140,25,29,348374
140,30,34,260744.5
140,35,39,202044.5
140,40,44,155957.5
140,45,49,141022
140,50,54,127719.5
140,55,59,109307
140,60,64,88313
140,65,69,62833
140,70,74,34590
