"ISOcode","AgeStart","AgeEnd","Ni","Mi"
50,60,64,5096544,94267
50,65,69,3684887,102776
50,70,74,2402060,105508
50,75,79,1575539,103585
50,80,84,876000.5,90117
50,85,999,472001,90507
51,0,4,198062,357
51,5,9,202708,15
51,10,14,171937,16
51,15,19,159973.5,39
51,20,24,182816.5,65
51,25,29,257908.5,118
51,30,34,252568.5,233
51,35,39,201605.5,337
51,40,44,157286,490
51,45,49,147960.5,738
51,50,54,158476,1339
51,55,59,206387,2682
51,60,64,183756.5,4532
51,65,69,128546,4852
51,70,74,71673.5,4562
51,75,79,51319,3120
51,80,84,54004.5,6073
51,85,999,33613,6812
52,0,4,15153,37
52,5,9,16045.5,0
52,10,14,18127,4
52,15,19,18828,7
52,20,24,18097.5,11
52,25,29,18976.5,12
52,30,34,18280.5,27
52,35,39,18936.5,34
52,40,44,18733.5,36
52,45,49,20019.5,70
52,50,54,19689.5,95
52,55,59,20122,128
52,60,64,18197,146
52,65,69,14352,237
52,70,74,10925,214
52,75,79,7526,330
52,80,84,4895.5,484
52,85,999,3275,659
56,0,4,612587,463
56,5,9,666072.5,42
56,10,14,663669.5,49
56,15,19,635320,134
56,20,24,672541.5,217
56,25,29,748455.5,296
56,30,34,745306.5,428
56,35,39,755017.5,603
56,40,44,736233.5,925
56,45,49,775156.5,1341
56,50,54,797920.5,2212
56,55,59,796121,3688
56,60,64,717803,5797
56,65,69,620186,8033
56,70,74,539917.5,11206
56,75,79,374599.5,12870
56,80,84,320995,15966
56,85,999,332665.5,46007
60,0,4,2939,1
60,5,9,3236.5,0
60,10,14,3349.5,0
60,15,19,3288.5,0
60,20,24,3146.5,0
60,25,29,2962,0
60,30,34,3637.5,5
60,35,39,4612.5,5
60,40,44,4640.5,8
60,45,49,4997.5,13
60,50,54,4969,22
60,55,59,5462.5,39
60,60,64,4842,52
60,65,69,3878,64
60,70,74,2972.5,78
60,75,79,2060,87
60,80,84,1450.5,99
60,85,999,1367,213
64,0,4,54713,263
64,5,9,64112.5,29
64,10,14,67691.5,26
64,15,19,72596.5,49
64,20,24,74843.5,71
64,25,29,83023,86
64,30,34,74844.5,99
64,35,39,61321.5,108
64,40,44,49046,132
64,45,49,38034,161
64,50,54,32943.5,220
64,55,59,26232.5,286
64,60,64,22392.5,380
64,65,69,16754,496
64,70,74,11888,562
64,75,79,8437,647
64,80,84,5099,632
64,85,999,3486.5,787
68,0,4,1269555,9355
68,5,9,1250583.5,1018
68,10,14,1214252.5,800
68,15,19,1156808.5,1523
68,20,24,1102747,1995
68,25,29,1040408,2094
68,30,34,923525.5,2426
68,35,39,786458,2998
68,40,44,677623,4013
68,45,49,575133,5476
68,50,54,480922,7437
68,55,59,399377,9736
68,60,64,312690.5,12230
68,65,69,230980.5,13527
68,70,74,170965,14438
68,75,79,105320,13628
68,80,84,53153.5,9758
68,85,999,26812,7707
70,0,4,159503,158
70,5,9,170793,10
70,10,14,171813,11
70,15,19,177718.5,21
70,20,24,213400.5,30
70,25,29,209150,42
70,30,34,236461,68
70,35,39,240877,128
70,40,44,234854,242
70,45,49,229568,499
70,50,54,242030,1022
70,55,59,256451.5,2148
70,60,64,239011.5,3864
70,65,69,209444.5,6280
70,70,74,138138,7246
70,75,79,97494.5,6772
70,80,84,81267.5,9766
70,85,999,52736,13281
72,0,4,294844.5,2727
72,5,9,280350,263
72,10,14,259999.5,210
72,15,19,233361,399
72,20,24,220633.5,565
72,25,29,223336.5,747
72,30,34,218271.5,1007
72,35,39,197199,1356
72,40,44,155178,1579
72,45,49,113669,1606
72,50,54,91035,1749
72,55,59,71252.5,1914
72,60,64,53898,2115
72,65,69,37161,2120
72,70,74,22199,1837
72,75,79,14237,1590
72,80,84,8091.5,1309
72,85,999,4985,1380
76,0,4,14594015,40155
76,5,9,14796395.5,2615
76,10,14,15391348.5,3679
76,15,19,16349984,14807
76,20,24,17174678.5,25514
76,25,29,17097456.5,28725
76,30,34,17552085.5,35111
76,35,39,17215260.5,47861
76,40,44,15420001.5,62230
76,45,49,13748095.5,78147
76,50,54,12626508,98852
76,55,59,11429834.5,132766
76,60,64,9336478,159067
76,65,69,7262004,180560
76,70,74,5047779,189448
76,75,79,3493305,195885
76,80,84,2106852,224711
76,85,999,1140796.5,264108
84,0,4,38777,85
84,5,9,37225.5,12
84,10,14,38279.5,14
84,15,19,39426,45
84,20,24,38330,75
84,25,29,36038.5,111
84,30,34,31755,111
84,35,39,27174,108
84,40,44,23143,106
84,45,49,20376,138
84,50,54,16641.5,172
84,55,59,13686,227
84,60,64,10104.5,235
84,65,69,7124,230
84,70,74,4646.5,214
84,75,79,3027.5,183
84,80,84,1931.5,204
84,85,999,1409,276
90,0,4,99614.5,393
90,5,9,90396,62
90,10,14,78523,45
90,15,19,69086.5,68
90,20,24,60218.5,85
90,25,29,51342.5,79
90,30,34,45198.5,80
90,35,39,39936,92
90,40,44,34427,115
90,45,49,29820,150
90,50,54,23391,197
90,55,59,17374,237
90,60,64,12280,277
90,65,69,9165.5,316
90,70,74,6738,373
90,75,79,4132.5,371
90,80,84,2127.5,308
90,85,999,1222,315
92,0,4,1233,3
92,5,9,1577.5,0
92,10,14,2261,0
92,15,19,2035,0
92,20,24,2066.5,0
92,25,29,2052.5,0
92,30,34,2287,0
92,35,39,2809.5,2
92,40,44,2763.5,5
92,45,49,2687,7
92,50,54,2416.5,13
92,55,59,2174,19
92,60,64,1599,25
92,65,69,1123,29
92,70,74,782.5,35
92,75,79,422.5,33
92,80,84,190,26
92,85,999,130,31
96,0,4,33349.5,69
96,5,9,34323,8
96,10,14,32780,8
96,15,19,34592,21
96,20,24,34317,30
96,25,29,35399.5,30
96,30,34,39331.5,40
96,35,39,38609,57
96,40,44,35261,80
96,45,49,32277.5,117
96,50,54,27105,164
96,55,59,22010,211
96,60,64,16184,259
96,65,69,10383,278
96,70,74,5636,258
96,75,79,3438.5,227
96,80,84,1915,221
96,85,999,1137,242
100,0,4,320987,364
100,5,9,337857,43
100,10,14,332886.5,58
100,15,19,318987.5,158
100,20,24,304183,245
100,25,29,406964.5,285
100,30,34,480526,516
100,35,39,488929.5,955
100,40,44,544024,1533
100,45,49,516491,2935
100,50,54,472617.5,4472
100,55,59,492424.5,6621
100,60,64,487624,10813
100,65,69,467874,15557
100,70,74,417464.5,21696
100,75,79,288105.5,23513
100,80,84,214167,24483
100,85,999,160419,39643
104,0,4,4511518,39547
104,5,9,4430368,4897
104,10,14,4522615,3983
104,15,19,4622658.5,6906
104,20,24,4489440,10043
104,25,29,4399512.5,10686
104,30,34,4250490,11612
104,35,39,4074165.5,14505
104,40,44,3683019.5,18046
104,45,49,3342626.5,23842
104,50,54,2948942.5,31784
104,55,59,2461296,40687
104,60,64,1982784,51447
104,65,69,1463432,60581
104,70,74,895357,60506
104,75,79,537814.5,53792
104,80,84,287428,44988
104,85,999,136744.5,37853
108,0,4,2053874.5,22799
108,5,9,1955694,7241
108,10,14,1584231.5,3724
108,15,19,1175181.5,3695
108,20,24,926544.5,3763
108,25,29,876920,3669
108,30,34,829715,3953
108,35,39,709894,4140
108,40,44,495355.5,3890
108,45,49,349073.5,3339
108,50,54,257604.5,3491
108,55,59,201531.5,3588
108,60,64,169152,4535
108,65,69,131856.5,5577
108,70,74,78016.5,5367
108,75,79,47839,4799
108,80,84,22866,3685
108,85,999,9488,2603
112,0,4,532771,246
112,5,9,576874,50
112,10,14,516802,39
112,15,19,473174.5,95
112,20,24,459171,207
112,25,29,614624,374
112,30,34,791825.5,865
112,35,39,768463.5,1586
112,40,44,691064,2563
112,45,49,651124.5,3743
112,50,54,619521,5596
112,55,59,713731.5,8922
112,60,64,696117.5,15416
112,65,69,546473.5,18970
112,70,74,378605,23088
112,75,79,240380,16794
112,80,84,231496,24920
112,85,999,171752.5,34878
116,0,4,1646251,7997
116,5,9,1636304,1860
116,10,14,1567312,1306
116,15,19,1423895.5,2071
116,20,24,1314042,2615
116,25,29,1436092.5,3031
116,30,34,1424537.5,3403
116,35,39,1216006.5,3702
116,40,44,679485.5,3084
116,45,49,900755,4287
116,50,54,854107,7194
116,55,59,729976.5,8804
116,60,64,566042.5,11489
116,65,69,359943,12285
116,70,74,213206,11356
116,75,79,131661,10499
116,80,84,70960.5,9403
116,85,999,37168,9121
120,0,4,4193160.5,65623
120,5,9,3644803.5,6266
120,10,14,3198703.5,4119
120,15,19,2712479.5,5650
120,20,24,2328927,7094
120,25,29,2081514.5,7828
120,30,34,1783814,8657
120,35,39,1456222.5,9478
120,40,44,1138496,9954
120,45,49,904374,10503
120,50,54,705023.5,11512
120,55,59,532799.5,12009
120,60,64,390597.5,13200
120,65,69,277272,13767
120,70,74,200336,14002
120,75,79,128567,13419
120,80,84,68672.5,10765
120,85,999,36578,9649
124,0,4,1929478,1832
124,5,9,2037639,146
124,10,14,2030557,186
124,15,19,2107041.5,540
124,20,24,2465235.5,1024
124,25,29,2615139,1450
124,30,34,2602952,1774
124,35,39,2574338,2226
124,40,44,2419699,2743
124,45,49,2395577,3859
124,50,54,2506762,6238
124,55,59,2740617.5,11277
124,60,64,2508334.5,17145
124,65,69,2097665.5,23367
124,70,74,1705501.5,31432
124,75,79,1163689.5,36191
124,80,84,788281,41735
124,85,999,834077,114074
132,0,4,51615,136
132,5,9,53119,15
132,10,14,53728.5,15
132,15,19,53514.5,20
132,20,24,57664.5,32
132,25,29,58817.5,53
132,30,34,51937.5,67
132,35,39,42790,95
132,40,44,33010,111
132,45,49,27124.5,130
132,50,54,25465.5,182
132,55,59,21787.5,240
132,60,64,15865,268
132,65,69,9889,249
132,70,74,5761,217
132,75,79,5441.5,290
132,80,84,5272.5,528
132,85,999,4227.5,901
136,0,4,4116,5
136,5,9,4035,0
136,10,14,3123.5,0
136,15,19,3032,1
136,20,24,4025.5,5
136,25,29,5419,5
136,30,34,6160,7
136,35,39,6524,10
136,40,44,6415.5,16
136,45,49,6151,23
136,50,54,5352.5,33
136,55,59,4165.5,42
136,60,64,2818,45
136,65,69,1965.5,46
136,70,74,1328.5,54
136,75,79,785,53
136,80,84,440.5,48
136,85,999,277,55
140,0,4,930961,23144
140,5,9,847038,2082
140,10,14,745064.5,1430
140,15,19,635200,2009
140,20,24,490667,2595
140,25,29,348374,2423
140,30,34,260744.5,2199
140,35,39,202044.5,2164
140,40,44,155957.5,2107
140,45,49,141022,2240
140,50,54,127719.5,2720
140,55,59,109307,3079
140,60,64,88313,3631
140,65,69,62833,3736
140,70,74,34590,2975
140,75,79,17984,2009
140,80,84,8166,1279
140,85,999,3339,860
144,0,4,1620356,2060
144,5,9,1748449.5,226
144,10,14,1811674,269
144,15,19,1713011.5,551
