"LocationId","AgeStart","AgeEnd","Value"
4,0,4,82156
4,5,9,7001
4,10,14,4867
4,15,19,10429
4,20,24,16270
4,25,29,14010
4,30,34,11014
4,35,39,9620
4,40,44,10044
4,45,49,11277
4,50,54,12675
4,55,59,14182
4,60,64,16234
4,65,69,17845
4,70,74,19037
4,75,79,17410
4,80,84,12594
4,85,999,8572
8,0,4,291
8,5,9,30
8,10,14,40
8,15,19,76
8,20,24,97
8,25,29,125
8,30,34,161
8,35,39,227
8,40,44,308
8,45,49,493
8,50,54,794
8,55,59,1351
8,60,64,2074
8,65,69,2798
8,70,74,3828
8,75,79,5601
8,80,84,6224
8,85,999,7868
12,0,4,21229
12,5,9,1587
12,10,14,1230
12,15,19,1277
12,20,24,1557
12,25,29,1764
12,30,34,2350
12,35,39,3667
12,40,44,5238
12,45,49,6396
12,50,54,8393
12,55,59,10374
12,60,64,14535
12,65,69,19078
12,70,74,22169
12,75,79,22978
12,80,84,26060
12,85,999,30959
16,0,4,8
16,5,9,0
16,10,14,0
16,15,19,1
16,20,24,4
16,25,29,5
16,30,34,5
16,35,39,5
16,40,44,7
16,45,49,13
16,50,54,18
16,55,59,31
16,60,64,38
16,65,69,43
16,70,74,44
16,75,79,37
16,80,84,29
16,85,999,25
20,0,4,3
20,5,9,0
20,10,14,0
20,15,19,0
20,20,24,0
20,25,29,0
20,30,34,0
20,35,39,3
20,40,44,7
20,45,49,13
20,50,54,24
20,55,59,39
20,60,64,49
20,65,69,58
20,70,74,73
20,75,79,83
20,80,84,83
20,85,999,201
24,0,4,90485
24,5,9,8317
24,10,14,5128
24,15,19,6309
24,20,24,7488
24,25,29,7929
24,30,34,8636
24,35,39,9515
24,40,44,10191
24,45,49,10935
24,50,54,12612
24,55,59,14340
24,60,64,16293
24,65,69,16814
24,70,74,16150
24,75,79,14677
24,80,84,11703
24,85,999,8757
28,0,4,7
28,5,9,0
28,10,14,0
28,15,19,2
28,20,24,5
28,25,29,5
28,30,34,5
28,35,39,5
28,40,44,10
28,45,49,12
28,50,54,24
28,55,59,39
28,60,64,58
28,65,69,68
28,70,74,77
28,75,79,75
28,80,84,73
28,85,999,130
31,0,4,2412
31,5,9,202
31,10,14,246
31,15,19,366
31,20,24,640
31,25,29,1001
31,30,34,1456
31,35,39,1940
31,40,44,2642
31,45,49,3703
31,50,54,6402
31,55,59,10217
31,60,64,13457
31,65,69,11896
31,70,74,10432
31,75,79,7453
31,80,84,10858
31,85,999,9608
32,0,4,6861
32,5,9,559
32,10,14,799
32,15,19,2189
32,20,24,3455
32,25,29,3632
32,30,34,3996
32,35,39,5078
32,40,44,6891
32,45,49,9388
32,50,54,12500
32,55,59,19181
32,60,64,28987
32,65,69,40636
32,70,74,51100
32,75,79,56035
32,80,84,54422
32,85,999,99717
36,0,4,1018
36,5,9,106
36,10,14,40
36,15,19,117
36,20,24,265
36,25,29,275
36,30,34,282
36,35,39,528
36,40,44,876
36,45,49,1695
36,50,54,2555
36,55,59,4315
36,60,64,7353
36,65,69,10426
36,70,74,16027
36,75,79,20575
36,80,84,26326
36,85,999,73303
40,0,4,303
40,5,9,30
40,10,14,29
40,15,19,118
40,20,24,189
40,25,29,218
40,30,34,311
40,35,39,439
40,40,44,582
40,45,49,916
40,50,54,1863
40,55,59,3237
40,60,64,4858
40,65,69,6015
40,70,74,8499
40,75,79,9524
40,80,84,17149
40,85,999,35411
44,0,4,55
44,5,9,5
44,10,14,7
44,15,19,20
44,20,24,38
44,25,29,58
44,30,34,77
44,35,39,105
44,40,44,140
44,45,49,191
44,50,54,256
44,55,59,339
44,60,64,365
44,65,69,401
44,70,74,365
44,75,79,370
44,80,84,356
44,85,999,516
48,0,4,120
48,5,9,10
48,10,14,9
48,15,19,15
48,20,24,19
48,25,29,35
48,30,34,67
48,35,39,99
48,40,44,127
48,45,49,171
48,50,54,233
48,55,59,307
48,60,64,376
48,65,69,378
48,70,74,357
48,75,79,356
48,80,84,412
48,85,999,547
50,0,4,83602
50,5,9,8703
50,10,14,7632
50,15,19,21082
50,20,24,11943
50,25,29,11864
50,30,34,13938
50,35,39,17468
50,40,44,25034
50,45,49,42237
50,50,54,61284
50,55,59,70933
50,60,64,94267
50,65,69,102776
50,70,74,105508
50,75,79,103585
50,80,84,90117
50,85,999,90507
51,0,4,357
51,5,9,15
51,10,14,16
51,15,19,39
51,20,24,65
51,25,29,118
51,30,34,233
51,35,39,337
51,40,44,490
51,45,49,738
51,50,54,1339
51,55,59,2682
51,60,64,4532
51,65,69,4852
51,70,74,4562
51,75,79,3120
51,80,84,6073
51,85,999,6812
52,0,4,37
52,5,9,0
52,10,14,4
52,15,19,7
52,20,24,11
52,25,29,12
52,30,34,27
52,35,39,34
52,40,44,36
52,45,49,70
52,50,54,95
52,55,59,128
52,60,64,146
52,65,69,237
52,70,74,214
52,75,79,330
52,80,84,484
52,85,999,659
56,0,4,463
56,5,9,42
56,10,14,49
56,15,19,134
56,20,24,217
56,25,29,296
56,30,34,428
56,35,39,603
56,40,44,925
56,45,49,1341
56,50,54,2212
56,55,59,3688
56,60,64,5797
56,65,69,8033
56,70,74,11206
56,75,79,12870
56,80,84,15966
56,85,999,46007
60,0,4,1
60,5,9,0
60,10,14,0
60,15,19,0
60,20,24,0
60,25,29,0
60,30,34,5
60,35,39,5
60,40,44,8
60,45,49,13
60,50,54,22
60,55,59,39
60,60,64,52
60,65,69,64
60,70,74,78
60,75,79,87
60,80,84,99
60,85,999,213
64,0,4,263
64,5,9,29
64,10,14,26
64,15,19,49
64,20,24,71
64,25,29,86
64,30,34,99
64,35,39,108
64,40,44,132
64,45,49,161
64,50,54,220
64,55,59,286
64,60,64,380
64,65,69,496
64,70,74,562
64,75,79,647
64,80,84,632
64,85,999,787
68,0,4,9355
68,5,9,1018
68,10,14,800
68,15,19,1523
68,20,24,1995
68,25,29,2094
68,30,34,2426
