"ISOcode","AgeStart","AgeEnd","Ni","Mi"
36,85,"89",198035.5,16680
36,90,"94",104482,17850
36,95,"99",32209.5,9969
36,100,"null",4305.5,2217
40,0,"4",210411,139
40,5,"9",213909,14
40,10,"14",207283,13
40,15,"19",214594.5,33
40,20,"24",237004,41
40,25,"29",287514,65
40,30,"34",308928,100
40,35,"39",306469,136
40,40,"44",296207.5,209
40,45,"49",296610,380
40,50,"54",342311,676
40,55,"59",356355,1015
40,60,"64",315934,1534
40,65,"69",259139,2293
40,70,"74",226018.5,3767
40,75,"79",186536.5,4855
40,80,"84",180534.5,7634
40,85,"89",91320.5,9046
40,90,"94",49895.5,9871
40,95,"99",15226.5,5354
40,100,"null",1778.5,974
44,0,"4",10802,26
44,5,"9",12266.5,2
44,10,"14",13774.5,2
44,15,"19",13911.5,6
44,20,"24",14805,10
44,25,"29",17039,18
44,30,"34",16690.5,28
44,35,"39",15234,37
44,40,"44",14445,41
44,45,"49",14476.5,63
44,50,"54",14553.5,86
44,55,"59",13243.5,89
44,60,"64",10336.5,90
44,65,"69",7703,143
44,70,"74",6263,148
44,75,"79",5388,207
44,80,"84",3396,199
44,85,"89",1813.5,161
44,90,"94",808,106
44,95,"99",272,52
44,100,"null",74,21
48,0,"4",47119,62
48,5,"9",50592.5,8
48,10,"14",45740,5
48,15,"19",40233.5,9
48,20,"24",43561.5,16
48,25,"29",58244.5,20
48,30,"34",61471,29
48,35,"39",55839,31
48,40,"44",47158.5,36
48,45,"49",36501,49
48,50,"54",27449,54
48,55,"59",25638.5,98
48,60,"64",18294.5,132
48,65,"69",11208,142
48,70,"74",5867,128
48,75,"79",3930,138
48,80,"84",2428,144
48,85,"89",1243,125
48,90,"94",477,73
48,95,"99",124,26
48,100,"null",11,4
50,0,"4",7941181.5,45191
50,5,"9",7586974,3237
50,10,"14",8006502,3476
50,15,"19",8731548.5,13725
50,20,"24",8587964.5,6342
50,25,"29",8073325.5,5442
50,30,"34",6676383,4197
50,35,"39",6725133,6482
50,40,"44",5100301,8355
50,45,"49",4269852.5,14034
50,50,"54",3649587.5,18810
50,55,"59",2944035.5,27397
50,60,"64",2356931,22163
50,65,"69",1933679,35124
50,70,"74",1462109.5,42356
50,75,"79",1004247,44248
50,80,"84",573472,39186
50,85,"89",263249,28079
50,90,"94",84201.5,14096
50,95,"99",14039,3694
50,100,"null",786,331
51,0,"4",85641,153
51,5,"9",95031,12
51,10,"14",94562,10
51,15,"19",84582,13
51,20,"24",84131,22
51,25,"29",99759.5,27
51,30,"34",127932,45
51,35,"39",122935,70
51,40,"44",109893.5,109
51,45,"49",93166.5,159
51,50,"54",90385,306
51,55,"59",104588,552
51,60,"64",118665.5,1044
51,65,"69",90107.5,1397
51,70,"74",61896,1713
51,75,"79",29099,1441
51,80,"84",32156,3002
51,85,"89",16308,2463
51,90,"94",5184.5,1272
51,95,"99",869.5,320
51,100,"null",43,24
52,0,"4",7806.5,16
52,5,"9",8011,1
52,10,"14",8748,1
52,15,"19",8916,2
52,20,"24",9281,4
52,25,"29",9018,6
52,30,"34",9451,9
52,35,"39",9704,14
52,40,"44",9548.5,20
52,45,"49",10018.5,28
52,50,"54",10138,38
52,55,"59",10577,55
52,60,"64",10262.5,79
52,65,"69",8845.5,118
52,70,"74",6684,163
52,75,"79",4698,225
52,80,"84",2857,251
52,85,"89",1659,253
52,90,"94",570.5,147
52,95,"99",104.5,40
52,100,"null",8,5
56,0,"4",290490.5,219
56,5,"9",315047.5,25
56,10,"14",334819,24
56,15,"19",319794,51
56,20,"24",329171.5,82
56,25,"29",359141.5,84
56,30,"34",385436.5,142
56,35,"39",374714.5,231
56,40,"44",381015,342
56,45,"49",367566.5,539
56,50,"54",388592.5,878
56,55,"59",399353,1378
56,60,"64",380858.5,2248
56,65,"69",337030.5,3409
56,70,"74",297141,4803
56,75,"79",239382.5,5981
56,80,"84",177245.5,8085
56,85,"89",135462,11866
56,90,"94",70953,11930
56,95,"99",18866.5,5587
56,100,"null",2130.5,995
60,0,"4",1358.5,0
60,5,"9",1490.5,0
60,10,"14",1595.5,0
60,15,"19",1562.5,0
60,20,"24",1745,0
60,25,"29",1676.5,0
60,30,"34",1833.5,1
60,35,"39",2184.5,1
60,40,"44",2303.5,2
60,45,"49",2238,3
60,50,"54",2371,5
60,55,"59",2547.5,8
60,60,"64",2665.5,13
60,65,"69",2274,16
60,70,"74",1801,19
60,75,"79",1403,26
60,80,"84",953,36
60,85,"89",619,47
60,90,"94",300,44
60,95,"99",81.5,21
60,100,"null",12.5,5
64,0,"4",23688,103
64,5,"9",28053,9
64,10,"14",30886,9
64,15,"19",34162,16
64,20,"24",34341.5,22
64,25,"29",34599,28
64,30,"34",36153.5,36
64,35,"39",30369.5,41
64,40,"44",25667,50
64,45,"49",19287.5,59
64,50,"54",16323,77
64,55,"59",13554.5,99
64,60,"64",11216.5,132
64,65,"69",9328.5,189
64,70,"74",6311.5,225
64,75,"79",4396,277
64,80,"84",2613.5,287
64,85,"89",1266,228
64,90,"94",419.5,116
64,95,"99",80,32
64,100,"null",8,5
68,0,"4",613225.5,5063
